user_id,昵称,性别,所在地,是否认证,认证信息,微博数,粉丝数,关注数
5617030710,玛卿天域虫草堂,m,其他,False,,552,969,5534
5661566460,中国宣汉,m,四川,True,四川省达州市宣汉县人民政府官方微博,38752,8302,278
1885637912,中国宁波网,f,浙江 宁波,True,中国宁波网官方微博,51198,737700,631
1712306401,华美紫馨-董玉林,m,陕西,True,整形外科医师,1689,13408,251
2673559173,南昌县发布,m,江西,True,南昌县融媒体中心,62419,368835,317
1747173625,郑州新闻广播,m,河南 郑州,True,郑州电台新闻广播官方微博、声动中国最受欢迎电台,106056,630757,661
3889809204,清风普法,m,河北 邢台,True,河北省邢台市襄都区司法局官方微博,39500,8712,214
6558019878,桃子冰淇淋1,f,河北,False,,6506,46,740
2108118305,北部湾在线,m,广西,True,广西广播电视台【北部湾在线新媒体】官方微博,50138,752665,290
3805885922,等待的追赶,m,其他,False,,11,33,91
7516945086,深圳云开调查,m,广东 深圳,False,,601,10756,1213
2665177402,朱长元,m,上海,True,解放日报报业集团发行中心主任 爱微藏签约名家 知名文玩收藏博主 头条文章作者,48886,75674,1345
2079751412,辽宁共青团,m,辽宁,True,共青团辽宁省委员会官方微博,47446,1904568,326
3561568133,青羊检察,m,四川 成都,True,成都市青羊区人民检察院官方微博,52968,20210,500
7302431001,快看,f,北京,True,新华社快看官方微博,12032,2090206,181
1909377960,第一新闻,f,陕西 西安,True,陕西电视台第一新闻栏目官方微博,145767,4365776,1377
6751444002,赞波的姐姐,m,陕西,False,,34,16,52
2491091534,精准预防医学,m,广东 广州,False,,389,7732,109
1932207161,一口红丝绒再加一口小酸奶,f,江苏 苏州,False,,573,282,295
3939923661,赣州市中级人民法院,m,江西,True,江西省赣州市中级人民法院官方微博,11083,17248,201
2780297340,医学界网站,m,上海,True,医学界网站官方微博,20400,2558465,1747
2615417307,凤凰网,m,北京,True,凤凰网官方微博,39299,20399459,800
1999159005,玻璃心的小鸡,m,上海 嘉定区,False,,3358,316,1177
6082095796,我有冰水,f,贵州 黔南,False,,3267,275,1188
5949128614,不上岸我就去死,m,其他,False,,612,467,93
2359019222,山西全媒体中心,m,山西,False,,5321,3392,56
1658951274,新华播报肖华,m,北京,True,南京微博名人汇成员、前新华月报网副总编辑,80027,1173364,422
3229962754,陕视新闻,m,陕西 西安,True,陕西广播电视台新闻中心采访部,123163,4232406,1401
2880520894,黄建杰医生,m,福建,True,妇产科住院医师,814,117857,184
3969986622,闫煜梵,f,河北 石家庄,False,,1071,336,145
7333460957,夏至梦桃,f,海外 罗马尼亚,False,,3287,2,201
5993531560,中新经纬,m,北京,True,中新经纬官方微博,45636,10697381,2484
5705593368,止匕木三金,f,陕西 西安,False,,197,292,698
2640948791,看沁阳,f,河南 焦作,True,河南省沁阳市委宣传部官方微博,13213,25810,319
1142648704,鲁国平先生,m,上海,True,专栏作家，媒体人，新浪名博，微博区域专家团专家,93244,1777664,2969
2749223307,甜却不粘牙的小年糕,f,其他,False,,11300,428,564
1694889223,五星鏈君_田中今天畫明糸了嗎,m,广东,False,,48201,1546,1144
6495716100,重炮君,f,上海,True,搞笑视频自媒体 搞笑幽默博主,3718,42924,128
5384771805,黄西炮,m,海外,True,搞笑幽默博主 超话主持人（黄西炮超话）,9684,1221826,1505
5182163938,建德检察,m,浙江 杭州,True,浙江省建德市人民检察院官方微博,17840,2163,541
7358072814,深藏blue的废话篓子,m,其他,False,,1586,11,251
1791010393,微微万象民生直通车A,m,山东 济南,True,知名法律博主 视频自媒体,164244,835390,292
1672904477,种花家的兔子浪,f,其他,True,超话粉丝大咖（黄子韬超话）,57729,632,255
1834772291,嘟嘟嘟6552,f,陕西 西安,False,,901,95,582
2328706770,東方蜘蛛LovingGor,m,香港 其他,False,,7599,29925,782
1051292340,新蜜蜂alex182,m,北京,True,知名军事博主,110748,4936263,1018
7455667402,疯狂小匹夫,f,广东,False,,3873,19009,311
5404701868,管埋人员,f,四川 宜宾,False,,32389,162,624
2797504397,咸阳一枝笔,m,陕西 西安,False,,89,11595,504
2663751563,南京广播电视台,m,江苏 南京,True,南京广播电视集团（台）官方微博,35492,769402,1090
1036713140,杭州网,f,浙江 杭州,True,杭州网官方微博,123714,1822344,609
1844694970,new雨后阳光,f,广东 广州,False,,5428,1250,280
1847123567,香港商報網,m,香港 观塘区,True,香港商报和香港商报网的官方微博,198851,1736914,395
1726918143,中国青年报,f,北京 东城区,True,中国青年报•中青在线微博,101478,17158126,2255
2427989561,河北共青团,m,河北,True,共青团河北省委员会官方微博,68807,857067,1945
3811261522,鹰潭发布,m,江西,True,江西省鹰潭市人民政府新闻办官方微博,29588,81113,351
1033771023,水獭otter,m,其他,False,,43638,215490,352
5782114188,A股气氛组,f,上海 浦东新区,False,,47813,26477,158
5303340029,平川检察,m,甘肃 白银,True,甘肃省白银市平川区人民检察院官方微博,14954,2824,478
1749990115,北京青年报,m,北京 朝阳区,True,北京青年报官方微博,119569,13811811,1493
7091526133,荆楚名医汇,m,湖北,True,武汉新纬线文化发展有限公司官方微博,12648,25789,1148
2296236217,记者张小伟,m,陕西,True,媒体人（渭南）,8809,61382,1125
1973634817,贵州都市报,m,贵州,True,《贵州都市报》官方微博,63999,2652852,1357
1407156474,露叔-,m,上海 徐汇区,False,,71934,573,462
5803416260,brainnews脑科学新闻,m,海外 其他,True,知名科学科普博主 头条文章作者,21698,261283,469
1008746521,京城张宝,m,北京,True,北京市顺义区体育局副局长,113484,75473,4985
6105713761,红星新闻,f,四川 成都,True,成都传媒集团成都商报红星新闻 原创新闻类新媒体项目,51465,11294009,638
1989723775,南昌交通广播,m,江西 南昌,True,FM95.1南昌交通广播 Hi Radio,19943,234751,550
1644489953,南方都市报,m,广东,True,《南方都市报》官方,40203,18425279,637
1915671961,陕西都市快报,m,陕西 西安,True,陕西电视台《都市快报》官方微博,192075,2896153,725
5648628585,白龙江林区检察,m,甘肃,True,甘肃省白龙江林区人民检察院官方微博,25321,1582,252
1605203592,节操娘桃花子,f,上海 浦东新区,True,娱乐博主,67154,4063,993
1732112365,NOWnews今日新闻,f,北京,True,台湾网络媒体NOWnews官方微博,48920,523369,729
2162541102,新浪陕西,m,陕西,True,新浪陕西官方微博，新浪看点陕西站官方微博,80068,2179211,3424
6072764837,西安同城,m,陕西 西安,True,西安同城官方微博,19647,734467,654
3242792887,吉林日报,m,,True,《吉林日报》官方微博,94298,1066517,800
1676228365,都市条形码,m,云南 昆明,True,云南广播电视台都市频道官方微博,140899,1531287,870
7082172370,北岛的下雨天,f,云南,False,,3645,5616,484
3712903804,张三的歌J,f,北京 东城区,False,,2981,144,882
2950729391,波特涂儿,f,云南 曲靖,False,,5448,11046,1111
3183140852,金州检察,m,贵州,True,黔西南州人民检察院官方微博,13928,11460,557
2647971081,燕赵晚报,m,河北 石家庄,True,《燕赵晚报》官方微博,83754,3717269,941
3930794463,达州应急,m,四川,True,达州市应急管理局官方微博,15674,1839,333
6481500300,一点视频,m,云南,True,都市时报旗下视频账号,2837,279840,173
2106435821,栖霞视点,m,江苏 南京,True,江苏省南京市栖霞区委宣传部官方微博,56529,363259,220
1597004610,聊城共青团,f,山东 聊城,True,共青团聊城市委官方微博,13287,62046,391
2604704991,庆阳公安,m,甘肃 庆阳,True,甘肃省庆阳市公安局官方微博,36466,111353,225
1700720163,钱江晚报,m,浙江 杭州,True,钱江晚报官方微博,112172,6830281,450
1750553234,信息时报,f,广东 广州,True,信息时报官方微博,134952,3667431,362
3266943013,央视网,m,北京,True,央视国际网络有限公司,118668,14527791,507
5984524359,夜梦林中金蝶舞,f,辽宁,False,,2420,905,257
3215951873,千龙网中国首都网,m,北京 东城区,True,千龙网·中国首都网法人微博,93864,5557887,2899
1389537561,都市时报,m,云南,True,都市时报官方微博,106266,2522663,986
2490680680,晓风成语,m,湖北 武汉,False,,23707,1164,500
2531159485,抓药超人小李,f,河北,True,健康博主 微博故事原创作者,9401,108316,466
1685262231,福建新闻广播fm1036,f,福建 福州,True,福建新闻广播官方微博,57863,410573,475
2651153623,健康界,m,北京,True,健康界网站www.cn-healthcare.com官方微博,51705,2464310,2575
1041189345,猫爸老石,m,北京,True,中国医师协会美容与整形医师分会委员、三甲医院整形外科主治医师,4713,74673,224
5219097346,云水游YB,m,其他,False,,85,45,56
7357980827,媚瘦纤体,f,云南,True,云南媚瘦商贸有限公司官方微博,5920,223,442
1652484947,新快报,f,广东 广州,True,羊城晚报报业集团《新快报》官方微博,99148,26490216,475
1640601392,新浪视频,m,北京 海淀区,True,新浪视频官方微博,112370,16658861,1870
2025231343,北京人捍卫北京城,m,北京,True,知名本地博主 本地资讯博主（北京） 视频自媒体,62667,1047793,1479
7031350699,武汉微博健康,m,湖北,True,健康博主,6819,10671,1270
2394420684,邵阳日报,m,湖南,True,邵阳日报社官方微博,51167,427557,220
2710498342,无锡博报,m,江苏 无锡,True,无锡广播电视台新闻中心官方微博,80024,303596,1468
2051813070,千帆终过尽,f,湖北 宜昌,False,,3444,65,46
2880955990,凤凰网陕西,m,,True,凤凰网陕西,6197,117090,182
3227158622,山丹检察,m,甘肃 张掖,True,甘肃省张掖市山丹县人民检察院官方微博,22041,1692,676
1801817195,辽沈晚报,m,辽宁 沈阳,True,《辽沈晚报》官方微博,185050,5677770,2389
3198471403,云南日报,m,云南,True,云南日报,73868,855001,300
5447539008,收物的号啦啦啦,f,其他,False,,647,2,172
6393904893,燃新闻,m,北京,True,燃新闻官方微博,32944,2392647,386
2310663307,肥唐说,m,北京,True,娱乐博主 前   非常爱美工作室导演 超话主持人（唐戈的肥唐说超话） 头条文章作者,21674,295832,394
2925141777,全球新闻眼,m,北京,True,新浪新闻人文科普视频账号,31722,829678,747
1154814271,Qing,f,北京 海淀区,False,,67546,2805404,726
2060029603,小浪同学爱吐槽,f,北京 东城区,True,资讯视频自媒体,56286,2841170,205
1391607813,这里是北京,m,北京,False,,125,725,59
2332484022,毒哥的毒鸡汤,m,其他,False,,1074,14041,420
3179995944,嘎嘎的小羊,f,其他,False,,10538,122,851
1747522104,今日最新闻官方微博,f,广东 广州,True,广东广播电视台《今日最新闻》官方微博,45410,1833220,406
2268603763,西安直播,f,陕西,True,知名本地博主 本地资讯博主（西安）,77353,880993,1649
5524389794,你该去听网课了,m,其他,False,,432,4,140
2307239515,mlx123456,f,河北,False,,14031,137,604
7267528340,Ming_014,m,海外 澳大利亚,False,,2323,115,335
1898885525,生活报,m,黑龙江 哈尔滨,True,生活报官方微博,167198,7062878,1040
5592704247,文教艺在线,f,北京,True,中国东方文化研究会文教艺术专业委员会,84609,30638,110
2628470685,CDTV新闻中心,m,四川 成都,True,成都电视台新闻中心,67990,45649,271
2093235612,青淮狐,f,安徽 芜湖,True,娱乐博主,10824,1285,653
5479114163,痕迹好孩子,m,四川,False,,89,20,136
7480738841,Kanopee,f,其他,False,,1849,4,395
2372769390,彦_我需要静静,f,陕西 西安,False,,17465,179,603
2423757750,白衣山猫,m,浙江,True,前 浙江援疆外科副主任医师 健康博主 微博原创视频博主,7247,4464256,153
1836940467,四川法治报,m,四川,True,四川法治报官方微博,14373,112723,447
