微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Kgm159O7f,https://weibo.cn/comment/Kgm159O7f?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 主席的思想何其深邃  
原始用户: 观察者网
转发内容: 【#拜登再提中国谚语妇女能顶半边天# 】当地时间19日，拜登出席美国海岸警卫队学院毕业典礼时，引用了一句中国谚语“妇女能顶半边天”。他称：“如果我们都无法确保女性能有我们一半的职位，那将是非常愚蠢的立场。”据悉，拜登此前曾多次引用过这句中国谚语。观察者网微丢视频的微博视频  ",False,无,2021-05-20 17:16,HUAWEI Mate 9 Pro,0,0,1
Kgj9O1qHv,https://weibo.cn/comment/Kgj9O1qHv?uid=1450309337&rl=0#cmtfrm,"转发理由:鲅鱼圈里吃鲅鱼  
原始用户: 新浪辽宁
转发内容: #辽宁好网民抗疫在行动# 【这个#520#为兄弟城市加油！】当前，辽宁沈阳和营口正面临新一波新冠疫情，无数逆行者为我们竖起屏障。这个520，向所有奋战在一线的逆行者致敬！辽宁各地美食为#沈阳鸡架#、#营口鲅鱼#加油！兄弟齐心，携手并肩，对抗疫情，辽宁必赢！  [组图共12张] 原图 ",False,无,2021-05-20 09:59,微博 HTML5 版,0,0,0
KgcEhAJMf,https://weibo.cn/comment/KgcEhAJMf?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# p系列缺芯片了，发布会也开不了了  
原始用户: 华为终端官方微博
转发内容: 今天14:30，锁定 @华为终端官方微博，直通华为全场景智慧生活新品发布会现场，#华为FreeBuds#4等众多新品即将登场！ 华为终端官方微博的微博直播  ",False,无,2021-05-19 17:25,HUAWEI Mate 9 Pro,0,0,0
KfVLfsUNN,https://weibo.cn/comment/KfVLfsUNN?uid=1450309337&rl=0#cmtfrm,#成都10岁女孩再破吉尼斯纪录##吐槽又不要钱# 是我的注意力就集中在“腰花”两个字上面了吗？我是一个人吗  ,True,无,2021-05-17 22:26,HUAWEI Mate 9 Pro,8,0,2
KftDs0eYe,https://weibo.cn/comment/KftDs0eYe?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 按我听说的，这应该是要切腹自杀谢罪的吧，如果没有，那肯定不是我听错了，是有人说错了  
原始用户: 台湾傻事
转发内容: 日本效率真高。2018年一个13岁少女自杀，今天调查结果出来了，是受到霸凌！女孩在死前一年就告诉了父母，父母也找了学校，然而在她死后，学校才承认有霸凌  原图 ",False,无,2021-05-14 22:50,微博 weibo.com,1,0,0
KftBkr74C,https://weibo.cn/comment/KftBkr74C?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 这个人是被感染的？源头还是不清楚  
原始用户: 新华网
转发内容: 【#营口市发布新冠肺炎确诊病例行动轨迹#】14日晚，辽宁省营口市召开疫情防控新闻发布会公布，5月14日0时-19时，营口市新增2例新冠肺炎确诊病例，3例新冠肺炎无症状感染者，以及这些人的行动轨迹。  原图 ",False,无,2021-05-14 22:44,微博 weibo.com,0,0,0
KfemcjJbd,https://weibo.cn/comment/KfemcjJbd?uid=1450309337&rl=0#cmtfrm,#成都49中学生坠亡调查详情##吐槽又不要钱# 你看这个就上不了热搜，因为真相不是有的人期盼的那样，也不能再带来流量。#霍尊# 说要严惩不贷，现在是时候查查造谣生事，浑水摸鱼的责任了  ,True,无,2021-05-13 07:56,HUAWEI Mate 9 Pro,8,1,0
Kf4ICDTiy,https://weibo.cn/comment/Kf4ICDTiy?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 这个事很清楚了，家属合理的诉求是人民内部矛盾，应该从责任认定、人道主义角度依法依规依情处理。而有组织搞事情的背后黑手属于敌我矛盾，必须严查。  
原始用户: 陈越看法
转发内容: 成都这个事儿，现在大家都明白了咋回事了吧？昨天几家央煤二货的表现是没有定力和眼光的，直接可以打负分的。这个事件一开始就不是简单的维权和讨要说法，而是有敌对势力在借着该事件进行煽动闹事的，家长只不过是被利用了，到了昨天下午的时候，他们看着事情的风向变了，突然也明白了，自己的孩子的什么精神状态朝夕相处的父母会没有一点感觉？！要么父母不称职，要么父母憋着不对外说出真相，仅此而已；从线上到了线下，从网上搞到了街头，有了标志性的行动口号，有了标志性的小白花，呵，这些人想干什么？！想搞茉莉花行动还是郁金香行动呢？一群反贼，跳来跳去的，只不过这次很快被大家看清楚了！马上有很多人反应过来了，这个事儿不对，有情况，就连某位大V在频频指责成都警方的发布水平的档口，发现自己话说的多了，被人当了枪使了，立即话风突变了。敌对势力会因为你的通报长短而不跟进不炒作吗？这是舆情应对的事儿吗？补一句，你们就是说得再详细，他们嘴上就是说不信，你能奈何？呵呵，当年老蒋司令会因为你把枪交了就会放过你们吗？那才是妄想了。这个成都的事儿，是对手的一次小练兵，牛刀小试而已，可惜昨天央煤的二货们偏偏没有起应有的作用，搞起了窝里横了，这个就很恶心了。#当地回应中学生坠亡关键六问#         [组图共4张]      原图                     ",False,无,2021-05-12 07:24,HUAWEI Mate 9 Pro,0,0,0
Kf1xQ3Fys,https://weibo.cn/comment/Kf1xQ3Fys?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 前因后果我不了解，但是被流浪狗咬了的那些人家门前，我没有看见献花的  
原始用户: 不二六叔
转发内容: #重庆德牧壮壮#心里很不舒服看不了这样的内容，狗狗的话题永远有争议 不二六叔的微博视频  ",False,无,2021-05-11 23:19,HUAWEI Mate 9 Pro,0,0,0
KeZ971JjI,https://weibo.cn/comment/KeZ971JjI?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 好像专门有抖音号，平时都是撩闲，这次终于干正事了  
原始用户: 光明网
转发内容: 【可可爱爱！#大熊猫向大熊猫玩偶求抱抱#】5月10日，河南洛阳，栾川竹海野生动物园，大熊猫看到展馆外熊猫玩偶，以为遇到了“大哥哥”。竟站起来撒娇，努力求抱抱，这一幕引得周围观众开心大笑。网友：我就知道大熊猫一直以来都是人装的。中新视频的微博视频  ",False,无,2021-05-11 17:13,HUAWEI Mate 9 Pro,0,0,0
KeRx2cr5z,https://weibo.cn/comment/KeRx2cr5z?uid=1450309337&rl=0#cmtfrm,"转发理由://@-罐儿-:厉害了//@l鱼苗I:流啤//@褴褛猫C:转就能中？谢谢菩萨🙏//@来锅香菜:真菩萨//@CCCery:还不如转这个...//@ICE未来可期:啊这个好真实//@枝野由奈:那我还是要两万吧🙏//@CaNHyee:现金备案放心转了  
原始用户: 辛德瑞拉小卖部
转发内容: 假抽奖太多，做一回菩萨吧。转发不用关注抽一位一万块，抽中已关，给你打两万。  抽奖详情  ",False,无,2021-05-10 21:49,HUAWEI Mate 9 Pro,0,0,0
KePQgDE9Q,https://weibo.cn/comment/KePQgDE9Q?uid=1450309337&rl=0#cmtfrm,"转发理由:#吐槽又不要钱# 网上参赛吧  
原始用户: 环球网
转发内容: #国际奥委会主席访日延期#【快讯！日媒：国际奥委会主席巴赫访日延期】据日本共同社刚刚消息，东京奥运会和残奥会组织委员会10日宣布，鉴于新冠疫情，国际奥委会主席巴赫原定5月访问日本的日程延期。  原图 ",False,无,2021-05-10 17:31,HUAWEI Mate 9 Pro,0,0,0
