微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgUsMo0uz,https://weibo.cn/comment/KgUsMo0uz?uid=1407156474&rl=0#cmtfrm,"转发理由://@真轩辕剑://@辟谣知真相://@多年后的尼洛:就按着@斯韦爵 来薅~  
原始用户: 辟谣知真相
转发内容: 1、上海静安，一名工人违规施工引发火灾。然后静安区建委主任等26人被追究刑事责任，静安区长等28人撤职等处分；2、昆山台资工厂爆炸，当地书记市长免职，开发区领导、安监、环保、消防等10多名官员被追刑；3、“民主自由”台湾高雄气爆32人死，相关官员无一被起诉。查看图片 //@余治明律师:没有领导不重视的。//@卞修全:惯于把灾祸当喜事办。//@谦卑侯爷:凑字数，还是固定格式？//@斯韦爵://@上帝爱子://@深圳县令://@梁冬微博:现在，没有这样的开篇我反而不习惯了。.         [组图共2张]      原图                     ",False,无,2021-05-24 08:58 ,iPhone客户端,0,0,0
KgUs2wxsA,https://weibo.cn/comment/KgUs2wxsA?uid=1407156474&rl=0#cmtfrm,"转发理由://@时啥月://@猫妖神烦://@hikaru口口几:啥玩意//@Lord_of_Nightmare ://@吊燈星星星 : //@锅盖库玛 :好的记住了//@蛸錦 :合生汇啊 记住了😅//@铃铛铛今年飞升了吗 :这就是女装店吗牛逼啊//@夜凌 :什么垃圾店铺//@小色色色色色色 :这店主和店员睁眼说瞎话的能力堪称一绝  
原始用户: Mavis_Kwok
转发内容: 今晚在合生汇@北京朝阳合生汇 的2层歌莉娅女装店@GLORIA歌莉娅微博 更衣间试衣服时，被一个约七八岁的小男孩闯入。更衣间是由布帘遮挡但有挂钩，发现男孩在门口时挂扣已经被取下了。男孩是由妈妈和外婆带着的，接下来就是诸如“他不懂，他什么都没做啊”之类的争辩了……与这一家的纠纷刚刚已经通过派出所民警的帮助得到了解决，主要想说说这家店的员工态度如何恶劣🙃首先，发生这件事时没有店员给予阻拦，是什么样的管理能让一个男孩子随意进入女性更衣区？接着，在我匆忙穿好衣服从更衣间出来试图继续找家长理论时，遭到了张姓女店长的阻挠，她“建议”我不要再去找这一家人了，此时还有其他3位店员围着男孩和家长在做安抚工作，从头到尾没有任何一位店员关心我这个“受害者”的感受，甚至从她们的态度让我觉得我仿佛是在无理取闹的“坏人”。我的男朋友与家长沟通无果且被推搡，遂决定报警。而此时这一家被带到了店后方休息区。也怪我们太天真，以为店里会帮我们留住这家人😅其实店员已经带着他们从后门出去了，并没有告知我，是民警来了之后我们才发现的。店长给的解释是，并不清楚这一家人从后门离开了，是他们自己走的。我们要求查看监控，店长多次说能看到这片区域的监控坏了还没有维修，什么都看不到。在民警的再三要求下才同意给我们看能正常工作的监控的录像。而就像视频里看到的，并不是这一家人“自己离开的”，是两名店员一个开门、一个护送帮助他们从后门走了。我通过监控视频认出了护送他们离开的店员（工号0899姓王），询问她情况和这样做的原因时，她回答的语气令我震惊，原话是“他们要去卫生间，我就开门了，怎么了？”……怎么了？是啊，我确实没办法说怎么了。只想问问@GLORIA歌莉娅微博 作为一个女性服装品牌，贵店的员工把女性的隐私安全和权益摆在什么位置呢？如果不是我给店经理打电话告知此事，她甚至都不知道自己店里发生了这件事。店长和员工，在我给店经理打电话前甚至没有一个人跟我道歉。还跟我说都是顾客，没办法偏袒我也不会偏袒他们。好一个不会偏袒，都围着那一家安抚的时候，把他们从后门偷偷送走的时候，我觉得你们偏袒得挺优秀的😀就因为是你们认识的老顾客所以就格外照顾他家闯进女更衣室的儿子吗？在我与对方家长还没有协调完的情况下，你们又有什么资格决定帮助他们先行离开呢？尽管后来在店经理的要求下，店长和姓王的女店员跟我道歉了，但是你们的措辞也好态度也好，都让我知道你们并不是真的觉得自己错了只想快点解决我这个“麻烦”罢了。只希望同样身为女性的你们，在非工作时间里自己也成为一名顾客的时候，万一不幸有跟我同样的遭遇，不要碰到像你们自己这样满口谎话不负责任的店员。 Mavis_Kwok的微博视频                     ",False,无,2021-05-24 08:56 ,iPhone客户端,0,0,0
KgUrbAIcA,https://weibo.cn/comment/KgUrbAIcA?uid=1407156474&rl=0#cmtfrm,"转发理由:自己剪辑错误，怨网友断章取义，这章是谁断的啊？怕不是故意剪成这样制造话题//@真轩辕剑:转发微博  
原始用户: 地瓜熊老六
转发内容: #苏芒说一天650伙食费不够#你们自己节目里清清楚楚说的是每一天每个人，字幕也写的清清楚楚是每一天每个人，上热搜了，又甩锅网友断章取义，那你们把完整辟谣视频放出来啊！！！  [组图共3张] 原图 ",False,无,2021-05-24 08:54 ,iPhone客户端,0,0,0
KgUqcwglz,https://weibo.cn/comment/KgUqcwglz?uid=1407156474&rl=0#cmtfrm,"转发理由://@真轩辕剑:转发微博  
原始用户: 江宁婆婆
转发内容: 算是典型的不能再典型的网络喷子了  [组图共4张] 原图 ",False,无,2021-05-24 08:52 ,iPhone客户端,0,5,0
KgUmpiyYk,https://weibo.cn/comment/KgUmpiyYk?uid=1407156474&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 中国长安网
转发内容: #点亮平安之星#【“刘叔叔，谢谢你jiu了我妈妈！”其实，她不是叔叔！】5月20日，黑龙江七台河市，小女孩将一封感谢信送给桃南派出所民警刘欣：“刘叔叔：谢谢你jiu了我妈妈！这块tang送给你。”其实，“刘叔叔”是工作十年的女警，因为身体原因常年留短发……安哥：巾帼英雄，愿你早日康复！详戳图↓↓↓         [组图共2张]      原图                     ",False,无,2021-05-24 08:42 ,iPhone客户端,0,0,0
KgUm2v56K,https://weibo.cn/comment/KgUm2v56K?uid=1407156474&rl=0#cmtfrm,"转发理由:  
原始用户: 英国报姐
转发内容: 国外一家公司准备推出的电动尾巴，可以自由变换外观种类，以随机动作模拟真实的尾巴，通过手机来控制开关和摆动模式...虽然看不懂但大为震撼  [组图共6张] 原图 ",False,无,2021-05-24 08:41 ,iPhone客户端,0,0,0
KgUjKnfdm,https://weibo.cn/comment/KgUjKnfdm?uid=1407156474&rl=0#cmtfrm,"转发理由://@田浩Ty:转发微博  
原始用户: 二总
转发内容: 有个朋友，十几年前带老婆自驾去云南。路上车坏了，下大雪。俩人弃车步行。碰到一辆某县法院院长的车，给救了。那是封山后最后一辆车，因紧急公务硬开上去的。不然，也就是几个月后找尸体的事。后来一直是朋友常来往。这都是天降的贵人。甘肃的牧羊大叔，那一刻就是菩萨附体。六个家庭。功德无量。  ",False,无,2021-05-24 08:36 ,iPhone客户端,0,0,0
KgUiddi77,https://weibo.cn/comment/KgUiddi77?uid=1407156474&rl=0#cmtfrm,"转发理由:这就是把婚姻与财产挂钩的弊端//@秋山老雷_什么时候能发二区sci:Repost Weibo  
原始用户: 魔法民工初号君
转发内容: 刚听说一个很蛋疼的事情，某离婚案件有报案记录和就医记录证明男方存在家暴行为，但是可能考虑到财产分配和子女抚养问题女方反而不同意离婚，结果法官不知道是正义感过强还是对于原《婚姻法》第三十二条比较执着，直接以一方家暴为由判离了，把财产也分掉了。结果今年直接被女方写信给举报了……其实个人觉得比较反直觉的一点是，现实中判离被举报的概率好像比判不离还高……                     ",False,无,2021-05-24 08:32 ,iPhone客户端,0,0,0
KgUhAtuJx,https://weibo.cn/comment/KgUhAtuJx?uid=1407156474&rl=0#cmtfrm,"转发理由://@龙门咖啡武士时雨:轉發微博  
原始用户: 观察者网
转发内容: 【重大突破！#我国育成抗赤霉病高产小麦新品种#】据科技日报，小麦赤霉病是世界性病害，被称为小麦“癌症”，不仅造成严重减产，产生毒素还会危害人类生命健康。23日，由江苏里下河地区农业科学研究所小麦研究室主任高德荣科研团队，通过10多不懈努力，采取分子育种技术，在国内首次成功选育出高抗赤霉病、抗白粉病的“双抗”高产新品种——扬麦33号，通过江苏省农业科学院组织的专家组评鉴，有望成为我国新一代主导品种，破解世界性难题。              原图                     ",False,无,2021-05-24 08:30 ,iPhone客户端,0,0,0
KgUhm0Y1k,https://weibo.cn/comment/KgUhm0Y1k?uid=1407156474&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: A岛-匿名版
转发内容: 我寻思我也妹有口音啊( ﾟ∀。)7  原图 ",False,无,2021-05-24 08:30 ,iPhone客户端,0,0,0
