微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KkvAXdPN9,https://weibo.cn/comment/KkvAXdPN9?uid=271503344&rl=0#cmtfrm,除了王思聪被抓或者死了，不想看到任何他的相关消息  ,True,无,2021-06-17 01:01 ,微博国际版,1,0,0
KkvujiQk3,https://weibo.cn/comment/KkvujiQk3?uid=271503344&rl=0#cmtfrm,"转发理由://@小鸳DIN田中代硸 ://@女王易衡 :Reactive abuse 反应性虐待，通过操纵受虐者情绪，使她们崩溃发疯，破坏她们的自我形象，指责她们才是虐待者和施暴者，而实际的虐待者顺利成为受害者。反应性虐待尤其常见于关系和家庭内。有个外国博主把女友关起来，逼到她发疯，再拍下视频发网上，让别人认为她疯  
原始用户: iMpEriALgardon
转发内容: 而且孙一宁后面和王思聪说的话包括直播直接发泄在我看来一定程度上也是害怕到失态了，就破罐子破摔那种，很恐怖啊朋友们，孙一宁发泄式地骂人，对面“嗯 好 你继续 到时候我都发上去”，就是那种把人逼疯以后自己在这边装受害人的操纵手段，很恐怖。  ",False,无,2021-06-17 00:44 ,微博国际版,0,0,0
KkuY15UsZ,https://weibo.cn/comment/KkuY15UsZ?uid=271503344&rl=0#cmtfrm,得有一年没吃过麻辣拌了！  ,True,无,2021-06-16 23:25,微博国际版,1,0,0
KkuQdiaR6,https://weibo.cn/comment/KkuQdiaR6?uid=271503344&rl=0#cmtfrm,"转发理由:哇！//@独自凭阑夏日长 :这要十万级别吧起码//@袁拾七 ://@金色的麦穗麦穗 ://@我是二姐夫 :整一个整一个//@微天下 :大户人家的乐高墙  
原始用户: 新浪资讯台
转发内容: 大户人家的乐高墙.....震撼我妈一整年.tt：dantedentoni  via：进击的阿木君的微博视频  ",False,无,2021-06-16 23:05,微博国际版,0,0,0
KkupN6SvO,https://weibo.cn/comment/KkupN6SvO?uid=271503344&rl=0#cmtfrm,为什么我一吃粉脸就会肿  ,True,无,2021-06-16 22:00,微博国际版,1,0,4
KkunTtgQp,https://weibo.cn/comment/KkunTtgQp?uid=271503344&rl=0#cmtfrm,"转发理由://@喵斯基转生号 :这个真不错//@怒海沉珠 : //@幻想狂劉先生 :后生可畏//@陳嘉上Gordon :  
原始用户: 教武术的体育老师
转发内容: 生而强者不必自喜也，生而弱者不必自悲也。吾生而弱乎，或者天之诱我以至于强，未可知也。东西著称之体育家，若美之罗斯福，德之孙棠，日本之嘉纳，皆以至弱之身，而得至强之效。 成都 教武术的体育老师的微博视频  ",False,无,2021-06-16 21:56,微博国际版,0,0,0
KkuebAoYD,https://weibo.cn/comment/KkuebAoYD?uid=271503344&rl=0#cmtfrm,这么看好像不很胖 独立猫爪的微博视频  ,True,无,2021-06-16 21:32,微博视频号,3,0,10
Kku6AgPD5,https://weibo.cn/comment/Kku6AgPD5?uid=271503344&rl=0#cmtfrm,给我两块现金：……这能干吗？抢到两块红包：好多，满意  ,True,无,2021-06-16 21:13,微博国际版,0,0,0
Kku3R0ap9,https://weibo.cn/comment/Kku3R0ap9?uid=271503344&rl=0#cmtfrm,"转发理由:谁不喜欢美女//@Sin90度为1 :我高中班上有个美女 我每天上课走神主要就是看她撩头发和做笔记的背影 她真的好美 以至于后来英语老师让我们一对一背单词的时候我天天准时主动去找她 她背不出来的时候还和我撒娇 啊人都酥了//@软软麻花 :女生真的会很努力做美女的朋友…//@有咲大爷 :我从小学就开始了  
原始用户: 休闲璐
转发内容: 其实我们普女也有很多喜欢舔美女的，不下十个直女朋友和我分享过自己上学或者工作的时候，主动帮美女买饭，做作业，买咖啡，干活的事迹。我自己的表现是这样的。高中时候有一位美女同学，她超级爱上厕所，每两个课间就要去遥远的厕所。而我喝水其实非常少，对厕所需求不高，我可以一上午不去一次厕所。我也不知道为什么我们高中时候女同学们一定要一起去厕所，如果自己去厕所就会觉得被全世界抛弃！总而言之就是美女不愿意独自去厕所，于是我经常陪这个美女同学去厕所。懒惰的我，一次又一次穿过操场觉得好累，但是身边的美女紧紧的拉着我的手，本普女完全感到快乐！而且不求回报！是不是！咱们女的有的时候就是情愿做美女的舔狗！帮美女一些顺手的小忙，出一点不太大的力气，一滴回报都不需要。看见美女开心自己就挺开心。你也知道美女有自己的好朋友，你们并不是最好的朋友，你这次帮她她下次未必愿意帮你。但是也无所谓！就挺想宠爱一下漂亮的小人儿，仅此而已。要我说男的喜欢美女未必有我们女的喜欢美女更真心！                     ",False,无,2021-06-16 21:06,微博国际版,0,1,0
KksPlpHyj,https://weibo.cn/comment/KksPlpHyj?uid=271503344&rl=0#cmtfrm,"转发理由:吐了//@殆知喵 ://@酒醒当庐仍是你24321 :  
原始用户: 柠柠每日吃瓜
转发内容: 大家扩一下，救救这个同妻🙏 3-8是骗婚gay和他炮友的聊天记录  [组图共8张] 原图 ",False,无,2021-06-16 17:58,微博国际版,0,0,0
