微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KkjoU7CVS,https://weibo.cn/comment/KkjoU7CVS?uid=314506000&rl=0#cmtfrm,"转发理由:  
原始用户: 吴雩无语
转发内容: #十堰燃气爆炸已致25人死亡#晚上给老妈打电话，突然觉得死亡人数不仅仅是一个数字，每个“1”都可能是我们认识的、见过的邻里好友...图二全家福蛋糕是我从小吃到大的蛋糕店，现在我在外地上大学，弟弟还在本地上小学，这也成了他的常备早餐...图二全相信大药房右侧是一家洗衣房，我们家原来开店的时候跟这一家人做了十几年邻居，现在邻居叔叔生死未卜...爆炸点上方的彭家豆腐，他家的原磨豆浆是我在外地从来喝不到的味道，现在店员不是遇难就是重伤...这条街上，每一家每一户都和我们打过交道的互相熟知的邻里。但现在，街道成了废墟，有的人也不在了...明明在上学前，他们还鲜活的在街道上吆喝...遇难人数真的不要再增加了🙏逝者安息，生者平安🙏🙏🙏         [组图共2张]      原图                     ",False,无,2021-06-15 17:58,荣耀30 Pro 5G,0,0,0
KkhLPAiEz,https://weibo.cn/comment/KkhLPAiEz?uid=314506000&rl=0#cmtfrm,"转发理由:可可爱爱  
原始用户: 萌宠生活秀
转发内容: 猫：铲屎的你能正经点吗   [组图共9张] 原图 ",False,无,2021-06-15 13:49,荣耀30 Pro 5G,0,0,0
KkeQgh16Y,https://weibo.cn/comment/KkeQgh16Y?uid=314506000&rl=0#cmtfrm,"转发理由:天灾还是人祸？  
原始用户: 头条新闻
转发内容: 【#湖北十堰燃气爆炸现场居民发声#：听到爆炸往下跑逃命要紧】据@央视新闻 消息，6月13日，湖北十堰市张湾区艳湖小区发生燃气爆炸事故，爆炸造成多人被困。视频显示#湖北十堰燃气爆炸现场损毁惨重#，房屋顶棚被掀翻，附近居民：听到爆炸就赶紧跑，逃命要紧。目前，当地正在组织救援。事故原因正在调查中。#十堰天然气爆炸#（视频来源：青蜂侠） 头条新闻的微博视频                     ",False,无,2021-06-15 06:22,荣耀30 Pro 5G,0,0,0
KjXK44HAL,https://weibo.cn/comment/KjXK44HAL?uid=314506000&rl=0#cmtfrm,"转发理由:打个马赛克吧  
原始用户: 萌宠百科
转发内容: 一只废猫.... 萌宠百科的微博视频  ",False,无,2021-06-13 10:50,荣耀30 Pro 5G,0,1,0
KjRrjuMgf,https://weibo.cn/comment/KjRrjuMgf?uid=314506000&rl=0#cmtfrm,"转发理由:  
原始用户: 陈志朋
转发内容: 打完第一针…💉谢谢 母亲的疼爱 …❤🇨🇳❤#陈志朋[超话]# 陈志朋的微博视频  ",False,无,2021-06-12 18:47,荣耀30 Pro 5G,0,0,0
KjNkjcN6C,https://weibo.cn/comment/KjNkjcN6C?uid=314506000&rl=0#cmtfrm,"转发理由:做个人吧  
原始用户: 人民日报
转发内容: 【#广州夫妇隐瞒中高风险地旅居史被立案侦查#】据@广州南沙公安 6月12日通报：家住南沙区珠江街嘉安花园小区的张某、鲁某夫妇于5月25日曾到过荔湾区中南街鹅公村（荔湾店）就餐。6月4日，南沙区在疫情防控主动排查过程中，发现该小区一个“五合一”样品初筛疑似阳性后，对该样品所涉人员张某等5人进行单人单管采样送检。6月5日，张某、鲁某二人被市疾控中心确诊为新冠肺炎病例，后被医院收治。此前，其二人活动轨迹已涉及南沙区多个公共场所。 经初步调查：张某、鲁某未如实向所在社区申报曾去过中高风险地区。6月3日，张某陪同鲁某前往医院就诊时，鲁某未如实填写《新冠肺炎流行病学调查问卷》，未如实告知医生近14天内的旅居史。因张某、鲁某的行为引起新冠肺炎传播严重危险，目前南沙警方已对其二人涉嫌妨害传染病防治依法立案侦查。              原图                     ",False,无,2021-06-12 08:19,荣耀30 Pro 5G,0,0,0
KjBFn0fBg,https://weibo.cn/comment/KjBFn0fBg?uid=314506000&rl=0#cmtfrm,"转发理由:  
原始用户: 中国新闻周刊
转发内容: 【#90岁老人找到58年前被拐儿子#：我没有一天放弃找他】1963年，年仅2岁的罗亚军在山东薛城火车站被人抱走。从那以后，他的父亲罗凤坤开始了长达58年的寻子之路。几天前，在公安部组织下，一家人终于再次见面。此时，当年的幼子已是花甲老人，父亲已是90岁高龄，而母亲早已离世…罗凤坤说，得到消息后哭了一整天，“高兴啊，我现在没有遗憾了”↓ 愿天下无拐，万家团圆！@央视新闻  央视新闻的微博视频                     ",False,无,2021-06-11 02:38,荣耀30 Pro 5G,0,0,0
KjzS7zgyw,https://weibo.cn/comment/KjzS7zgyw?uid=314506000&rl=0#cmtfrm,"转发理由:没错//@可爱多哎-:《父母爱情》江德华，《知否知否应是绿肥红瘦》大娘子，《隐秘的角落》周春红 《觉醒年代》赵纫兰 这么多出色的角色 评委咋想的 到底演成啥样能获奖  
原始用户: 甜甜放映室
转发内容: #刘琳没拿最佳女配好可惜#刘琳也要可惜了吧，感觉她完全配得上一个奖的，心疼刘琳老师啊  [组图共9张] 原图 ",False,无,2021-06-10 22:04,荣耀30 Pro 5G,0,0,0
KjzRIuwaE,https://weibo.cn/comment/KjzRIuwaE?uid=314506000&rl=0#cmtfrm,"转发理由:有点遗憾黄轩  
原始用户: 微博电视剧
转发内容: #白玉兰获奖名单# 第27届上海电视节白玉兰奖获奖名单揭晓！白玉兰最佳电视剧：《山海情》白玉兰最佳男主角：《觉醒年代》于和伟白玉兰最佳女主角：《三十而已》童瑶白玉兰最佳男配角：《山海情》尤勇智白玉兰最佳女配角：《山海情》黄尧白玉兰最佳导演：《觉醒年代》张永新白玉兰最佳编剧：《觉醒年代》编剧龙平平白玉兰最佳摄影：《山海情》杨振宇白玉兰最佳美术：《流金岁月》邸琨         [组图共8张]      原图                     ",False,无,2021-06-10 22:03,荣耀30 Pro 5G,0,0,0
Kjw6KxFBA,https://weibo.cn/comment/Kjw6KxFBA?uid=314506000&rl=0#cmtfrm,"转发理由:等结果  
原始用户: 新浪娱乐
转发内容: #大S妈妈称女儿压力很大# #大S妈妈称自己不想管了# 9日，台媒就汪小菲发文再次采访大S妈妈，S妈表示：“不要管他（汪小菲）了”，并称女婿找不到地方发泄就发文，“两个人隔了这么远还能吵，我也不想管了”。大S妈妈透露女儿在家里带小孩，因为不能上学、不能出门，连公园也不能去，压力也很大。  原图 ",False,无,2021-06-10 12:29,荣耀30 Pro 5G,0,0,0
