微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgXYQxPkd,https://weibo.cn/comment/KgXYQxPkd?uid=1398835600&rl=0#cmtfrm,"转发理由:🙏//@赵叔的铅笔:一定的一定会的  
原始用户: 孤烟暮蝉
转发内容: 【外交部：袁隆平院士的梦想一定会成为现实】5月24日，外交部发言人赵立坚表示，袁隆平院士不仅属于中国也属于世界，他毕生奋斗的梦想，是让杂交水稻覆盖全球，让所有人不挨饿。中国创造了粮食自给的人间奇迹，也有意愿、有能力继续为全球粮食安全治理作出更大贡献。“我们相信在各方的携手努力下，袁隆平院士的梦想一定会成为现实。饥饿和贫困终将从地球上消失！ 孤烟暮蝉的微博视频                     ",False,无,2021-05-24 17:55 ,iPhone 12 Pro,74,7,2
KgX4umjfo,https://weibo.cn/comment/KgX4umjfo?uid=1398835600&rl=0#cmtfrm,"转发理由://@蜗蜗牛的地盘:黄尸曱甴真係当坐监係度假啊？监仓唔係度假村啊!  
原始用户: 屈穎妍002
转发内容: 這是一場熱痱革命屈穎妍2021-5-24今日壹號頭條大新聞是：爆眼女原來沒爆眼！根據《東方日報》頭版報導，2019年反修例事件的「革命圖騰」爆眼女，原來已於去年9月離港赴台，人家雙眼完好容顏標致，這叫天天捂住一邊眼大叫「光時」口號的支持者情何以堪？早陣子法庭上已有網名「金正恩」的地盤工承認虛構「警察新屋嶺性侵」故事，今又有報紙圖文並茂揭破爆眼女謊言。其實，前幾日亦有一革命神話破滅：坐監不會令人生更精彩，只會令人生熱到爆。 天文台昨日錄得氣溫36.1度，是有史以來最熱的5月天。曾因佔中案入過獄的中大教授陳健民在臉書分享他的獄中酷熱經歷：「我住的監倉位於頂樓，在30多度豔陽下暴曬，本來就是一個蒸爐。那天收工回倉，熱到連呼吸也有困難。暴曬下的密封環境產生溫室效應，我看見囚友們都如鍋上螞蟻……」陳健民呼籲大家齊來參與網上聯署，要求改善監獄酷熱問題，為獄內手足爭權益，據說，33小時內已徵集簽名逾十萬，香港信邪教的人還是挺多的。因為這陣子天氣悶熱，探監的人回話，都說獄中一眾大佬細佬熱到阿媽唔認得，何俊仁「憔悴落晒形」，尹兆堅全身「出熱痱」……還以為是什麼火烙刺青的十大酷刑，出熱痱而已，如果關掉風扇，再熱他幾晚，看來什麼都會和盤托出。革命喎，連丁點熱都耐不住，別說拋頭顱那層次了。所謂十萬聯署向懲教署提的要求就更可笑，包括：1，容許家屬帶入退熱貼、便携電風扇、太陽油、太陽眼鏡；2，監獄提供冰水及增加洗澡次數；3，監房頂層及外牆髹上隔熱塗層，倉內增設強力抽風設備。太陽眼鏡、太陽油、飲冰水……好明顯，他們真的以為自己在渡假。要不要來個Spa、弄杯沙冰、嘆住冷氣讓你點首歌？坐監熱是常識，冬天冷、夏天熱是懲罰的一部分。況且監獄不是今天才存在，酷熱天氣也非今日才有，特首、富豪、明星、大賊都是這樣過。香港的監獄全是港英年代建的，如果你們說不人道，即是譴責英國佬不人道。其實，黃絲應該是最能耐熱的。還記得2019那個夏天嗎？酷熱警告下，大家一律黑衫黑褲黑口罩黑面罩由頭包到腳，還有頭盔、護甲，全身full gear穿到糉一樣，又跑又跳又放火，他們只覺光榮不覺熱，更沒聽聞有人生熱痱。反而今天，赤身短褲乜都唔使做、坐定定喺度，吹著赤柱海風，卻呻熱？實在莫名其妙。阿媽教落：心靜自然涼。我就教黃絲：不犯法，一定涼，還可回家嘆冷氣添！ http://t.cn/Rjxk1Nv港人博評/71726                     ",False,无,2021-05-24 15:36 ,iPhone 12 Pro,101,5,5
KgVIttxb8,https://weibo.cn/comment/KgVIttxb8?uid=1398835600&rl=0#cmtfrm,"转发理由:袁爺爺一路走好！  
原始用户: 中新视频
转发内容: #袁老身上覆盖着鲜红的国旗#【#袁隆平遗体送别仪式上民众跪地痛哭#】5月24日上午10时，“杂交水稻之父”、“共和国勋章”获得者袁隆平院士遗体送别仪式在长沙市明阳山殡仪馆铭德厅举行。社会各界人士送别袁隆平院士最后一程。（白祖偕）  中新视频的微博视频  ",False,无,2021-05-24 12:09 ,iPhone 12 Pro,370,56,26
KgU9D2vL3,https://weibo.cn/comment/KgU9D2vL3?uid=1398835600&rl=0#cmtfrm,"转发理由:TMD，俾曱甴藉佢只眼搞到香港天翻地覆，完咗自己一走了之，连句道歉都冇。  
原始用户: 洪門老幹部
转发内容: #祖国反黑站[超话]##我们撑你HKP[超话]##机动部队[超话]##香港警察[超话]##14亿人撑香港##守護香港# 真相大白？香港东方日报A1：爆眼女无爆眼　笑住去呆湾？？黑暴曱甴妹去咗呆湾，千万不要再回来前年香港反对修订《逃犯条例》示威中受伤的「爆眼少女」，原来早於去年已离港，身体及精神状况相信无大碍。该少女自事发後一直鲜有现身，即使曾在「民间记者会」的录影片段中露面，亦用纱布贴着右眼，并架上太阳眼镜，故其真实伤势如何，一直都是谜团，而黑暴亦一直以此炒作，发起连串针对港府或警方的集会。然而，根据本报获得的独家消息及图片，她已前赴台湾，而从照片上清晰可见，其双眼炯炯有神，与送机的亲友谈笑自若，与常人无异。据消息人士透露，该少女於去年9月30日现身香港国际机场赴台湾，数名亲友前来送行。据机场直击可见，该少女当日身穿白色上衣及浅色裙，精神饱满，背着一个背囊及一个斜背袋，期间一度脱下口罩，露出其标致样貌，并从手袋内取出疑似机票，身旁的朋友围着她有讲有笑。另有照片显示她进入机场禁区之後，与朋友身穿防护衣及戴上口罩，在离港航班显示屏旁展示「V字」手势，面露笑容及眯起双眼合照留念。当时显示屏写有航班编号「CI910」，即中华航空，由香港往台湾，起飞时间为当日下午2时，未知她是否正正乘坐该航班。有些相片则显示她低头玩手机，轻拨秀发。综合多张不同角度拍摄的照片可见，她的双目明亮有神，精神及健康状况俱佳。为了解少女现时的身体情况，记者近日多次到访她的寓所，欲向其家人求证，只见单位外装有闭路电视，以及挂有一支消毒剂，记者拍门但无人回应，但屋内传出微弱声响。据知，该单位属於其家人，於早年买入至今。记者及後致电其家人，惟对方接线後默不作声，很快更收线。事发於前年8月11日晚上，负责救伤的事主在弥敦道近尖沙咀警署的冲突现场中，右眼被异物击中受伤，血流如注，及後被送院治疗。其受伤原因众说纷纭，有指是被警方的布袋弹击伤，亦有指是有人企图用桠杈射向警署发射钢珠时，意外打中事主。事件的另一个疑点是少女的护目镜有布袋弹残骸？惟根据媒体的相片，可见其眼罩根本没有相关残骸。此外，有分析指，少女与警署间有一块两米高的巴士站广告牌，因此布袋弹难以由尖沙咀警署内部发射击中她，加上布袋弹的弹头为弧形，可贯穿眼罩的机会不高。资讯来自香港东方日报 香港         [组图共9张]      原图                     ",False,无,2021-05-24 08:11 ,iPhone 12 Pro,466,43,102
KgO9s435Y,https://weibo.cn/comment/KgO9s435Y?uid=1398835600&rl=0#cmtfrm,"转发理由://@ChaosMesiac:辛辛苦苦开小船过去，你又让我游回来  
原始用户: 上帝之鹰_5zn
转发内容: 连移居蛙岛的港人都受不了了，成批返港接种疫苗  原图 ",False,无,2021-05-23 16:54,iPhone 12 Pro,268,7,45
KgNUj2WDO,https://weibo.cn/comment/KgNUj2WDO?uid=1398835600&rl=0#cmtfrm,"转发理由://@雪安安飛:冲着警察子女来的@風中微塵 @我是香港警嫂 @郭嘉銓 @高振邦Bon  
原始用户: 港闻速递
转发内容: 油塘政府纪律部队宿舍惊现色魔！ 一名胆大包天18岁青年，前晚身揣避孕套，尾随一名警员的16岁女儿回家，从后箍颈拟拖往梯间施暴，幸少女奋力反抗及呼救，惊动母亲赶来截获色魔 ，警方在疑犯身上起出一个避孕套，正追查他有否涉及其他风化案。  原图 ",False,无,2021-05-23 16:16,iPhone 12 Pro,235,13,47
KgMStveJF,https://weibo.cn/comment/KgMStveJF?uid=1398835600&rl=0#cmtfrm,"转发理由://@·XxxxX·:把爷爷的两个梦都给画出来了，我想哭。//@·XxxxX·:年轻的他手里拿着稻子，获得共和国勋章之后的他手里依然拿着稻谷。 年迈的他看着年轻的他，真的一辈子都在为一个理想一个信仰活着，一辈子都献给人民献给国家了。   
原始用户: 乌合麒麟
转发内容: 让每个人都能吃饱饭，是中国人的信仰深切缅怀袁隆平院士 无水印大图已经上传置顶微博网盘，大家随意下载。  原图 ",False,无,2021-05-23 13:39,荣耀V30 PRO 5G,260,23,9
KgMDSqQVE,https://weibo.cn/comment/KgMDSqQVE?uid=1398835600&rl=0#cmtfrm,"转发理由:早前逃去台湾的曱甴仔千万别又跑回香港来了呀！  
原始用户: 孤烟暮蝉
转发内容: 湾湾还能捂多久呢？#台湾疫情#  [组图共2张] 原图 ",False,无,2021-05-23 13:03,荣耀V30 PRO 5G,252,5,27
KgL9wDzic,https://weibo.cn/comment/KgL9wDzic?uid=1398835600&rl=0#cmtfrm,"转发理由://@我们都爱暖新闻:如果在中国，那公知们不写个5000字的文章，买上两天的热搜，都说不过去。  
原始用户: 斯图卡98
转发内容: 印度中央邦印多尔小商贩，面对警察直接把水果砸了民主社会不是都可以可以自由的摆摊?  斯图卡98的微博视频  ",False,无,2021-05-23 09:16,iPhone 12 Pro,158,30,29
KgKSQ7DlG,https://weibo.cn/comment/KgKSQ7DlG?uid=1398835600&rl=0#cmtfrm,"转发理由:OMG!  
原始用户: 新华社
转发内容: #甘肃山地马拉松16名参赛选手遇难#【#甘肃景泰一马拉松百公里越野赛已发现16人遇难#】记者从黄河石林山地马拉松百公里越野赛失联救援指挥部获悉，22日上午在甘肃省白银市景泰县黄河石林景区举行的黄河石林山地马拉松百公里越野赛遭遇极端天气，截至23日3时，已发现16人遇难，还有5人失联正在救援中。　　据指挥部介绍，当天中午1点左右，百公里越野赛高海拔赛段20公里至31公里处，受突变极端天气影响，局地出现冰雹、冻雨、大风等灾害性天气，气温骤降，参赛人员出现身体不适、失温等情况，部分参赛人员失联，比赛停止。当地马上组织多方力量搜救失联人员。　　接到当地报告后，甘肃省委、省政府第一时间召开专题会议，立即启动应急预案，成立失联救援指挥部并组织救援力量700余人投入搜救。由于赛段内地形地貌复杂，夜间气温再度下降，搜救难度较大。截至23日3时，151名参赛人员已经确认安全，其中轻伤5人在医院救治，情况稳定。16名参赛人员找到时已失去生命体征，另有5人仍在进一步搜救中。　　据介绍，该赛事由白银市委、市政府主办，景泰县承办，具体赛事运营由甘肃晟景体育文化发展有限公司负责，共计172人参与百公里越野赛。（记者郭刚、李杰、范培珅）              原图                     ",False,无,2021-05-23 08:35,iPhone 12 Pro,60,3,33
KgFHoFUx3,https://weibo.cn/comment/KgFHoFUx3?uid=1398835600&rl=0#cmtfrm,"转发理由://@事的玩好很件是的真话说着倒:回身散袖天上去，佑我中华世无忧。//@你的眼泪温暖了我的心:昨夜山河齐恸震，今朝双星辞九州🕯  
原始用户: 红星新闻
转发内容: 【一路走好！#长沙市民雨中送别袁隆平#】泪目！长沙街头市民雨中自发送别袁隆平。众人齐喊“袁爷爷，一路走好”。#长沙市民齐喊袁爷爷一路走好# 红星视频的微博视频 #送别国之脊梁袁隆平#  ",False,无,2021-05-22 19:23,iPhone 12 Pro,511,59,32
