微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgXFjkCxI,https://weibo.cn/comment/KgXFjkCxI?uid=1642512402&rl=0#cmtfrm,【#辣条还能火多久#】 近日，辣条一哥#卫龙辣条要上市了#引发关注。若此次IPO成功，卫龙将成为“辣条第一股”。一个辣条如何撑起700亿估值，辣条还能火多久？有网友表示，年轻人青睐辣条，使得辣条市场的竞争越来越激烈，未来能火多久还未可知；也有网友认为，网红效应推动辣条发展，网红效应持续时间一般较短。你认为，辣条还能火多久？#周刊君调查#辣条还能火多久？                                 ,True,无,2021-05-24 17:07 ,微博 weibo.com,896,5,55
KgYE41cR5,https://weibo.cn/comment/KgYE41cR5?uid=1642512402&rl=0#cmtfrm,【天价！#苏伊士运河搁浅货轮遭59亿元索赔#！】苏伊士运河管理局23日发表声明说，其法人代表已要求“长赐”号货轮的船东公司支付价值9.16亿美元，约合人民币58.9亿元的赔偿金。悬挂巴拿马国旗的重型货轮“长赐”号3月23日在苏伊士运河新航道搁浅，造成航道堵塞6天。“长赐”号脱困后并没有离开埃及，而是被苏伊士运河管理局扣押。苏伊士运河管理局已向日本船东公司索赔，但目前双方并未就赔偿金额达成一致。@央视                  原图                             ,True,无,2021-05-24 19:36,无,20,2,6
KgYB4t4QY,https://weibo.cn/comment/KgYB4t4QY?uid=1642512402&rl=0#cmtfrm,【#银川马拉松赛将建立赛事熔断机制#】记者在24日举行的2021“丝绸之路”宁夏·银川马拉松赛新闻发布会上获悉，该赛事将于5月30日上午7点鸣枪开跑 。据了解，为确保比赛安全顺利进行，赛事主办方已建立赛事熔断机制。(中国新闻网)http://t.cn/A6VMJ4xW  原图 ,True,无,2021-05-24 19:29,无,17,1,8
KgYrc9dya,https://weibo.cn/comment/KgYrc9dya?uid=1642512402&rl=0#cmtfrm,【市民#个人征信报告现侮辱字眼# 银行：已在线删除】近日，江苏南通房女士在查询个人征信时发现，其职业信息“工作单位”一栏中竟然出现了 “专业做鸡十年”字样。记者了解到，经银行协调，涉嫌上传不当信息的晋商消费金融股份有限公司已做了在线删除处理。房女士称，事发后她一直没有收到涉事公司针对此事的正当说法。（人民日报客户端）http://t.cn/A6VMLFLm                  原图                             ,True,无,2021-05-24 19:05,无,972,54,100
KgYiZCHGE,https://weibo.cn/comment/KgYiZCHGE?uid=1642512402&rl=0#cmtfrm,【#园方回应女子跳进鸵鸟圈偷蛋#：被抓后认错态度好，对其批评教育】5月23日，山东德州。网曝在德州动植物园内，一女子跳入鸵鸟圈内偷蛋。视频中，该女子翻越围栏后抱起鸵鸟蛋就跑。24日德州动植物园经理表示，女子在要出园的时候被发现，园方本打算报警，鉴于女子认错态度好，对其批评教育。#女子跳进动物园鸵鸟圈捡蛋#@时间视频 时间视频的微博视频                                 ,True,无,2021-05-24 18:45 ,微博视频号,178,15,71
KgYcPeGkh,https://weibo.cn/comment/KgYcPeGkh?uid=1642512402&rl=0#cmtfrm,#警方回应四川一教师性侵学生并拍视频威胁# 【#四川一教师疑性侵学生并拍视频威胁# 警方：已立案侦查 嫌疑人被刑拘】近日，有网友爆料称四川南充阆中市东风中学校教师吕某某疑性侵学生。据爆料称，该老师诱骗学生至宾馆迷晕后实施强奸行为，后又多次拍下不雅视频威胁，导致该名学生患上性病，并出现轻生倾向。5月24日，正观记者从阆中市公安局获悉，该事已经立案侦查，并在接到报案的第二天，根据查证的相关证据对嫌疑人采取了刑事强制措施。#教师性侵学生并拍视频威胁被刑拘#  @正观视频   正观视频的微博视频                                 ,True,无,2021-05-24 18:30 ,微博视频号,164,29,59
KgY4X8RKZ,https://weibo.cn/comment/KgY4X8RKZ?uid=1642512402&rl=0#cmtfrm,【#中国盲人张洪登顶珠峰# 】据多方消息，46岁的中国视障登山者张洪，于2021年5月24日尼泊尔时间上午9点到24点，在3名夏尔巴协作的带领下，成为亚洲首位登上世界最高峰珠穆朗玛峰的盲人。张洪此前是中国第一个也是唯一一个登顶6000米、7000米雪山的盲人登山爱好者。而登珠峰是他一直的心愿，他从2019年就开始筹备，2020年因疫情珠峰南北坡都取消了登山活动。直到2021年，他终于圆梦。(封面新闻）             [组图共2张]      原图                             ,True,无,2021-05-24 18:10,无,236,16,30
KgXWTpT2k,https://weibo.cn/comment/KgXWTpT2k?uid=1642512402&rl=0#cmtfrm,#女子跳进动物园鸵鸟圈捡蛋#【真奇葩！山东德州一女子游玩动物园 竟跳入鸵鸟圈内偷走鸵鸟蛋】5月23日，山东德州动植物园内，一名女子当众跳入鸵鸟圈内，抱起一个鸵鸟蛋就跑。据视频拍摄者称，女子好几次想跳进去被家人制止，结果还是跳进去了，最后女子将鸵鸟蛋拿走了。小编提醒：请文明游玩，勿将无知当有趣。@燃新闻 燃新闻的微博视频                                 ,True,无,2021-05-24 17:50 ,微博视频号,228,16,95
KgXOtiZz4,https://weibo.cn/comment/KgXOtiZz4?uid=1642512402&rl=0#cmtfrm,【机智！#小伙身陷传销组织手指写110获救#】近日，市民小可到西安见网友，结果身陷传销组织。对方以生病为由从其父母那里骗取8万元，并带他到银行取钱。柜台前，小可把110写在左手中指上贴在玻璃上敲打，工作人员看到后将小可身份证银行卡扣了下来，并立即报警。@看看新闻KNEWS 看看新闻KNEWS的秒拍视频  ,True,无,2021-05-24 17:30 ,微博视频号,111,6,20
KgXGm5Hm9,https://weibo.cn/comment/KgXGm5Hm9?uid=1642512402&rl=0#cmtfrm,【#外交部称袁隆平逝世是中国和世界巨大损失#：#赵立坚称袁隆平的梦想一定会成为现实#】24日，外交部发言人赵立坚表示，中国著名科学家、共和国勋章获得者、中国工程院院士袁隆平逝世后，中外各界都表示沉痛悼念，这充分说明他对中国乃至世界杂交水稻事业所作的贡献，受到广泛认可和高度评价。他的逝世是中国和世界的巨大损失，他将永远为人们所缅怀和铭记。“金黄沉甸甸的稻谷，让无数人享受到了吃饱的幸福，看到了生活的希望。”赵立坚说，袁隆平院士不仅属于中国，也属于世界。他毕生奋斗的梦想，就是让杂交水稻覆盖全球，让所有人不挨饿。中国创造了粮食自给的人间奇迹，也有意愿、有能力继续为全球粮食安全治理作出更大贡献。我们相信在各方的携手努力下，袁隆平院士的梦想一定会成为现实，饥饿和贫困终将从地球上消失。（人民日报）人民视频的微博视频                                 ,True,无,2021-05-24 17:10 ,微博视频号,247,18,17
