微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KdkyfyWnV,https://weibo.cn/comment/KdkyfyWnV?uid=1400147553&rl=0#cmtfrm,有一些本色在渐渐复苏。我看见残阳，微曦，碎裂的光斑，罩染在层层叠叠的砂砾上。房间里一定有什么，至少，有一种答案，可以束缚我，抵挡成群结队的想象来劫掠。这个春天比其他年份要冷一点，所以夏天会更加不可捉摸。那又如何呢。终归有个甲壳，看上去越是颓圮，衰败，住进去就越是安静，孤独。四月，你好。四月，再见。                  原图                             ,True,无,2021-04-30 20:02,微博 weibo.com,22,11,6
KgUJ89FkF,https://weibo.cn/comment/KgUJ89FkF?uid=1400147553&rl=0#cmtfrm,"转发理由:把一个僵尸片搞得这么苦逼，也是够了。  
原始用户: 谭伯牛
转发内容: 豆瓣打分太没人味了。老爸没办法杀了妈妈 女儿又没办法杀了爸爸 同时僵尸届不断迭代。这不就是人类简史吗 加上这样酷的视觉效果 还说什么单车。  原图 ",False,无,2021-05-24 09:38 ,HUAWEI Mate30 Pro 5G,0,1,4
KgUEjq6In,https://weibo.cn/comment/KgUEjq6In?uid=1400147553&rl=0#cmtfrm,"转发理由:有理。学习了。//@汗青微博:转发微博  
原始用户: ChefGian
转发内容: 最近工作繁忙，所以非常简单的聊一下这个越野跑的惨痛事故。首先表示对遇难者的哀悼和同情，不管因为什么原因，这些人不应该死去。我个人对越野跑并没有深入的研究，观点纯属从一个野外作业工作人员的角度来看，有说的不对的地方欢迎大家指正，我虚心接受。对我的职业没概念的朋友们可以去看这个：厨猎记第一集 “来自远方的呼唤”：http://t.cn/A6tYOlFq厨猎记第二集“沼泽地上的神枪手”：http://t.cn/A6cpMEeZ 厨猎记第三集“极光下的水怪”http://t.cn/A6VIn1oh首先简单的说一下在野外人有多脆弱。人经过几万年的进化，加上近几千年来的科技发展，如果没有各种科技加持（哪怕是件兽皮）我们的躯体结构，代谢能力和防护能力在自然环境中的防护能力基本就是战五渣。人类身体对阳光，雨水，风，寒冷，热浪等一切外界伤害的抵御能力比起动物连1%的能力都不如，阿拉斯加雪橇犬可以在体感温度零下60度的环境中窝在雪堆里睡觉，可以超过两天不摄取食物而继续生存，人类在同样环境下五分钟暴露在空气中的手脚就会失去知觉。越野跑，马拉松跑，柔道，搏击，篮球，足球这类竞技和对抗类的运动员的户外耐寒能力远低于肥宅，体脂率太低，每公斤体重的基础代谢又过高。耐力型运动员的运动代谢远低于普通人，但是每公斤体重的基础代谢率要更高，在野外每公斤体重的基础代谢更影响生存，好比一个200斤的死胖子（比如我本人）基础代谢可能是2500卡，一个体重100斤的体操运动员（肌肉纤细，耗氧量底）她的基础代谢可能只有1500卡，但是单位体重的基础代谢依然是我更低，在野外也更能抗。再说一次，这些越野跑的参赛选手，虽然他们的运动能力很强，但是对户外环境的抵抗能力有一个算一个远远低于中关村社畜。给大家一个比较，我个人一年有十个月在猎区和加拿大北部的无人区工作，工作内容全部都属于野外作业专业范畴（导钓，导猎，伐木，保育，野外营地修建维护，协助科考，协助探矿，野外救援和追踪盗渔盗猎）我身高172，冬季体重96公斤，最近工作比较忙，体重掉到了92公斤，常年体脂水平维持在25%以上，猎季开始之前一般把自己体脂吃到30%。下面说一下我看到的国内外“户外运动”的各种花样作死。这些年长距离越野跑国内外出事的很多，这个跟是不是在中国没关系，跟人种也没关系，白人各种花样作死的也很多，我认为主要问题是出在以下几个方面。第一是观念和概念问题，无论国内外，这些年总把越野跑宣传成一种“户外运动”，我个人非常不认同这点，我认为越野跑更多的是一种在“户外进行的竞技体育”，原因前面说过了，所有的长距离越野跑，有一个算一个，都是把一群具有强大的单项运动能力但是在野外无比脆弱的人群，聚集起来进行一个单一目的的运动竞赛。 去把这个运动竞赛宣传成一种户外运动，具有很强的误导性，会让这项竞技运动的组织者和参赛者包括观看者从主观意识上忽略了”参赛人群在野外低于一般人的脆弱性”这一关键的安全讯息，从而导致各种悲剧的产生。第二是专业性的问题，所有的体育赛事，第一重要的永远都是安全而不是成绩。作为赛事的主办方，最起码的要有具备户外医学知识的人把关，据目前我在微博看到的内容，强制装备的把关没有，最困难最容易出事的赛段没有设站，所有能犯的错误都犯了。以赛事当天的气温和条件，但凡有一个有基本户外医学知识的人在起跑点看见选手们穿着短袖短裤，就应该果断的叫停了。这种大量皮肤暴露在外的穿着，在大风下哪怕气温是20度，半个小时也一定会失温。在当时的气候情况下，起跑线上发出一帮半裸着的选手去跑步，赛事的举办方已经不是业余的问题了，是属于缺乏基本常识。第三个问题是选手自身的问题，人贵在有自知之明，外出活动，无论是参加竞技赛事，还是穿越，还是外出游玩，永远要记住，自己的命是最重要的，不过是一个越野跑而已，又不是要跟美国人拼刺刀，感觉不对了该放弃放弃。这里出现的很多问题也是“无知者无畏”，这里不是在攻击这些跑者，而是在野外，不具备相关知识的情况下很容易过危险线（Point of No Return），户外最危险的两个敌人一个是失温一个是脱水，这两个症状无比危险的一个重要原因就是当肌肉开始因为失温开始颤抖，或者因为脱水开始抖动（这两种具体症状反应不同）的时候，通常代表着失温和脱水已经发展到一定程度了，已经脱离了人体能够自我调整回来的极限值了。在没有外界介入的情况下后续症症状的出现是不可避免的。而在野外，很难获得外界帮助。我知道很多有医学和救护背景的人士在照本宣科的告诉大家颤抖是失温症的初始症状，后面接踵而至的是疲劳，意识模糊等等等等。但在野外的情况下，真要等到颤抖开始已经晚了。我个人作为一个职业野外作业的工作人员，身上穿全套装备的情况下，在野外一旦开始觉得手脚温度上不来，核心温度对四肢的供暖能力下降，就要考虑能否在两个小时内回到营地了，如果回不去就会马上收集燃料开始生火，一般收集到能熬过夜的柴火需要一个半到两个小时，简单的庇护所搭建需要一个小时，等我坐下来开始烤火的时候身上已经开始颤抖了，所以真的等到颤抖再开始想办法，就已经晚了。脱水也是一个道理，脱水到手抖的时候就已经不能喝纯水来补水了（会水中毒），在野外，一切都要提早意识，提早发现，提早处理，有看过我厨猎记第一集的朋友们可能记得，我们在大沼泽地上打猎的时候一直在计算还有多少个小时的阳光，还有多少公里的距离，这一些的计算都是针对如何安全的回到营地，而不是如何打到猎物，猎物跑了大不了再追，命没了就什么都没有了。即使在有极其好的猎物出现在眼前的时候，如果算出来安全返回营地的时间不够，我们也会坚决放弃猎物。命比什么都重要。话有点说远了，继续说选手的问题，我看新浪新闻里一个参赛选手的自述，他从出发点跑了两公里身体都没有热起来，这就是身体在向他发出明确的警告了，身上的衣服穿少了，他完全没有理会，继续跑，这就是“无知者无畏”，这里的无知不是说他傻，而是说他“确实不知道这个信号的意义和危险性“ 他继续跑雨水和风造成他过了CP3后失温状况加剧，还好他后撤了，把命保住了，但是在他的描述当中，他是这样说的”“我想我是幸运的，在最后时刻及时做了决定，做决定那一刻，应该是在失温的边缘徘徊，处在临界点上，毫厘之间，下山的时候，已经出现了失温的症状” 我已经说了三遍了，这里再说一遍，什么是“无知者无畏”（这里无知没有贬义，只是陈述）。按照他的描述，在下山的时候他已经开始出现意识不清了，这代表了他早就过了失温的边界线了，已经出现比较后期的症状了。而不是他所想的“在失温的临界点上”。这也就是说他差点死在失温症上，侥幸存活了下来，他依然不知道失温症的顺序症状是什么，要我说这心也真是够大的。第三，说一下应对措施，昨天下班太累了，没来的及回复，有人圈我，给我看一帮选手在山上被大风吹大雨淋，问我这种情况怎么办？ 这里回答一下，首先我永远不会穿着短裤短袖上山，以前不会以后也不会，不管是什么原因。我除了在营地在家的时候或者去健身房的时候会穿短袖短裤，平日哪怕是在后院干活，永远都是长裤长袖，可能会穿紧身压缩排汗衣服（也都是长袖），这个属于职业病，我平日都尽量不在屋外暴露皮肤。第二，我作为一个死胖子不会去参加越野跑，如果去的话头两公里发现不对早就退赛了，绝对不会跨过危险线（Point of No Return)的。 穿着裤衩背心儿在山顶上风雨淋着你问我怎么办？ 就好像你问一个医生喝了百草枯该怎么办一样，医生也好我也也好都不是神仙，能怎么办？ 我能想到的也就是去找个背风的地方紧紧抱在一起等救援了，说实话我觉得没多大用途。提前学好了相关的知识，具备相关的安全意识，不要让自己处于危险的境地这个比什么都重要。最后总结一下。第一，野外很可怕，干掉没准备的人类很容易。第二，在户外组织活动要有点儿逼数，没那个知识和本事就别干，害死人太缺德了。第三，别把自己的命放在别人手上，进行任何运动和活动都要先学安全知识再去学习运动知识，不懂安全竞技能力再高也没意义。这两天工作太忙，想起什么写什么，先写到这里吧。 @二总 @战甲装研菌 @开水族馆的生物男 @V闪闪 @刁鲲鹏 @北京的晖子 @初雯雯-动物保护 @动植物普法介绍 @网纹之吻 @ZZ_CARA @河森堡         [组图共2张]      原图                     ",False,无,2021-05-24 09:26 ,HUAWEI Mate30 Pro 5G,1,5,2
KgRIofSv1,https://weibo.cn/comment/KgRIofSv1?uid=1400147553&rl=0#cmtfrm,"转发理由:可怕。//@远古的刀://@正义的苏维埃:十三个死了，三个受伤  
原始用户: 美国创业者
转发内容: 【意大利景区缆车跌落地面，至少9人死亡】电缆于2016年进行了最后翻新，因新冠疫情关闭后才刚启用。当局说，周日，一辆山顶缆车在意大利北部坠入地面，致死至少9人，并把两个孩子送往医院。  [组图共2张] 原图 ",False,无,2021-05-24 01:58 ,HUAWEI Mate30 Pro 5G,0,0,0
KgRhYBBaW,https://weibo.cn/comment/KgRhYBBaW?uid=1400147553&rl=0#cmtfrm,"转发理由:然而跑去的那个地方。。。想起了当年去那边做生意的几个老友。//@远古的刀: 旌旗招展，锣鼓喧天，鞭炮齐鸣，马斯克终于要跑了。  
原始用户: 阿三记录
转发内容: 这下好了，国内电动车厂商可以松口气了！ 阿三记录的微博视频  ",False,无,2021-05-24 00:53 ,微博 weibo.com,1,2,4
KgPvNqA3L,https://weibo.cn/comment/KgPvNqA3L?uid=1400147553&rl=0#cmtfrm,"转发理由:这。。。//@金线胡同: “与上级领导保持不正当的男女关系，还包养150多名小鲜肉。”这真是个“力气活儿‘！//@刘春: @孔二狗  
原始用户: 辽阔草原锡林郭勒
转发内容: 【包养150多名“小鲜肉”，满脑子都是钱色，女贪官潘玉梅落网】http://t.cn/A6Vfurv0中纪委的工作人员在潘玉梅家中搜出了一个本子，里面记录了与潘玉梅发生过关系的小鲜肉一共150多人。潘玉梅说自己喜欢把发生过的事情记录下来，她还记录了别人向自己送礼的金额、次数以及需求。这些日记本坐实了潘玉梅贪污、受贿、性贿赂的罪名，等待潘玉梅的将会是遥遥无期的牢狱之灾。据潘玉梅交代，她除了收受贿赂替人办事以外，潘玉梅还多次与上级领导保持不正常的男女关系，进行“性贿赂”。潘玉梅刚刚进入公务部门的时候，就利用自己的美貌诱惑高官，与上级发生不正当男女关系后获得升职的资格，从此潘玉梅以色谋权的行为就变得一发不可收拾。潘玉梅一边与上级领导保持不正当的男女关系，获得职务的晋升，另一方面又结识社会上一些年轻、强壮的男性，包养这些小鲜肉。据潘玉梅说，向她行贿的人不只会奉上现金，还会给潘玉梅介绍一些年轻的男人。行贿人经常请潘玉梅去一些高档场所吃饭，吃饭期间将年轻帅气的男人介绍给潘玉梅，潘玉梅对小鲜肉毫无抵抗力。              原图                     ",False,无,2021-05-23 20:22,微博 weibo.com,4,8,1
KgP2I2mnS,https://weibo.cn/comment/KgP2I2mnS?uid=1400147553&rl=0#cmtfrm,"转发理由://@悠悠晴uu: 放羊大叔见义勇为救了多人！表彰他🙏//@水瓶座的Tata:这个就是当时！左边的是大叔  评论配图  
原始用户: 涛哥在跑步
转发内容: 各位微博网友大家好，我叫张小涛，昨天参加了甘肃白银山地马拉松。 昨天早上七点半，我们到达赛场做一些活动准备。当时一直在刮风，气温很低，因为赛场在景区，我们就在景区旁边的小店里取暖休息。九点的时候我们起跑，当时依然还有有很大的风，很多人的帽子都被吹跑了。前20公里的都还好，情况都比较正常。 到cp2之后就开始出问题了，我算跑得比较快的，在前几名，到达cp2的时候就开始下雨，沿着黄河边跑了一段之后就开始爬升，cp2到cp3是爬升路段，这一段也是出事的地方。 在山下的时候已经有风雨，越往上风雨越大，到半山腰的时候雨里开始夹杂冰雹了，一直往脸上砸，我眼睛都开始模糊了，有些看不清路。 当时我在路上超了一位叫黄关军的选手，我当时还跟他打了招呼，他用手指了指自己的耳朵又摆了摆手，意思就是听不见，后来我才知道他是聋哑人，当时他状态已经开始不好了。还有一位来自贵州的吴攀荣的选手，我们从赛程开始就基本在一起跑，到达半山腰之后他开始全身发抖，说话都开始哆嗦，我看他状态也不好，就用胳膊挽着他一起。后来的记忆我也有点模糊，可能是风太大了路太滑了，我们没有办法一起搀着走，因为搀着走我们都要摔倒，慢慢分开了。我当时想着翻过这座山应该就好了，我就赶紧向前跑，这时候我应该是第4，吴攀荣是第5，黄关军是第6，很难过的是到现在为止，前6名只有我一个幸存者了。 我在继续往上跑的时候，因为风太大，就一直在摔跤，摔了不下十跤，肢体也比较僵硬，感觉身体慢慢不受控制，摔最后一跤之后我就起不来了。这时候我还有一点意识，我就赶紧拿保温毯披上。之后我就拿出GPS定位器，按了SOS，之后我就昏过去了。 在山上昏迷了大概有两个半小时左右，有一位放羊的大叔经过，把我扛到了窑洞里，生了一堆火，把我的湿衣服脱了下来，用被子把我包了起来，又过了一个小时左右我醒了过来，有了意识。 当时窑洞里还有其他选手，他们情况都比较轻微，大家一起在窑洞里取暖。因为那个地方不好救援，所以大家等我醒来之后一起走下山。到山底之后，白银的医护人员、武警等等都来了，昨晚也搜救了一晚上。我昨晚在平台发了一个报平安的视频之后就一直没有睡觉，一直在等搜救的消息。 我现在除了手发麻之外，就是一些皮外伤了，身体暂无大碍，现在准备回老家跟家人相聚，让他们放心，也感谢各位网友的关注。关于这次的意外，作为参赛者我也觉得无比悲痛，在此向所有遇难的同伴们表示哀悼，一路走好！最后最应该感谢的是救我的大叔，如果没有他，可能我真的就留在那里了，再生之恩，永生难忘！！！         [组图共4张]      原图                     ",False,无,2021-05-23 19:10,微博 weibo.com,6,12,1
KgMA3osBd,https://weibo.cn/comment/KgMA3osBd?uid=1400147553&rl=0#cmtfrm,"转发理由:聊得来就聊，聊不来就算了。//@远古的刀: 中国网民学历（并非学识）图谱。怪不得这些年在微博上越来越难对话了，很多人照面就扔红缨枪。  
原始用户: 知中ZHICHINA
转发内容: 中国网民学历比例 2000-2020  原图 ",False,无,2021-05-23 12:54,微博 weibo.com,3,5,2
KgLLNrIGp,https://weibo.cn/comment/KgLLNrIGp?uid=1400147553&rl=0#cmtfrm,大家多保重吧，警惕极端天气，今年真的太多了，突如其来，防不胜防。  ,True,无,2021-05-23 10:50,微博 weibo.com,7,1,2
KgLuBAaek,https://weibo.cn/comment/KgLuBAaek?uid=1400147553&rl=0#cmtfrm,"转发理由://@远古的刀: 不是毒驾不是酒驾，那就是报复社会了？//@不太老:怎么回事？蓄意的？  
原始用户: 头条新闻
转发内容: #大连通报轿车撞人逃逸案#【#大连轿车撞人逃逸案已致5死# 排除肇事司机毒驾、酒驾嫌疑】#大连车祸司机排除毒驾酒驾嫌疑# @大连发布 微博5月23日消息，大连“5·22”轿车撞人逃逸案件发生后，省委、省政府，市委、市政府高度重视，省委书记、省人大常委会主任张国清，省长刘宁作出重要指示批示，省委常委、市委书记谭作钧多次调度案件侦办、善后救治等工作，责成相关部门迅速行动、妥善开展工作。市长陈绍旺坐镇指挥，第一时间成立工作专班，下设案件审理组、救治和善后组等，市委常委、副市长骆东升第一时间赶赴现场指导工作，并赴医院看望伤员，相关区市县和市政府相关部门也分别成立工作专班，协同做好各项工作。目前案件侦办、伤者救治、死者善后等工作正全面有序展开。截至23日早8时，事故已造成5人死亡（4人当场死亡，1人经送医抢救无效死亡），5名伤者正在医院治疗。卫健部门已在第一时间启动突发公共卫生事件医学救援应急预案，成立3个救治组，开通绿色通道，组织多学科会诊，全力救治伤者。民政部门已组织市殡仪馆开通绿色服务通道，全方位做好家属哀悼和情绪疏导安抚工作；一对一做好与死伤人员及其家属的对接，做好善后和服务保障工作。中山区及时恢复现场秩序。市、区两级政府相关部门和市慈善总会、红十字会正在落实安抚、慰问、救治等工作。在案件侦办方面，公安机关正加大对犯罪嫌疑人刘某的审讯力度，固定相关证据，对案件进行全力侦办。经检验鉴定，排除其毒驾、酒驾嫌疑，其具体犯罪原因正在调查中。据@大连交警 微博22日通报，22日11时47分许，在大连市中山区五惠路与友好街路口，一车牌号为辽B63NE6黑色轿车在人行横道内撞击行人后逃逸，造成4人死亡、3人受伤。事故发生后，大连市公安局相关部门立即启动应急预案开展工作。目前，肇事逃逸驾驶人刘某（男，31岁）已被抓获，案件正在进一步工作中。（界面新闻）视频>>http://t.cn/A6VVi9UB              原图                     ",False,无,2021-05-23 10:08,微博 weibo.com,1,1,1
