微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgPNbB5cR,https://weibo.cn/comment/KgPNbB5cR?uid=1094897495&rl=0#cmtfrm,"转发理由://@Cloud_P5:@计算失误鸟海酱  //@Sisyphe_菠萝: //@玄青色叶子://@守屋辽真://@作业战士:花田猪猪//@一片枸杞田:可爱//@_废云_ ://@EN灰南 ://@麻将脱非记 ://@原装虎裤里 ://@愈牙 ://@L_QQQQQ : 肥嘟嘟//@新年新蟹 :肥肥  
原始用户: 七色的偽物人形
转发内容: 花田猫猫  七色的偽物人形的微博视频  ",False,无,2021-05-23 21:04,Android客户端,0,5,0
KgMyOyIu0,https://weibo.cn/comment/KgMyOyIu0?uid=1094897495&rl=0#cmtfrm,"转发理由://@Foxcon不是富士康://@一玶海岸:在美国鼓吹中国崩溃的各位高华们同样功不可没//@卑鄙无耻老猫:→_→//@不死鸟Allen1988:战忽局：功成不必在我，功成必定有我。  
原始用户: 深圳宁南山
转发内容: 发布了头条文章：《是谁掩护了中国崛起？》  是谁掩护了中国崛起？  ",False,无,2021-05-23 12:51,Android客户端,1,3,0
KgLV4cRDQ,https://weibo.cn/comment/KgLV4cRDQ?uid=1094897495&rl=0#cmtfrm,转发微博已被删除,False,无,2021-05-23 11:13,Android客户端,0,1,0
KgLUUrGgl,https://weibo.cn/comment/KgLUUrGgl?uid=1094897495&rl=0#cmtfrm,"转发理由:草//@Cloud_P5:草//@-茅野祯丞-:草有几个比物产店还便宜  
原始用户: 鈴熊
转发内容: 文化入侵（  原图 ",False,无,2021-05-23 11:12,Android客户端,2,1,0
KgHLMBCTZ,https://weibo.cn/comment/KgHLMBCTZ?uid=1094897495&rl=0#cmtfrm,"转发理由://@黑貞德型戰艦水鬼長門改二://@王小树改名保平安:妈的肖战太他妈的垃圾了//@megumin:肖战他妈抱着肖战哭//@X4MKII:一帮狗东西，这他妈也要蹭？//@從北極來的熊02:在？为什么要骂傻逼？这帮几把虾完全就是屎都不如的玩意//@TYPE13: 肖战粉丝全是傻逼//@稻荷一:虾爬子真晦气，啐  
原始用户: 金碟打牌酒中仙
转发内容: 我把补充放前面，不然好多人看不见：别说什么粉丝疯批正主无辜之类的话，看看这满天飞的相关通稿，他真的无辜吗？——————————————————发微博的时候因为过于生气导致一些话没有说清楚，这条微博的多数证据源于图2这位楼主，我仅是搬运和汇总了一些其他证据。我直接开骂了：肖战粉丝有一个算一个！全都是傻逼！！！知道袁老是怎么和肖战这个糊逼关联上的吗？（图3/4）就是这么关联上的！！！（图5/6/7/8/9/10/11）在所有人都在为了袁老哀悼的时候，这群傻逼在用袁老给肖战做数据！在蹭积分！！！给不了解粉圈的人解释一下，为什么肖战粉丝要用袁老给肖战做数据，因为今天袁老的热度（粉圈用语）最大，她们心中没有敬畏只有肖战，为了肖战她们可以放弃人性。         [组图共11张]      原图                     ",False,无,2021-05-23 00:39,Android客户端,0,0,0
KgFQa6M4D,https://weibo.cn/comment/KgFQa6M4D?uid=1094897495&rl=0#cmtfrm,"转发理由:妈的智障.jpg//@四月三十日二十三时十五分:哪怕你们看过中华小当家都不会念错啊//@伊谢尔伦的风:……不读书是真的不读书…… //@余皪KrisFish:回复@湖边的灰狸女士:#内环线德语#//@湖边的灰狸女士:fremdschämen：被其他人做的可怕蠢事冲击到，以至于自己产生难堪、尴尬这种感受。  
原始用户: 耿直的战斗
转发内容: 有些明星们的文案都是抄的吧？你们是真悼念呢还是营销呢？ 但抄能不能抄得上点心啊？？什么叫“国土无双”啊？  原图 ",False,无,2021-05-22 19:44,Android客户端,0,13,0
KgFPPnnIi,https://weibo.cn/comment/KgFPPnnIi?uid=1094897495&rl=0#cmtfrm,"转发理由://@绯红之幻象:打桩呢//@爱苏Irene喵://@一个关于岩谷的梦:……？草夯实了是吧，搁这打地基呢？  
原始用户: A岛-匿名版
转发内容: 谢谢，已经提到抽筋了( ›´ω`‹ )这作者真的不是被患者逼疯的肛肠科医生吗…  原图 ",False,无,2021-05-22 19:43,Android客户端,0,0,0
KgFOe9G6K,https://weibo.cn/comment/KgFOe9G6K?uid=1094897495&rl=0#cmtfrm,"转发理由:那么菜的吗//@Cloud_P5:哇哦……//@死库水是单推:这是啥？//@巫筮: 我会……//@紫色覆盆子 :我会转发一些会让诺佬被网爆的微博  
原始用户: 诺_黑杰克医生请给我治疗
转发内容: 内测服的手游蝗虫来了，手游蝗虫走了全网喊了一天卷的就这？最可怜的还是随便就被糊弄的玩家群体不说别的，12还不知道是13年的同玩法小游戏dots光从UI上就能吊打（消灭星星都比这香不是战棋类的玩法选择了最难操作的45°斜视角也问问制作组的小脑瓜是否有海哭的声音希望宝子们不用再玩平替  [组图共4张] 原图 ",False,无,2021-05-22 19:40,Android客户端,0,3,0
KgEB6i2wo,https://weibo.cn/comment/KgEB6i2wo?uid=1094897495&rl=0#cmtfrm,"转发理由://@Shichidou://@天涯历知幸:你们为了流量的样子，真的很难看。  
原始用户: 宋云止蒸果仁豆枣糕了
转发内容: 你们，把一个伟人的离世，一个神的陨落，弄成了一出荒诞剧。本该天下缟素万民恸哭的时刻，被你们搞得人心茫然惶惶无措。本该纪念他的功德的时刻，被搞成了漫天荒唐的“死没死”“到底什么时候死的”的流言蜚语。恶毒。无耻。残忍。下贱。我好恨。  ",False,无,2021-05-22 16:34,Android客户端,0,29,0
KgEz5xQ34,https://weibo.cn/comment/KgEz5xQ34?uid=1094897495&rl=0#cmtfrm,"转发理由://@blackstarhero:转发微博  
原始用户: 钧正平
转发内容: 【#钧评#那位梦想让中国人吃饱饭的老爷爷，再见了】他曾亲眼见过倒伏在路边的饿殍，因此坚定了学农报国的决心。他曾梦见自己在稻穗下乘凉，水稻长得有高粱那么高，穗子像扫把那么长，颗粒像花生那么大……他说这个梦的实质，就是让人们吃上更多的米饭，永远都不用再饿肚子。一生心血倾注于此，他把对祖国、对人民的爱结成饱满麦穗，使中国人的饭碗牢牢端在自己手里。今日他逝去了，带着大国岁稔年丰的累累硕果和对杂交水稻走向全球造福世界的期待。您未完成的事业，我辈定继续坚定前行。袁老，一路走好。 #袁隆平逝世#              原图                     ",False,无,2021-05-22 16:29,Android客户端,0,0,0
KgEwGjqD6,https://weibo.cn/comment/KgEwGjqD6?uid=1094897495&rl=0#cmtfrm,"转发理由://@黑白世界的蕾米莉亚:嘿，你们资本家已经可以点石成金了咯//@装甲北极白熊:这帮揍性人  
原始用户: -二树-
转发内容: #袁隆平逝世# 今天下午开始，可能出现的舆情风向节奏：“不要盲目造神科学家，让你们吃饱饭的是我们的资本家主子”  [组图共2张] 原图 ",False,无,2021-05-22 16:24,Android客户端,1,21,0
KgD3717J2,https://weibo.cn/comment/KgD3717J2?uid=1094897495&rl=0#cmtfrm,"转发理由://@亡灵特装型://@梨寒:从湖南省委宣传部、中国工程院和袁隆平院士秘书处等多个渠道证实，造谣成本低到假消息最大两个传播源至今没事人一样发其它微博，连袁老爷子都不值不配你们一个道歉，以后每天造谣一个伟人去世就够KPI了@CGTN @新浪娱乐  
原始用户: 人民日报
转发内容: 【多方证实：#袁隆平去世消息不实#】5月22日上午，人民日报记者从湖南省委宣传部、中国工程院和袁隆平院士秘书等多个渠道证实，网上关于袁隆平逝世的消息不实，袁隆平院士目前在医院接受治疗。（人民日报记者何勇、孙超、谷业凯）  原图 ",False,无,2021-05-22 12:38,Android客户端,0,1,0
KgCUReCsR,https://weibo.cn/comment/KgCUReCsR?uid=1094897495&rl=0#cmtfrm,"转发理由:道歉就行了？  
原始用户: CGTN
转发内容: 经核实，袁隆平院士目前正在医院接受治疗，我们对此前报道不慎深表歉意。  ",False,无,2021-05-22 12:18,Android客户端,0,1,0
KgCTv0GPG,https://weibo.cn/comment/KgCTv0GPG?uid=1094897495&rl=0#cmtfrm,"转发理由://@Seina_Channel://@禍Chyae:卧槽....怎么看的我掉眼泪了//@Eric_Yip毅:又一个做了我想做但没技术做得//@高达先森:艺术加工  
原始用户: XiaoT模型空间站
转发内容: HGUC RX-105 柯西高达 by ぷらばん Plaban  XiaoT模型空间站的微博视频  ",False,无,2021-05-22 12:14,Android客户端,0,0,0
KgCyEg7y7,https://weibo.cn/comment/KgCyEg7y7?uid=1094897495&rl=0#cmtfrm,"转发理由:你们这群记者见风就是雨，将来是要  
原始用户: 澎湃新闻
转发内容: 【#袁隆平秘书辟谣#：袁隆平目前在医院，网传逝世是假消息】#秘书称袁隆平目前在医院#5月22日上午，澎湃新闻从袁隆平秘书杨耀松处获悉，网上的消息是假消息，袁隆平目前在医院，身体状况不太好。“我们目前正在医院”。袁隆平秘书：袁隆平目前在医院，网传逝世是假消息  原图 ",False,无,2021-05-22 11:23,Android客户端,0,0,0
KgCq0xtIn,https://weibo.cn/comment/KgCq0xtIn?uid=1094897495&rl=0#cmtfrm,转发微博已被删除,False,无,2021-05-22 11:02,Android客户端,0,4,0
KgxL3ucFb,https://weibo.cn/comment/KgxL3ucFb?uid=1094897495&rl=0#cmtfrm,"转发理由://@Cloud_P5://@教导的伪典米德拉什:草生  
原始用户: 黑潮君
转发内容: 住友重工给日本自卫队造机关枪，零部件层层转包转到中国来了...这nm段子要成真了……  [组图共3张] 原图 ",False,无,2021-05-21 23:10,Android客户端,0,0,0
KgxI8gyIu,https://weibo.cn/comment/KgxI8gyIu?uid=1094897495&rl=0#cmtfrm,"转发理由://@Foxcon不是富士康://@Type-R_Design理工狼: 233//@夜神说话: 学到了//@月光蟑螂MR:蟑螂花//@秋山老雷://@hgcg-w :哦哦  
原始用户: 荀夜羽
转发内容: 任何所谓“中国古代传说”，只要出现“彼岸花”这三个字，基本就能证伪了，因为中国古时候管这种花叫“石蒜”，也有叫“龙爪花/蟑螂花”的，《酉阳杂俎》里把这种植物叫“金灯”，说它因为花和叶不会一起长出，所以当时古人都不喜欢它，叫它“无义草”，从来没有“彼岸花”这个说法。彼岸花还有所谓“曼殊沙华”的称呼都来自于日本，“曼殊沙华”一词出自《法华经》，我之前有出过一张专辑叫《十方天华》，曼殊沙华便是“天华（花）”的一种，至于天花（不是疾病那种），你只需要知道它是“不存在于这个位面的东西”就行了，在佛教传入日本后，日本人把这种东西的名字给了石蒜，所以除了“彼岸花”，它还有“曼殊沙华”这个更加高大上的名字。并且此“彼岸”也并非是指这种花开在“忘川的对岸”，而是说它的花期在“比岸日（秋分）”，而把石蒜与死亡的对岸联系起来，说其是”冥府唯一的花”的，是上世纪的二次元——没错，这是个ACG设定，换句话说，日本的古代，也没有这种说法。出现“彼岸花”这个词的“古代传说”，可能都没你岁数大。大家一起作古，贫道猫心甚慰。                     ",False,无,2021-05-21 23:03,Android客户端,0,0,0
KgxF0axOt,https://weibo.cn/comment/KgxF0axOt?uid=1094897495&rl=0#cmtfrm,"转发理由://@菜菜CH煊://@超级棒槌ya:复读//@荔夏rika:拿着立绘的钱干着插画的活儿  
原始用户: 不放糖的布丁就是蒸蛋
转发内容: 求求你们了，不要再把加了一堆背景道具特效的画叫立绘了那是插画啊，立绘不是单画个人吗  ",False,无,2021-05-21 22:55,Android客户端,0,1,0
KgxEKwV87,https://weibo.cn/comment/KgxEKwV87?uid=1094897495&rl=0#cmtfrm,"转发理由:草//@起名字什么的真的超讨厌:草//@-照月-: //@omEipiA://@专业戳轮胎熊律师://@米芋厨:草//@鬼舅_debu: 草//@凌凌迭:我去//@渣洁://@零式虐杀小松鼠局域歼灭型:草//@妹抖二号机: 草//@hm08dive: 草//@小哥是大鸽大:来了来了      评论配图  
原始用户: 逸霖仙
转发内容: 好熟悉的剪影  原图 ",False,无,2021-05-21 22:54,Android客户端,0,1,0
KgxE84WBm,https://weibo.cn/comment/KgxE84WBm?uid=1094897495&rl=0#cmtfrm,"转发理由://@高阶领主高坚果://@小黄鸡叽叽叽叽叽叽修复中:美  
原始用户: 穆一糸LingerFTC
转发内容: 涂个初号机  原图 ",False,无,2021-05-21 22:53,Android客户端,0,0,0
