微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgUMA9bNp,https://weibo.cn/comment/KgUMA9bNp?uid=1618051664&rl=0#cmtfrm,[置顶]【点亮水稻标记，一起送袁老最后一程】5月24日上午，#袁隆平遗体送别仪式# 在长沙明阳山殡仪馆铭德厅举行，人们排起长队赶来送袁老最后一程。稻香长存，国士无双，愿袁老一路走好！新京报的微博直播  ,True,无,2021-05-24 09:46,微博发布平台专业版,1188,623,241
KgUWMcAPe,https://weibo.cn/comment/KgUWMcAPe?uid=1618051664&rl=0#cmtfrm,#救6名越野赛选手牧羊人发声#【#牧羊人称救人是很平凡的事#：当地经常有极端天气】#救人牧羊人称当地经常有极端天气# 5月24日，甘肃白银。22日，甘肃一山地马拉松赛遭遇极端天气，致21名参赛人员遇难。事发时，当地一位名叫朱克铭的牧羊人，连救6名参赛选手。24日，朱克铭称，当时刮风下雨带冰雹，山上还有烟雾，能见度不足20米，当地经常出现这种极端天气。朱克铭认为，他救人是很平凡的事，只是遇上了，像常人一样伸出援手。@漩涡视频 漩涡视频的微博视频                                 ,True,无,2021-05-24 10:11,微博视频号,137,11,21
KgUPneckR,https://weibo.cn/comment/KgUPneckR?uid=1618051664&rl=0#cmtfrm,【#小学生看袁隆平生前影片纷纷落泪# 饱食者当常忆袁公】5月23日，贵州贵阳，一位小学老师发布视频称在课堂内播放袁爷爷生前的相关影片，并在一旁写着“饱食者当常忆袁公”，孩子们看后纷纷伤心流泪。#袁隆平遗体送别仪式# @沸点视频 沸点壹刻的微博视频  ,True,无,2021-05-24 09:53,微博视频号,924,23,58
KgUFepHsN,https://weibo.cn/comment/KgUFepHsN?uid=1618051664&rl=0#cmtfrm,【从长沙明阳山殡仪馆发出的每一条微博都让人破防】5月24日上午10:00，#袁隆平遗体送别仪式#将于长沙市明阳山殡仪馆铭德厅举行。从长沙·长沙明阳山殡仪馆 这里发出的每一条送别袁老的微博都能破防  “我和他有一面之缘，在课本上，在饭桌上，在人间里。” “此后每一缕升起的炊烟，都是飘自人间的怀念。” “风吹过稻田，我就会想起您。”...未见其面，却蒙其恩！谢谢袁爷爷，袁爷爷再见             [组图共9张]      原图                             ,True,无,2021-05-24 09:28,微博发布平台专业版,59291,8976,3957
KgUtX4uUM,https://weibo.cn/comment/KgUtX4uUM?uid=1618051664&rl=0#cmtfrm,"转发理由:#RNG夺冠#   
原始用户: 微天下
转发内容: #RNG夺冠#，刚结束的2021MSI决赛中，RNG3：2击败DK，勇夺2021英雄联盟季中冠军赛冠军！#ShowMaker泣不成声#英文解说：LPL王者归来，RNG的时代回来了。 微天下的微博视频  ",False,无,2021-05-24 09:01 ,微博发布平台专业版,257,21,37
KgUrqbbVg,https://weibo.cn/comment/KgUrqbbVg?uid=1618051664&rl=0#cmtfrm,【失温是如何一步一步夺去性命的？医学专家教你如何识别且互相救助】5月22日，甘肃一山地马拉松遭遇极端天气，参赛人员出现身体不适、失温等情况，21人遇难。失温不是只发生在极端寒冷天气中，0至10℃才是失温症的高发区间。年龄在30到49岁之间的成年人更容易受到失温影响。失温是如何一步一步夺去性命的？普通人如何识别失温？如何对失温患者进行救助？这些知识能救命！>>这些知识能救命！专家教你如何识别失温及互救 #央视主播问甘肃山地马拉松悲剧何以发生#                                 ,True,无,2021-05-24 08:55 ,微博发布平台专业版,881,89,97
KgUkl0Lpd,https://weibo.cn/comment/KgUkl0Lpd?uid=1618051664&rl=0#cmtfrm,【#要求各地关停比特币挖矿项目#】近日，中国互联网金融协会等三家协会联合发布《关于防范虚拟货币交易炒作风险的公告》，提示虚拟货币交易炒作风险，强调虚拟货币交易是非法金融活动。5月21日，国务院金融稳定发展委员会进一步要求，“打击比特币挖矿和交易行为”。下一步，应采取针对性措施，开展虚拟货币挖矿和交易行为集中整治活动，保护好投资者的财产安全，维护好经济金融秩序。下一步，金融管理部门应加大对虚拟货币非法挖矿和交易活动的打击力度，维护好正常的经济金融秩序，为我国数字人民币正式推出创造更好的环境。对非法参与虚拟货币交易、炒作或为之提供支持服务的机构、平台，应联合司法部门及时处置，提高违法违规成本，增加整治活动威慑力。对比特币挖矿项目，各地应全面清理、及时关停。 #比特币大跌#                  原图                             ,True,无,2021-05-24 08:37 ,微博发布平台专业版,932,93,177
KgU9B0DAi,https://weibo.cn/comment/KgU9B0DAi?uid=1618051664&rl=0#cmtfrm,【#翟天临发文鼓励网友写论文#：希望大家文明宣泄，宣泄完了加把劲儿！】#翟天临回应网友留言# 5月24日，翟天临深夜发文回应网友留言，他表示：“我知道写论文的过程挺难的，如果骂我能帮助大家缓解论文季的压力，那我觉得被骂也是一件有意义的事。希望大家文明宣泄，宣泄完了加把劲儿，加油！保过（保佑过）。”23日晚间，有网友在翟天临微博下留言，“翟天临，我论文查重又没过，你睡了吗？” 翟天临连续回复多位网友，鼓励大家加油写论文：“如果骂我能让你写好论文，我可以接受”、“我觉得我也承受了好多”、“关于知网这件事，改天好好聊聊，我也有委屈”。（新浪娱乐）#没有人年年恨天临 但年年有人恨天临#             [组图共3张]      原图                             ,True,无,2021-05-24 08:11 ,微博发布平台专业版,7014,125,364
KgU8DAJuQ,https://weibo.cn/comment/KgU8DAJuQ?uid=1618051664&rl=0#cmtfrm,【还原21死马拉松事故：有人从手脚麻木到失去意识只用4分钟】22日，甘肃一山地马拉松赛遭遇极端天气，21人遇难。一位参赛者表示，他从手脚麻木到失去意识，只用了4分钟。据通报，当天12时17分就有参赛队员在赛事群求助，而救援队消防队到达现场的时间约为下午4时许，在这4个小时期间，发生了什么？救援是否及时？组委会对风险是否存在误判？事故还原>>马拉松事故：有人手脚麻木到失去意识只用4分钟 #牧羊人连救六名山地越野赛选手#                                 ,True,无,2021-05-24 08:08 ,微博发布平台专业版,226,34,75
KgU12yMfQ,https://weibo.cn/comment/KgU12yMfQ?uid=1618051664&rl=0#cmtfrm, 【#悼念袁隆平唁电贴满墙#：我们永远怀念他，敬仰他！】5月23日，长沙细雨蒙蒙，设在明阳山殡仪馆、湖南杂交水稻研究中心及袁院士家中的袁隆平院士悼念堂，全天不断有民众冒雨前来，排起了数里路的长队。湖南杂交水稻研究中心的悼念现场大厅两面墙上贴满了全国各地200多家单位和个人，向袁隆平院士家属发来的唁电。这些发给袁隆平院士治丧工作组、湖南杂交水稻工程技术研究中心或袁院士家属的唁电，有来自科技部等国家部委，县、市地方党委政府，大学科研机构的，还有袁院士生前工作、访问过的单位等。来自菲律宾菲华商联总会的慰问函表示，“在东南亚、南亚、非洲，杂交水稻正在生根发芽，结出沉甸甸的稻穗。在菲律宾、印尼、越南、缅甸、老挝、柬埔寨、巴基斯坦、孟加拉、尼日利亚等地，杂交水稻已经推广种植和引进试种到数十个国家和地区，海外种植面积达700万公顷。”#外媒集体为袁隆平刷屏# “我们永远怀念他，敬仰他！”多封唁电最后表示。（澎湃新闻）             [组图共6张]      原图                             ,True,无,2021-05-24 07:50 ,微博发布平台专业版,874,57,72
KgTORD84b,https://weibo.cn/comment/KgTORD84b?uid=1618051664&rl=0#cmtfrm,【#印度男子外出买药遭官员扇耳光#摔手机 还命令警察殴打】近日，印度恰蒂斯加尔邦一名男子在疫情封锁期间因买药外出，遭到一名地区官员扇耳光以及砸手机，该官员随后还要求警察殴打他。这起事件的视频也已在社交媒体上疯传。@海客新闻 海客新闻的秒拍视频  ,True,无,2021-05-24 07:20 ,微博视频号,557,35,130
KgTGOuHGs,https://weibo.cn/comment/KgTGOuHGs?uid=1618051664&rl=0#cmtfrm,【#老人疑害怕辐射阻拦工人安装5G#】5月21日，湖南益阳，有网友爆料称，在环保路安装5G设备时，有老人疑害怕信号发射有辐射阻拦不让施工安装。视频中有工人准备爬铁塔时，被老人阻拦拉扯，最终报警后，设备完成安装。据此前媒体报道，有专家表示，该设备辐射很小可以放心敞开用。@燃新闻  燃新闻的微博视频                                 ,True,无,2021-05-24 07:00 ,微博视频号,855,39,194
KgTG52MlJ,https://weibo.cn/comment/KgTG52MlJ?uid=1618051664&rl=0#cmtfrm,【转发！#户外失温该如何自救#】一场马拉松，21人遇难。让失温再次成为话题。什么是失温？什么状况会导致失温？又该如何预防呢？@甘肃消防 #牧羊人连救六名山地越野赛选手# 甘肃消防的微博视频  ,True,无,2021-05-24 06:58 ,微博视频号,336,93,52
KgTAwv3pK,https://weibo.cn/comment/KgTAwv3pK?uid=1618051664&rl=0#cmtfrm,【#灰鹅产下罕见黑心鹅蛋# 拍摄者：怀疑因为鹅吃了桑椹】5月22日，浙江杭州。网友爆料一只普通灰鹅产下罕见的黑心鹅蛋。视频拍摄者称，养鹅的地方有片桑树，怀疑是鹅吃了桑椹所致。视频发布后不少人都很感兴趣，还有农科院的想搞下科研。@时间视频  时间视频的微博视频  ,True,无,2021-05-24 06:44 ,微博视频号,1404,110,232
KgTqMb0gj,https://weibo.cn/comment/KgTqMb0gj?uid=1618051664&rl=0#cmtfrm,【#幸存者质疑主办方没做好应急预案#：住的地方未看到打卡人员，风太大他们可能已经撤了】#越野赛幸存者称回家才是终点# 此次造成21人遇难的黄河石林越野赛到底发生了什么？死里逃生的参赛者张小涛向记者讲述了他的经历。但在黄河石林越野赛所发生的一切还是给了他巨大的冲击。在平安获救后，张小涛一夜未眠，一是密切关注了其他失联跑友的信息，二是平安获救后，后怕的念头才涌上来。张小涛说自己是当时比赛前6名中唯一一个幸存者。#牧羊人连救六名山地越野赛选手# @大众网 大众网的微博视频                                 ,True,无,2021-05-24 06:20 ,微博视频号,1902,164,143
KgQys6xuG,https://weibo.cn/comment/KgQys6xuG?uid=1618051664&rl=0#cmtfrm,#晚·分享#【#峨眉山万佛顶5月27日起重新开放#】峨眉山最高峰万佛顶将从5月27日起重新对外开放，开放时间为每日7时至14时，每日限流2000人。据了解，万佛顶海拔3099米，绝壁凌空，平畴崛起，巍峨屹立在“大光明山”之巅。登顶更可观金顶四大奇观：日出、云海、佛光、神灯。你想去打卡吗？  [组图共4张] 原图 ,True,无,2021-05-23 23:01,微博发布平台专业版,237,55,44
KgQuJecmb,https://weibo.cn/comment/KgQuJecmb?uid=1618051664&rl=0#cmtfrm,【#广州荔湾新增1例无症状# 系之前确诊病例郭某的丈夫】截至5月23日18时，疫情涉及重点区域重点人群累计采样128072份，已完成115573份核酸检测，结果均为阴性。结合病例临床表现、流行病学调查、实验室检测和基因测序结果，经专家组综合评估，初步判断荔湾区锦龙社区郭某为境外输入关联确诊新冠肺炎病例，其病毒属于在印度出现的新冠病毒变异株，不排除是意外暴露造成偶发感染。5月23日下午，广州市新增1例无症状感染者，系之前确诊病例郭某的丈夫陆某，已于21日作为密接人员集中隔离，判定为密切接触者之后第三次核酸检测结果呈阳性，目前已转至广州市第八人民医院隔离观察。经流行病学调查，陆某活动轨迹与郭某基本一致。疾控部门将继续按照规范做好密切接触者和次密接人员的集中医学隔离观察工作。请广大市民群众不信谣、不传谣，继续配合疫情常态化防控要求，加强个人日常防护，还没有接种新冠疫苗的尽快到就近接种点进行疫苗接种。荔湾区新型冠状病毒肺炎疫情防控指挥部2021年5月23日                  原图                             ,True,无,2021-05-23 22:52,微博发布平台专业版,173,25,67
KgQpgEnCh,https://weibo.cn/comment/KgQpgEnCh?uid=1618051664&rl=0#cmtfrm,#画家蒋林音侮辱袁隆平被调查#【#网民侮辱袁隆平被采取刑事强制措施#】据@姑苏公安 发布警情通报称，2021年5月22日，“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平逝世。苏州公安机关网上巡查发现，一网民“画家蒋林音”在微博发表侮辱性言论，造成恶劣社会影响。经调查核实，该网民系蒋某(男，31岁，甘肃人)。5月22日晚，公安机关已对其采取刑事强制措施，相关调查工作正在进行中。                  原图                             ,True,无,2021-05-23 22:38,微博发布平台专业版,1123,58,271
KgQkgpB30,https://weibo.cn/comment/KgQkgpB30?uid=1618051664&rl=0#cmtfrm,【一周连破8案！#云南德宏一周缴获毒品109公斤#】云南德宏边境管理支队21日通报称，该支队通过强化科技运用、阵地控制、专案打击等措施，一周内连续破获8起毒品案，抓获犯罪嫌疑人16人，缴获各类毒品109.51公斤。自5月4日起的一周时间内，德宏边境管理支队通过研判分析，利用大数据对比、信息核查等措施，延伸破获4起毒品案件，抓获犯罪嫌疑人9人，缴获毒品69.15公斤。同时，该支队加强阵地控制，连续从边境地区寄往内地的物流快递包裹中查获3起藏毒案，抓获犯罪嫌疑人4人，缴获毒品22.25公斤。此外，该支队还深入发动民众积极举报涉毒案件线索，营造全民禁毒良好氛围。5月9日，该支队根据民众举报破获一起运输毒品案，抓获犯罪嫌疑人3人，缴获冰毒18.11公斤。德宏傣族景颇族自治州地处中缅边境，毗邻世界毒源地“金三角”，国境线长503.8公里，边境无天然屏障，非法便道、小路纵横交错，是中国禁毒斗争的前沿阵地。(中新网)                  原图                             ,True,无,2021-05-23 22:26,微博发布平台专业版,358,38,41
KgQe61yQD,https://weibo.cn/comment/KgQe61yQD?uid=1618051664&rl=0#cmtfrm,【#爸爸扮擎天柱接儿子放学#：他当天过生日】江苏徐州。王先生在儿子生日当天穿着2米多高的擎天柱服装，来到学校门口，接儿子放学。儿子一开始还十分好奇，掀开面罩看到爸爸的脸十分受宠若惊。王先生表示自己想给儿子一个惊喜，“我和儿子都有一个英雄梦，变形金刚代表着正义，所以就想着用这种方式给他庆生。”@大米Video  大米Video的微博视频                                 ,True,无,2021-05-23 22:11,微博视频号,662,43,64
