微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgVEYvDej,https://weibo.cn/comment/KgVEYvDej?uid=1568391047&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 江苏新闻
转发内容: 【#成年人超重或因营养不良#！专家：#肥胖是能量过剩不是营养过剩#】很多人认为""很胖=营养过剩""，对此专家表示，饮食结构不合理，可能吃的能量很多，但营养素却没有达标，也会影响代谢、更容易发胖。建议：①先吃绿色蔬菜产生饱腹感②偏胖的年轻人晚餐少吃主食③深色蔬菜、猪肝富含维生素A和胡萝卜素，有益呼吸系统。好身体研究院的微博视频 #营养过剩也会导致孩子长不高# #好身体研究院#                     ",False,无,2021-05-24 12:01 ,大福神爱我Android,0,0,0
KgVEFAUo2,https://weibo.cn/comment/KgVEFAUo2?uid=1568391047&rl=0#cmtfrm,"转发理由:我背过，高三的时候想学漫画的，太短了很蠢，太长了很重不要试并不酷//@欢乐冲浪指南:你别说 我们班还真有人那么背//@甜甜糖糖小鹿鹿: 最后一个我笑到肚子疼  
原始用户: 当时我就笑出声了
转发内容: 小时候你们是怎么背书包的？#戏精出道计划#ll#小时候的奇葩背包方式#  原图 ",False,无,2021-05-24 12:00 ,大福神爱我Android,0,0,0
KgVB1Dk7V,https://weibo.cn/comment/KgVB1Dk7V?uid=1568391047&rl=0#cmtfrm,"转发理由:支持  
原始用户: 橙雨伞微博
转发内容: 【杭州地铁公安首次开展“打狼”专项行动：面对不法侵害，不需“忍气吞声”】4月以来，浙江省杭州市公安局地铁公安分局首次在全市地铁开展“打狼”专项行动，目前已办结猥亵、侵犯隐私类案件11起，行政拘留6人，罚款4人。地铁公安将强化巡逻盘查，对辖区内发生的猥亵、侵犯隐私类案件严厉打击，进一步净化地铁治安环境。据介绍，地铁最易发生猥亵、侵犯隐私类案件的地方是上下电扶梯和地铁车门进出口处。而嫌疑人多为二三十岁的男性，据他们交代，犯案原因多是工作压力大或抱着“戴着口罩，认不出我”的侥幸心理。警方称，办案过程中市民主动帮忙的情况越来越多，并提醒，即将入夏，女性乘客出门要留意身边是否有人偷拍或者刻意触碰，如有发现，请及时报警！在公共场所面对不法侵害，不需要“忍气吞声”，这并不是一件难以启齿的事，要勇于向违法犯罪行为说“不”，维护自己的合法权益。（来源：澎湃新闻）              原图                     ",False,无,2021-05-24 11:51 ,大福神爱我Android,0,0,0
KgVshFaPI,https://weibo.cn/comment/KgVshFaPI?uid=1568391047&rl=0#cmtfrm,"转发理由:给收费员果断行事点赞  
原始用户: 看剧时间
转发内容: #女子被劫持警方10小时破案#救命，我被劫持了湖南一高速收费口突然传来呼救声，收费员一个机智举动救下车内女子#今日热门# 看剧时间的微博视频  赞[4108] 原文转发[115] 原文评论[183]转发理由:给收费员果断行事点",False,无,2021-05-24 11:29 ,大福神爱我Android,0,0,0
KgVr4CYYf,https://weibo.cn/comment/KgVr4CYYf?uid=1568391047&rl=0#cmtfrm,"转发理由:ma //@张天英tiry://@pigu魔女樣:看了第一部真是大爽片啊泰國地獄少女成人版，懲罰臭男人  //@pigu魔女樣:是爽片的樣子  
原始用户: 美少女战士菌
转发内容: #禁忌女孩第二季# 娜诺说的没感觉究竟是指什么呢？ #电影# #影视剪辑# 美少女战士菌的微博视频  ",False,无,2021-05-24 11:26 ,大福神爱我Android,0,0,0
KgVlEA6MG,https://weibo.cn/comment/KgVlEA6MG?uid=1568391047&rl=0#cmtfrm,"转发理由:………//@奥运私人教练沈韦羲:#和我一起通过微博去看看远方# 昨天夜里有朋友回南京，全飞机要求都去做核酸检测，也不知道今天是否可以回家？  
原始用户: 京城老记
转发内容: 【去广州要小心，回来可能要被隔离】有去过的人已经被隔离了，没去过的，也有损失几千块钱的。广州是个不错地方，建议想去广州朋友，等疫情彻底过去了再去。#广州荔湾确诊病例感染印度变异株# #广州##广东身边事#  [组图共12张] 原图 ",False,无,2021-05-24 11:13 ,大福神爱我Android,0,0,0
KgVkY3ibd,https://weibo.cn/comment/KgVkY3ibd?uid=1568391047&rl=0#cmtfrm,"转发理由:能给翻译翻译什么叫“暴露偶发”  
原始用户: 人民日报
转发内容: 【#广州新增1例无症状感染者#，#广州荔湾确诊病例感染印度变异株#】据广州荔湾发布，结合病例临床表现、流行病学调查、实验室检测和基因测序结果，经专家组综合评估，初步判断荔湾区锦龙社区郭某为境外输入关联确诊新冠肺炎病例，其病毒属于在印度出现的新冠病毒变异株，不排除是意外暴露造成偶发感染。5月23日下午，广州市新增1例无症状感染者，系之前确诊病例郭某的丈夫陆某，已于21日作为密接人员集中隔离，判定为密切接触者之后第三次核酸检测结果呈阳性，目前已转至广州市第八人民医院隔离观察。经流行病学调查，陆某活动轨迹与郭某基本一致。              原图                     ",False,无,2021-05-24 11:11 ,大福神爱我Android,0,1,2
KgTfKnGxv,https://weibo.cn/comment/KgTfKnGxv?uid=1568391047&rl=0#cmtfrm,"转发理由:这么淡定的吗！！！！😱  
原始用户: 地域黑bot
转发内容: 中午好简单喂个宠物#慎入#  地域黑bot的微博视频  ",False,无,2021-05-24 05:53 ,大福神爱我Android,0,0,0
KgRvXvD1j,https://weibo.cn/comment/KgRvXvD1j?uid=1568391047&rl=0#cmtfrm,恭喜rng！  ,True,无,2021-05-24 01:27 ,大福神爱我Android,0,0,0
KgOylaTqD,https://weibo.cn/comment/KgOylaTqD?uid=1568391047&rl=0#cmtfrm,"转发理由:没事吧？？？//@天秀bot://@剑神葡萄:盲盒…//@蜻蜓队长:哈哈哈哈哈哈哈哈哈//@阿莫学长://@睡不着图书馆:哈哈哈哈哈哈//@故事馆长:哈哈哈哈哈哈哈//@豆豆说:哈哈哈哈哈哈哈哈哈哈哈哈哈哈榴莲忘返哈哈//@豆瓣酱bot:榴莲忘返  
原始用户: 豆豆说
转发内容: #飞鼠一次失败的夜间飞行#  [组图共2张] 原图 ",False,无,2021-05-23 17:55,大福神爱我Android,1,0,0
