微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgHh0jpta,https://weibo.cn/comment/KgHh0jpta?uid=1574205700&rl=0#cmtfrm,"转发理由://@养财人:干。。。  
原始用户: 鋼筆様子
转发内容: 更新：诋毁侮辱袁老的 “画家蒋林音”蒋某(男，31岁，甘肃人) 苏州公安机关已对其采取刑事强制措施。这@画家蒋林音 畜生东西 真名 蒋鹏 疑似 邪教成员在微博5.13 发博组织去腾讯会议洗脑 光明银河邪教(之前大漠叔叔科普过)蒋鹏毕业于 苏州大学艺术学院 学位 硕士 图10 验证是本人  [组图共11张] 原图 ",False,无,2021-05-22 23:23,iPhone客户端,0,0,0
KgHg98b42,https://weibo.cn/comment/KgHg98b42?uid=1574205700&rl=0#cmtfrm,"转发理由://@月风_投资笔记:原来我评论里那些GJ是这么来的？？？  
原始用户: 红茶魔术猫
转发内容: #袁隆平去世# 让你们全国人民沉浸在哀悼里！看大象公会下场打脸，黄章晋亲笔（深度）——杂交水稻之父并没有那么重要！ 我就问一句，《英烈法》管不管这群王八蛋？！  [组图共2张] 原图 ",False,无,2021-05-22 23:21,iPhone客户端,0,0,0
KgvjtjsDE,https://weibo.cn/comment/KgvjtjsDE?uid=1574205700&rl=0#cmtfrm,"转发理由://@养财人:回复@曼宝曼爸:随便丫。。。我又不用护着左总。。。//@曼宝曼爸:所以左晖有贡献是不是就不能骂了？两次跟链家和贝壳打交道，真特么叹为观止。//@养财人:反正85同城的说要领导调查贝壳，是我听过最大的笑话。。。#养财人# 。。。//@A股气氛组:转发  
原始用户: 香又脆的菜花
转发内容: 那些骂左晖的人可能是经历过被他改变游戏规则之前的租房市场。那时来北京闯荡的年轻人交出的第一笔学费就是给了某某同城上各种黑中介，不止骗钱，讹诈恐吓殴打，半夜被赶上街的新闻也不鲜见。当时的链家就给了年轻人安全和体面，驱逐劣币，才有了现在的世界。现在的只道寻常当年可是很珍贵的。  ",False,无,2021-05-21 16:56,iPhone客户端,0,0,0
Kge3T03AT,https://weibo.cn/comment/Kge3T03AT?uid=1574205700&rl=0#cmtfrm,"转发理由://@养财人:？人家就是有限责任公司的股东，还想怎样？。。。//@猫狗catdog:妹想到，搞环保把净化器行业搞死了//@摔丸子:支持并期待  
原始用户: 复兴五号
转发内容: 前几天和被airx拖欠工资的那哥们聊了聊，一共欠十来个员工总共七八十万工资，不算多。算上陈全斌，这伟大企业的股东们凑不出这点钱吗?显然不是。李总给出的解决方案是，想要钱就去起诉，他作为有限责任公司的股东/董事，没有协助被欠薪者解决问题的义务。不过就算人家起诉赢了，或者劳动仲裁赢了又怎么样呢?你们那个空壳公司有任何可执行的财产?还是费劲吧啦人家官司打赢了你们就一定给? 再说合同白纸黑字的写着，你们本来就该还的钱，非得让人家去起诉才有可能给，这是我听过最好听的人话有些人吧，别只在网上活的像个体面人，毕竟不欠普通员工的辛苦钱，是经商最基本的底线。         [组图共3张]      原图                     ",False,无,2021-05-19 21:01,iPhone客户端,0,0,0
KfV3G95bp,https://weibo.cn/comment/KfV3G95bp?uid=1574205700&rl=0#cmtfrm,"转发理由://@资本杀手寇文红:转发  
原始用户: 明德先生
转发内容: #我是厅级干部 你是个什么狗屁##文艺为谁服务# @周百义 与网友的这段对话信息量惊人！！！！！！@湖北发布 @武汉发布 你们的厅级干部就这么牛叉？就这么赤裸裸的炫耀：我是厅级干部，你是个什么狗屁？？？周百义在这段简短的对话中对网友百般辱骂：“下一次就轮到你这个小子上西天了”、“你是个神经病”、“我是教授，我是厅级干部，你是个什么狗屁”、“什么堂堂正正做人？你是个熊猫吧？”、“你是狗屁不懂，你是卖国”、“没有文化的傻子”、“新冠感染你”。。。这段对话完全颠覆了我对文人的印象，对一个普通的网友这般的恶毒，这是一个厅级干部的文化人所能说出口的吗？关键是，面对着群众的善意批评，他还赤裸裸的炫耀特权：“我们收入很高，我们有社会地位，嫉妒吧”、“国家对我们这么好，你嫉妒恨吧”、“党和国家这么信任我们，给了我们这么高的待遇，我们把吃剩下的骨头给你就行了”。。。我完全被周百义这段话震惊得目瞪口呆，难道湖北省的厅级干部都是这般耀武扬威吗？这般赤裸裸的炫耀特权，嘲笑群众？@湖北发布 最令我无法容忍的是，这位网友说共产党要把贪官和不作为的官员清理掉，周百义竟恶狠狠地说：“你做梦吧。等到你下一辈子。”这还是周百义这名共产党员说出的话吗？这还是一位声称国家给了我们很高待遇的湖北省厅级干部说出口的话吗？长江传媒的董事长潘启胜落马了，长江传媒的总经理周艺平也落马了，长江传媒的副董事长周百义，真就是一朵白莲花吗？如果说我先前还相信他是一朵白莲花，但看着今天这4张截图的对话，我对这位声称#我是厅级干部 你是个什么狗屁# 的湖北省厅级干部打了一个缓缓的问号：你周百义还要骑在人民群众的头上作威作福多久？         [组图共6张]      原图                     ",False,无,2021-05-17 20:38,iPhone客户端,0,0,0
KfLt12bCV,https://weibo.cn/comment/KfLt12bCV?uid=1574205700&rl=0#cmtfrm,"转发理由://@扬韬:简直无法想象，仰望星空，也可以被警察搜身，搜身不成就一枪打死。这算什么事儿啊！//@张国庆看天下: #美国的空气都是新鲜而甜美的# //@阿理汗: 美国的天是能随便看的吗？//@侯宁:美国，一个自己仰望星空都能丧命的天膛！  
原始用户: 中事
转发内容: 视频曝光！美国男子看天引来警察，拒绝搜身和警察起冲突被击毙#中事# 中事的微博视频  ",False,无,2021-05-16 20:13,iPhone客户端,0,0,0
Kf1gwhOR6,https://weibo.cn/comment/Kf1gwhOR6?uid=1574205700&rl=0#cmtfrm,"转发理由://@pkuwd:好不容易养大的孩子，死在学校这么常见的吗？//@邮戳-万年太久只争朝夕:#山东莱阳一高中生校内不明不白死亡#  
原始用户: 欢笑刀叉
转发内容: 从今天起会不定期发布那三个坠亡女孩相关的事，那么好的年华，那么优秀的女孩们，她们不能就这么死了。莱阳一中的丁宜君。最不可思议的：1、入学高中10天就离奇坠亡。她以680的高分考入莱阳一中，可谓成绩优异，风华正茂，8月28日入学，9月7日在学校坠亡。2、丁妈妈和姐姐见到宜君时已经在殡仪馆，而且只看了一会就被警察拖出去了。后来被跟踪、管制甚至拘留关押，看这阵仗你会以为受害者家属是犯罪嫌疑人。168的大个子，漂亮的面容，成绩优异，培养这样一个女儿得需要多少日日夜夜的付出，妈妈得多伤心啊！妈妈说女儿喜欢写写画画，看到一句话就能编成文章，非常有才气。这个案子已经半年了，我翻看这半年丁姐姐的微博，一声声小宝小宝的叫着，真的好心痛啊。学校领导安慰受害者家属的话也令人印象深刻：你们这还家有两女儿的，很多发生这种事的家里就一个孩子，也能接受，想开点吧。 #山东莱阳一高中生校内不明不白死亡#              原图                     ",False,无,2021-05-11 22:36,iPhone客户端,0,0,0
Kex5TaUEV,https://weibo.cn/comment/Kex5TaUEV?uid=1574205700&rl=0#cmtfrm,"转发理由://@养财人:真智能！  
原始用户: EricTsui
转发内容: 特斯拉Model Y，每天都有新惊吓，刚在路上，30左右时速，没有开AP辅助驾驶，前车急刹，我发现后也深踩刹车，我判断和前车距离没问题，为了考虑车内自己和我同事的舒适性，准备抬脚松一点点刹车，然后刹车就突然从我的脚下消失了，不是说刹车失灵，而是刹车一下子自动踩到底，车里所有乘客都人仰马翻的，我很尴尬，不停和同事道歉。话说，特斯拉自动刹车这么灵敏的话，为啥路上总有特斯拉撞车？如果，这个系统时好时坏的，那么所有特斯拉车主买车的时候就得签个生死状，认可车的选择权优先级是高于车主的选择权利，对吧？#电车小白# 建议特斯拉专门搞个特斯拉驾驶学校，只有考了专门特斯拉驾照才允许买车。 EricTsui的微博视频                     ",False,无,2021-05-08 17:48,iPhone客户端,0,0,0
KewxV75L3,https://weibo.cn/comment/KewxV75L3?uid=1574205700&rl=0#cmtfrm,"转发理由:转发  
原始用户: 侠客岛
转发内容: 我们为什么永远不能忘记22年前的今天？这个视频，希望大家都能看看。#我驻南联盟大使馆被炸22周年祭#美国轰炸我驻南联盟大使馆19年祭：这一天我们不会忘记  ",False,无,2021-05-08 16:24,iPhone客户端,0,0,0
KejyP7oZm,https://weibo.cn/comment/KejyP7oZm?uid=1574205700&rl=0#cmtfrm,"转发理由:支持警察//@养财人:先抓捕最右诬蔑者。。。//@一玶海岸:警察是为了保卫人民安全，重要的是将无良狗主人一并依法处理//@大红矛:支持警察，更支持处理狗主人。//@坚决铲除黑产:睁眼看看，这是虐杀，是有主犬，上来不分青红皂白连开8抢，我们的人民警察真是厉害啊@新京报我们视频 @全国人大 @最高人民法院  
原始用户: 星视频
转发内容: #重庆警方回应当街开枪击毙大型犬##重庆市北碚区警方闹市区开枪击毙德牧# 【重庆民警当街开枪射击大型犬只，目击群众直呼心疼，警方回应】近日，重庆。当地派出所民警在闹市区，连开几枪射杀疑似跑丢的德国牧羊犬，该犬被枪击中后，摇尾哀嚎痛苦挣扎四处躲藏，市民看到后直呼：好造孽呀，不要打人家了嘛。对此公安分局工作人员称：是接到群众报警有流浪犬扑咬群众。#微博放映厅#  星视频的微博视频                     ",False,无,2021-05-07 07:21,iPhone客户端,1,0,0
