微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgUEW7HDn,https://weibo.cn/comment/KgUEW7HDn?uid=1582434840&rl=0#cmtfrm,"转发理由://@张忆安-龙战于野:七八岁的男孩子什么都懂了，就是故意的。//@贝勒王·:培养男流氓呢？//@地瓜瓜瓜瓜瓜瓜瓜瓜瓜啊:恐怖故事了//@盒饭必须加鸡腿://@司天钦Gosta:转发微博  
原始用户: Mavis_Kwok
转发内容: 今晚在合生汇@北京朝阳合生汇 的2层歌莉娅女装店@GLORIA歌莉娅微博 更衣间试衣服时，被一个约七八岁的小男孩闯入。更衣间是由布帘遮挡但有挂钩，发现男孩在门口时挂扣已经被取下了。男孩是由妈妈和外婆带着的，接下来就是诸如“他不懂，他什么都没做啊”之类的争辩了……与这一家的纠纷刚刚已经通过派出所民警的帮助得到了解决，主要想说说这家店的员工态度如何恶劣🙃首先，发生这件事时没有店员给予阻拦，是什么样的管理能让一个男孩子随意进入女性更衣区？接着，在我匆忙穿好衣服从更衣间出来试图继续找家长理论时，遭到了张姓女店长的阻挠，她“建议”我不要再去找这一家人了，此时还有其他3位店员围着男孩和家长在做安抚工作，从头到尾没有任何一位店员关心我这个“受害者”的感受，甚至从她们的态度让我觉得我仿佛是在无理取闹的“坏人”。我的男朋友与家长沟通无果且被推搡，遂决定报警。而此时这一家被带到了店后方休息区。也怪我们太天真，以为店里会帮我们留住这家人😅其实店员已经带着他们从后门出去了，并没有告知我，是民警来了之后我们才发现的。店长给的解释是，并不清楚这一家人从后门离开了，是他们自己走的。我们要求查看监控，店长多次说能看到这片区域的监控坏了还没有维修，什么都看不到。在民警的再三要求下才同意给我们看能正常工作的监控的录像。而就像视频里看到的，并不是这一家人“自己离开的”，是两名店员一个开门、一个护送帮助他们从后门走了。我通过监控视频认出了护送他们离开的店员（工号0899姓王），询问她情况和这样做的原因时，她回答的语气令我震惊，原话是“他们要去卫生间，我就开门了，怎么了？”……怎么了？是啊，我确实没办法说怎么了。只想问问@GLORIA歌莉娅微博 作为一个女性服装品牌，贵店的员工把女性的隐私安全和权益摆在什么位置呢？如果不是我给店经理打电话告知此事，她甚至都不知道自己店里发生了这件事。店长和员工，在我给店经理打电话前甚至没有一个人跟我道歉。还跟我说都是顾客，没办法偏袒我也不会偏袒他们。好一个不会偏袒，都围着那一家安抚的时候，把他们从后门偷偷送走的时候，我觉得你们偏袒得挺优秀的😀就因为是你们认识的老顾客所以就格外照顾他家闯进女更衣室的儿子吗？在我与对方家长还没有协调完的情况下，你们又有什么资格决定帮助他们先行离开呢？尽管后来在店经理的要求下，店长和姓王的女店员跟我道歉了，但是你们的措辞也好态度也好，都让我知道你们并不是真的觉得自己错了只想快点解决我这个“麻烦”罢了。只希望同样身为女性的你们，在非工作时间里自己也成为一名顾客的时候，万一不幸有跟我同样的遭遇，不要碰到像你们自己这样满口谎话不负责任的店员。 Mavis_Kwok的微博视频                     ",False,无,2021-05-24 09:28 ,iPhone客户端,0,0,0
KgTS5mcc7,https://weibo.cn/comment/KgTS5mcc7?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 守誓剑乐队
转发内容: 演完了，完了，没吃饭就来蹲点演出的艺术家辛苦了，没吃饭就来蹲点看演出的艺术家辛苦了🧘 广州·太空间Livehouse  [组图共9张] 原图 ",False,无,2021-05-24 07:27 ,iPhone客户端,0,0,0
KgTRXkbM5,https://weibo.cn/comment/KgTRXkbM5?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 厄利普洛斯
转发内容: 馒头，都去抢，管它沾的是人血还是芝麻酱 北京·芍药居北里  ",False,无,2021-05-24 07:27 ,iPhone客户端,0,0,0
KgTP8FSPK,https://weibo.cn/comment/KgTP8FSPK?uid=1582434840&rl=0#cmtfrm,"转发理由://@换名字了_GG:  
原始用户: AC米兰足球俱乐部
转发内容: #BackHome# 回家🔴⚫️ @UEFA欧冠联赛#AC米兰重返欧冠# #SempreMilan#  原图 ",False,无,2021-05-24 07:20 ,iPhone客户端,0,0,0
KgTOoEwpe,https://weibo.cn/comment/KgTOoEwpe?uid=1582434840&rl=0#cmtfrm,分享图片  原图 ,True,无,2021-05-24 07:18 ,iPhone客户端,2,0,0
KgQAJ0eMO,https://weibo.cn/comment/KgQAJ0eMO?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 填鸭式教育受害者
转发内容: 网友投稿：袁隆平爷爷现在还在殡仪馆，人才走了一天不到（文章发时），媒体这么着急激动的炫耀流量战绩，大家觉得合适吗？  原图 ",False,无,2021-05-23 23:06,iPhone客户端,0,0,1
KgQyPEe0U,https://weibo.cn/comment/KgQyPEe0U?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 胜利主义章北海
转发内容: 袁隆平院士网络吊唁厅：http://t.cn/A6Vfyw0O 有时间的话，来献束花吧  原图 ",False,无,2021-05-23 23:02,iPhone客户端,0,0,0
KgQyyvXOQ,https://weibo.cn/comment/KgQyyvXOQ?uid=1582434840&rl=0#cmtfrm,"转发理由://@不想再炸号的搬砖狗:有病，这个版本的古一极其出色//@专业戳轮胎熊律师:古一挺好的呀，这是总裁白癜疯发作了？//@楚惜刀:当初要么别选了，演完了这样说，演员何辜？表现那么出色//@红娘子: 是有的病吧，古一法师真的非常亮眼，而且让人过目不忘那种演的好。  
原始用户: 新浪娱乐
转发内容: #漫威总裁承认古一法师选角错误# 据外媒，漫威影业总裁凯文·费奇近日在采访中承认，2016年上映的《奇异博士》选择蒂尔达·斯文顿，这样一位颇具争议的演员来饰演“古一法师”是一个错误的决定。当年，古一法师选角公布后，有人质疑让一个白人女性演原漫画的亚裔男角色实属不妥，但漫威并未因此做出更改，凯文·费奇在当时声称需要支持创作自由，包括演员阵容。漫威影业总裁承认选角失误         [组图共3张]      原图                     ",False,无,2021-05-23 23:01,iPhone客户端,0,0,0
KgQwYt6Mv,https://weibo.cn/comment/KgQwYt6Mv?uid=1582434840&rl=0#cmtfrm,"转发理由://@猎户星座Z先生:是毛哥最爱的风格。  
原始用户: 林登万大人
转发内容:  林登万大人的微博视频  ",False,无,2021-05-23 22:57,iPhone客户端,0,0,0
KgQuTzExg,https://weibo.cn/comment/KgQuTzExg?uid=1582434840&rl=0#cmtfrm,"转发理由://@严寒看信披:@中国残联 @北京残联 出来，维权吧。国家机构此时应有作为。  
原始用户: 封面新闻
转发内容: 【#好友讲述黄关军参赛马拉松挣奖金#：经济艰苦，平时常吃泡面】#甘肃山地马拉松事故21人遇难#，其中包括残运会冠军黄关军，好友得知其遇难后痛哭称“他是聋哑人，连呼救都没办法”。黄关军来自四川绵阳，两名好友说，黄关军一直希望成为专业运动员，训练非常刻苦，生活来源主要是参赛各种小型马拉松，经常吃泡面。这次比赛只是想挣几千元奖金。  封面新闻的微博视频                     ",False,无,2021-05-23 22:52,iPhone客户端,0,1,1
KgQuks8Db,https://weibo.cn/comment/KgQuks8Db?uid=1582434840&rl=0#cmtfrm,"转发理由://@汗青微博:🙏🙏🙏  
原始用户: 钱江晚报
转发内容: 【#牧羊人连救六名山地越野赛选手#】5月22日，突如其来的恶劣天气让五名越野赛选手汇集一起。此时，甘肃景泰县常生村牧羊人朱克铭正在窑洞避雨。听到求助声后，他循声走出窑洞，看到一群选手中有一位已经在抽搐。朱克铭把大伙带到窑洞，又生起了几堆火。随后他跑到有信号的地方，拨打了景区的救援热线。之后，朱克铭又发现一名已经失温倒地的选手。大家忙着把他抬进了窑洞。经过烤火取暖，窑洞中的六名选手体力渐渐恢复。同时，救援人员也抵达了窑洞所在地，将六名选手带往安全地点。（中国青年报）         [组图共3张]      原图                     ",False,无,2021-05-23 22:51,iPhone客户端,0,0,0
KgPuDDjhR,https://weibo.cn/comment/KgPuDDjhR?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 胜利主义章北海
转发内容: 新冠病毒攻陷台湾“卫福部”，不知道什么时候能抵达它忠实的“总统府”  原图 ",False,无,2021-05-23 20:19,iPhone客户端,0,0,0
KgPupaLNN,https://weibo.cn/comment/KgPupaLNN?uid=1582434840&rl=0#cmtfrm,"转发理由://@风林火山行者: 查看图片 //@南海的浪涛:约翰逊在航母上：“我们将要清楚地做的一件事情就是向中国的朋友表明我们相信国际海洋法，并且我们将以一种自信而不是对抗的方式来证明这一点。”  
原始用户: 现代舰船官方微博
转发内容: 英国女王视察即将远行的女王号航母详细版。#航母# #外军影像#  现代舰船官方微博的微博视频  ",False,无,2021-05-23 20:18,iPhone客户端,0,0,0
KgLjOl7UG,https://weibo.cn/comment/KgLjOl7UG?uid=1582434840&rl=0#cmtfrm,"转发理由://@A股气氛组:转发  
原始用户: 托马斯大官人
转发内容: 看了甘肃百公里越野16人死亡，5人失踪的事件感触挺深的。有一次我在北京昌平参加百公里徒步活动，到了晚上11点多，开始下起了大雷雨。天上电闪雷鸣，前面就是一座山。组织者没有安排任何变动，还是让大家半夜翻山。我当时觉得，这确实是有点危险了。看看自己的肉身，还有那么多馒头等着我吃，实在是君子不立于危墙之下。我果断的退出了。多亏我退出了，据说当晚在雷雨中翻山的人们手脚并用，连滚带爬的才算通过。关键得有头灯，如果没有头灯非常危险。但是浮夸的读物博主怎么会用头灯？我带了一个两千多块钱买的手电筒，一旦打开，一道光柱直冲霄汉，唯一的缺点就是至少五斤！在漆黑的雨夜，我嘴里叼着手电筒翻山越岭，这真是不可想象。只是是我未经训练，嘴里没叼过如此长物啊！（言尽于此，以免画风一转）。下撤后，我被拉到了终点，我躺在体育馆的地板上睡着了。第二天一早醒来，我发现我睡在巧克力派和八宝粥之间，食物就在嘴边。我躺着吃啊吃啊吃啊…一场半途而废的徒步，我胖了四斤。运动减肥都是谎言，多少泪水流在了昨天。另外建议大家还是得有点肉，扛冻。所以咱们的拉面和煎饺不能停！              原图                     ",False,无,2021-05-23 09:41,iPhone客户端,0,0,0
KgKUxBXbq,https://weibo.cn/comment/KgKUxBXbq?uid=1582434840&rl=0#cmtfrm,转发微博已被删除,False,无,2021-05-23 08:39,iPhone客户端,0,0,0
KgKms042c,https://weibo.cn/comment/KgKms042c?uid=1582434840&rl=0#cmtfrm,"转发理由://@卑鄙无耻老猫:转发微博  
原始用户: 新华社
转发内容: 【点亮小白花，#一起为袁隆平吴孟超守夜#】今晚，一起为袁隆平、吴孟超守夜，转发这条微博，献上一朵小白花，传递哀悼与思念！#袁隆平逝世##吴孟超逝世#  原图 ",False,无,2021-05-23 07:15,iPhone客户端,0,0,0
KgKmiwtRi,https://weibo.cn/comment/KgKmiwtRi?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 乌合麒麟
转发内容: 让每个人都能吃饱饭，是中国人的信仰深切缅怀袁隆平院士 无水印大图已经上传置顶微博网盘，大家随意下载。  原图 ",False,无,2021-05-23 07:14,iPhone客户端,0,0,0
KgGIXCnvt,https://weibo.cn/comment/KgGIXCnvt?uid=1582434840&rl=0#cmtfrm,"转发理由://@hex0r://@猎户星座Z先生:真是浪漫。  
原始用户: 浪里赤条小粗林
转发内容: 不知道是谁送来的三束水稻。稻子还带着泥、有着土地的味道。这是他留给人民的馈赠，也是人民为他饯行的礼物。  [组图共2张] 原图 ",False,无,2021-05-22 21:59,iPhone客户端,0,0,0
KgGIwaPQW,https://weibo.cn/comment/KgGIwaPQW?uid=1582434840&rl=0#cmtfrm,"转发理由://@许亿秒://@谷大白话:  
原始用户: 游识猷
转发内容: 同在今天陨落的巨星还有一位，“中国肝胆外科之父”、中国科学院院士吴孟超。「他带领同伴完成了我国第一例肝脏外科手术，为新中国开创肝胆外科奠定了基础，使我国肝癌手术成功率从不到50%提高到90%以上，被誉为“中国肝胆外科之父”；他在国内首创常温下间歇肝门阻断切肝法和常温下无血切肝法，他完成了世界上第一例中肝叶切除手术，也切除了迄今为止世界上最大的肝海绵状血管瘤，更完成了世界上第一例在腹腔镜下直接摘除肝脏肿瘤的手术......他主导建立了世界上规模最大的肝胆疾病诊疗中心和科研基地，建立了世界上最大的肝癌病理标本库，培养了最多肝胆外科领域的优秀人才。……长达75年的从医生涯里，他拯救了超过16000名患者的生命。」刚刚，中国肝胆外科之父吴孟超病逝！一代传奇谢幕 ，愿天下再无肝癌                     ",False,无,2021-05-22 21:58,iPhone客户端,0,0,0
KgGHvdkac,https://weibo.cn/comment/KgGHvdkac?uid=1582434840&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 1905电影网官博
转发内容: #重温电影袁隆平# 我们将在今天下午16：45， 为您五遍连播电影《袁隆平》。这部影片中，袁隆平院士亲自出演老年时候的自己，他倾其一生、历经数十载的不懈探索和艰难实践，不仅解决了中国人的吃饭问题，更是给人类带来了福音。今天，我们以电影缅怀袁老，永远铭记、永远怀念！ #看电影学党史# #袁隆平逝世#  1905电影网官博的微博直播                     ",False,无,2021-05-22 21:56,iPhone客户端,0,0,1
KgGFjfwNs,https://weibo.cn/comment/KgGFjfwNs?uid=1582434840&rl=0#cmtfrm,"转发理由://@hex0r:转发微博  
原始用户: 养财人
转发内容: 比如你去看黄章晋之流的文章，你会发现他们其实连正经记者证都没几张。。。但你会发现，黄章晋之流不但能判断看马克思毛选，不如看外国管理学教材。。黄之流还能判断杂交水稻的开创性人员的重要性，不如后来那些其他育种成功的人。。。黄说不能造神，而他们自己倒如神一般，对全世界的人与事，指指点点，评判一番，还能断人功绩，不知道还以为他们是开阎王殿的。。。我向来指名道姓。。。#养财人#                     ",False,无,2021-05-22 21:50,iPhone客户端,0,0,0
