微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KkuhqcGRx,https://weibo.cn/comment/KkuhqcGRx?uid=207241345&rl=0#cmtfrm,[置顶]老实说我每次换手机都是因为vx这个萨比软件占用巨大内存导致我空间不够删了还不够一直提醒。能想象么。我一个不玩儿游戏不怎么有app的人。我每个手机都很好，屏幕都没裂开过。除了用vx。qq都没这么离谱过  ,True,无,2021-06-16 21:40,微博 weibo.com,6,0,9
KkyRfEZEH,https://weibo.cn/comment/KkyRfEZEH?uid=207241345&rl=0#cmtfrm,"转发理由://@史老柒:哈哈哈，让我想起了那个碱金属着火用水灭的，跟我说阴阳五行水克火，没有用水灭不了的火，然后手没了  
原始用户: 我是小糗君
转发内容: #让医生崩溃的瞬间# 哈哈哈哈哈哈哈哈哈哈哈哈哈哈看完血压都上来了    抽奖详情  [组图共4张] 原图 ",False,无,2021-06-17 09:19,微博手机版,0,0,0
KkyKr80EQ,https://weibo.cn/comment/KkyKr80EQ?uid=207241345&rl=0#cmtfrm,"转发理由://@鸟窝里的猫妖:啥时候游隼也能随便过来阳台安家  
原始用户: 国际爱护动物基金会
转发内容: #BRRC简讯[超话]# 人家的窗外系列——救助人告诉我们窗外发现了小鸟，作为红隼这个窝也有点儿凑合事……看这个还有点毛绒绒的小背影，窝里目测还有三个（爸妈不在窝里待着），一两周也就该能自己飞走了。至于这窝，希望不要有大风大雨，拜托一定坚持坚持！（to窝以及主人，鞠躬）  [组图共3张] 原图 ",False,无,2021-06-17 09:02,微博手机版,0,0,0
KkyJny3VP,https://weibo.cn/comment/KkyJny3VP?uid=207241345&rl=0#cmtfrm,"转发理由://@墨裔_Moy:做视频其实也差不多…耗着耗着就耗死了 (;´Д`) //@batkangaroo:转发微博  
原始用户: 马大哒打贼
转发内容: 最近拼命加班时脑出的一点杂谈：《灵感就是这样死掉的》  [组图共2张] 原图 ",False,无,2021-06-17 08:59,微博手机版,0,0,0
KkyJgFO6I,https://weibo.cn/comment/KkyJgFO6I?uid=207241345&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 花落有声雪无声
转发内容: 你以为身为天津人就可以免于受魔鬼花雪的折磨？啧啧啧，你还是太年轻，魔鬼花雪怎么会放弃这么好的机会呢？！来听听颜律行是怎么受折磨的吧------------------------------------------------------------------------------------------------------------原创地域搞笑广播剧《哏都的我们》STAFF：策划：花雪【麻花工作室】编剧：花雪【麻花工作室】导演：花雪【麻花工作室】美工：羽漠轻寒【甜点铺子工作组】花雪CAST：旁白：颜律行【麻雀工作室】@过气cv颜律行 -------------------------------------------------------------------------------------------------------------------------收听地址猫耳：颜律行的花絮 http://t.cn/A6VFTVLs              原图                     ",False,无,2021-06-17 08:59,微博手机版,0,0,0
KkyJd9ii1,https://weibo.cn/comment/KkyJd9ii1?uid=207241345&rl=0#cmtfrm,"转发理由://@好茶贪香又恋花://@我不是谦哥儿: 啥玩意儿？//@债说: //@锦衣夜行青行灯: 我觉得就算没这个傻b副总，光后面这些货不对板的部分，就让人觉得不敢吃了……而且也真的不如其他的好吃  
原始用户: 不要乱扔乐色
转发内容: 钟薛高公司高管疑似搞性别歧视。  [组图共9张] 原图 ",False,无,2021-06-17 08:59,微博手机版,0,0,0
KkyJ4yWHJ,https://weibo.cn/comment/KkyJ4yWHJ?uid=207241345&rl=0#cmtfrm,"转发理由://@好茶贪香又恋花://@二次元种草机: 🆘//@万事屋纸纸酱:？？？//@M大王叫我来巡山:笑死。回去要洗三个小时澡//@江南大野花: 惊不惊喜//@清狂Aling:哈哈哈哈笑死老子哈哈哈//@马草剁手也要日图:哈哈哈哈哈哈哈哈哈哈哈哈  
原始用户: 北京青年报
转发内容: 【高校因暴雨导致积水，学生过起泼水节，晚上被告知：水里有粪便】近日，河南。一高校因暴雨导致积水，学生们快乐的在积水区域玩水。结果晚上被通知:赶紧冲脚，化粪池溢出来了。网友：真是缘粪呀。星视频的微博视频  ",False,无,2021-06-17 08:58,微博手机版,0,0,0
KkyIzxmt6,https://weibo.cn/comment/KkyIzxmt6?uid=207241345&rl=0#cmtfrm,"转发理由://@好茶贪香又恋花://@差评君: 谁不想呢//@谷大白话:好家伙//@Tiger公子://@雪霏Sophia:人生梦想级别的  
原始用户: 进击的阿木君
转发内容: 大户人家的乐高墙.....震撼我妈一整年.tt：dantedentoni #乐高# 进击的阿木君的微博视频  ",False,无,2021-06-17 08:57,微博手机版,0,0,0
KkyzE9s30,https://weibo.cn/comment/KkyzE9s30?uid=207241345&rl=0#cmtfrm,"转发理由://@好茶贪香又恋花://@鹦鹉史航: 包大人的脸真的黑了下来。  
原始用户: 松鼠少儿
转发内容: 展昭公孙策都愣住了，不知该如何是好#小朋友崩溃的一瞬间#  松鼠少儿的微博视频    抽奖详情  ",False,无,2021-06-17 08:35,微博手机版,2,3,0
Kkyz6bEhL,https://weibo.cn/comment/Kkyz6bEhL?uid=207241345&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 蓝鲸财经记者工作平台
转发内容: 【#淘宝11.8亿条用户信息泄露#：客户ID、淘宝昵称、手机号全都有…】近日，商丘市睢阳区人民法院在裁判文书网，公开了一份刑事判决书，显示一名住在河南商丘市的本科毕业的大学生逯某自2019年11月起，对淘宝实施了长达八个月的数据爬取并盗走大量用户数据。在阿里巴巴注意到这一问题前，已经有超过11亿8千多万条用户信息泄露。被盗取的这11.8亿条数据被拿去做什么了呢？真相是，另一名住在湖南省浏阳市，并仅仅初中毕业的黎某利用这些信息，建了1100个微信群，每个群90-200人不等。每天用机器人在群里发淘宝优惠券，赚取返利，并在短短的8个月内获利34万余元。法院认为，被告人逯某受雇于被告人黎某，二人违反国家规定，非法获取公民个人信息，情节特别严重，其行为均已构成侵犯公民个人信息罪。公诉机关指控罪名成立，且系共同犯罪。判决被告人黎某犯侵犯公民个人信息罪，判处有期徒刑三年六个月，并处罚金人民币三十五万元；被告人逯某犯侵犯公民个人信息罪，判处有期徒刑三年三个月，并处罚金人民币十万元。         [组图共4张]      原图                     ",False,无,2021-06-17 08:34,微博手机版,0,2,0
KkuzZdB29,https://weibo.cn/comment/KkuzZdB29?uid=207241345&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 马家军统领
转发内容: #北京租房[超话]# 🌟房子地点：朝阳区6号线十里堡地铁站附近🌟房子现状：三居，其中两个房间分别有一个女生入住，六月底原来的租客搬走，七月一号正式入住。如有轻微时间差可详谈。1⃣️我住主卧，从事建筑设计，也比较喜欢二次元文化。开朗活泼，带两只可爱猫咪，平时基本生活在我的房间，如果你喜欢，可以随意撸猫咪图片可以搜索我的微博2⃣️东次卧是一个做媒体的女生，可盐可甜之前在这里租了一年，觉得附近便利房子住的舒适就想继续和房东续租，但是房东要我们找一个室友一起居住。我看了房子之后马上上🚗🌟房屋优势：1⃣️距离朝阳大悦城骑车可达，周围其他商场、菜场、超市、电影院、饭店一应俱全2⃣️房屋很新，是高层建筑，有电梯不是老破小小区.小区入口是刷卡进入的。楼不临街但不深，居民本地人较多非常热情3⃣️公区不大不小正合适，有餐桌沙发和鞋架4⃣️卫生间干湿分离。5⃣️房东直租无中介费。🌟招租房间：南向卧室。面积预测有15平。有1.8m大床、超大衣柜，书桌等。❤️希望你是：靠谱好沟通的女生，可养猫但无传染病，不破坏家具。一年起租，转租需自行找人否则继续承担租金。         [组图共6张]      原图                     ",False,无,2021-06-16 22:25,微博 weibo.com,0,0,0
