微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgGa0xpEc,https://weibo.cn/comment/KgGa0xpEc?uid=1435329210&rl=0#cmtfrm,[置顶]袁隆平光辉的一生，再一次证明性格的重要性“书本重要，电脑重要，但书本和电脑都种不出水稻”。是性格当中的执着、专注力成就了他伟大的一生！2008年10月27日，袁隆平回访母校西南大学，在校成绩首次曝光。让人意外的是， http://t.cn/A6VVjzR4  ,True,无,2021-05-22 20:33,HUAWEI Mate 20 X,9,1,1
KgUhqbjGb,https://weibo.cn/comment/KgUhqbjGb?uid=1435329210&rl=0#cmtfrm,底线都是自己划定的欧洲发生了一件匪夷所思的大事！ http://t.cn/A6VImm3h  ,True,无,2021-05-24 08:30 ,HUAWEI Mate 20 X,1,1,0
KgPj02YMl,https://weibo.cn/comment/KgPj02YMl?uid=1435329210&rl=0#cmtfrm,"长沙街头市民雨中送别袁隆平,袁爷爷一路走好! https://m.baidu.com/sf?pd=video_page&atn=index&nid=3778657814878616833&sign=6504028923305097710&word=%E9%9B%A8%E4%B8%AD%E9%80%81%E5%88%AB%E8%A2%81%E9%9A%86%E5%B9%B3&oword=%E9%9B%A8%E4%B8%AD%E9%80%81%E5%88%AB%E8%A2%81%E9%9A%86%E5%B9%B3&title=%E9%95%BF%E6%B2%99%E8%A1%97%E5%A4%B4%E5%B8%82%E6%B0%91%E9%9B%A8%E4%B8%AD%E9%80%81%E5%88%AB%E8%A2%81%E9%9A%86%E5%B9%B3%EF%BC%8C%E8%A2%81%E7%88%B7%E7%88%B7%E4%B8%80%E8%B7%AF%E8%B5%B0%E5%A5%BD%EF%BC%81&alr=1&openapi=1&resource_id=5052&frsrcid=5755&baijiahao_id=1537196318595058&sp=0&ext=%7B%22src%22%3A%22https%3A%5C%2F%5C%2Fvd3.bdstatic.com%5C%2Fmda-memcuz15j2h6ja3g%5C%2F540p%5C%2Fh264_cae%5C%2F1621674260920161846%5C%2Fmda-memcuz15j2h6ja3g.mp4%3Fpd%3D20%22%2C%22loc%22%3A%22https%3A%5C%2F%5C%2Fhaokan.baidu.com%5C%2Fv%3Fpd%3Dwisenatural%26vid%3D3778657814878616833%22%2C%22log_loc%22%3A%22https%3A%5C%2F%5C%2Fhaokan.baidu.com%5C%2Fv%3Fpd%3Dwisenatural%26vid%3D3778657814878616833%22%2C%22duration%22%3A28%2C%22poster%22%3A%22http%253A%252F%252Fvdposter.bdstatic.com%252Ff2e133bafe368be3e5fcd78d63d7db1c.jpeg%22%2C%22source%22%3Anull%2C%22s%22%3A%22bffb477c1406152e04290490c6f78cfd%22%2C%22isHttps%22%3A1%2C%22jsy%22%3A1%7D&top=%7B%22sfhs%22%3A1%2C%22_hold%22%3A2%7D&videoapp=1&fr0=A&fr1=A&lid=7975980746679573053&referlid=7975980746679573053&ms=1&frorder=1&_t=1621770575680                                 ",True,无,2021-05-23 19:50,HUAWEI Mate 20 X,3,0,0
KgLOX5Xe4,https://weibo.cn/comment/KgLOX5Xe4?uid=1435329210&rl=0#cmtfrm,二十多人遇难！这是什么样的一场比赛？这场“马拉松劫难”是因何导致的？这位参赛者的亲述多少给到了一些答案 http://t.cn/A6VfCZaq  ,True,无,2021-05-23 10:58,HUAWEI Mate 20 X,2,2,0
KgLJQkTlr,https://weibo.cn/comment/KgLJQkTlr?uid=1435329210&rl=0#cmtfrm,袁隆平的出生证 | 光影·知识分子  ,True,无,2021-05-23 10:45,HUAWEI Mate 20 X,4,2,0
KgLEf8N8B,https://weibo.cn/comment/KgLEf8N8B?uid=1435329210&rl=0#cmtfrm,他为了人民，人民记得他“袁爷爷，一路走好！” 5月22日下午16时许，载着袁隆平遗体的灵车自中南大学湘雅医院地下通道缓缓驶出，经芙蓉路等路段驶向殡仪馆。长沙市民夹道等候，一些群众自发 http://t.cn/A6VVWFKf  ,True,无,2021-05-23 10:31,HUAWEI Mate 20 X,8,1,0
KgLE47h62,https://weibo.cn/comment/KgLE47h62?uid=1435329210&rl=0#cmtfrm,他为了人民，人民记得他。22日下午，正在长沙参加第六届栗山诗会之“《中国当代诗歌年鉴》讨论会”的100多位来自全国各地的诗人与评论家，现场接到袁隆平先生去世的确切消息后，暂停会议并集体默哀。 http://t.cn/A6VfK8yc  ,True,无,2021-05-23 10:31,HUAWEI Mate 20 X,3,1,0
KgKSTFftT,https://weibo.cn/comment/KgKSTFftT?uid=1435329210&rl=0#cmtfrm,感谢山东热搜，选了这篇讲话。http://t.cn/A6Vfxsl9  ,True,无,2021-05-23 08:35,HUAWEI Mate 20 X,1,0,0
KgFZTcHoF,https://weibo.cn/comment/KgFZTcHoF?uid=1435329210&rl=0#cmtfrm,伟大的母爱，伟大的袁隆平《妈妈，稻子熟了》作者：袁隆平 朗诵：杨召江  ,True,无,2021-05-22 20:08,HUAWEI Mate 20 X,6,1,0
KgFjK7f35,https://weibo.cn/comment/KgFjK7f35?uid=1435329210&rl=0#cmtfrm,谷粟定乾坤一一他们的名字与日月共辉从黄土地上走来，我曾经给自己起过一个笔名叫谷乾。写过一部长篇小说叫《地力》。袁隆平先生的离世牵动了万千中国人的心，从辟谣到到传来噩耗。多少人不希望袁老这样的人去世！这是我们这个时代的进步。上世纪90年代，谷子专家李东辉去世的时候没有引起这么大的轰动。重视关注我们生存的科学家的生命，是因为面对自然的威胁，我们变得聪明了。把他们的名字放在我们的心上，是这个时代由你我组成的这块土地，地力的丰厚之外在。相对于禾苗来说，生活在社会当中的人，他需要社会这块土壤的丰厚。这块土地的肥沃才能滋养出抗风的禾苗与参天的大树。李东辉先生，考察的路上丢不下的是一个马扎；袁隆平先生，考察的路上骑的是自行车。他们无异于常人的一生背后是伟大的理想，是胸怀世界的理想与信念的支撑。有的人死了，但他还活着！那黄土地上的沉甸甸的谷穗，那海滩上沉甸甸的稻穗，将他们的名字永远的刻在了这个地球上重要的地方一一那就是每一个有良知的人的心田上。             [组图共10张]      原图                             ,True,无,2021-05-22 18:24,HUAWEI Mate 20 X,11,3,1
