微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgXJg1TpS,https://weibo.cn/comment/KgXJg1TpS?uid=1214199295&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 思想杂谈
转发内容: 鲁迅的文字到底有多一针见血？ 明言着轻蔑什么人，并不是十足的轻蔑。惟沉默是最高的轻蔑，最高的轻蔑是无言，而且连眼珠也不转过去。（ 鲁迅  ）  思想杂谈的微博视频  ",False,无,2021-05-24 17:16,无,1,0,0
KgXJ9xPUA,https://weibo.cn/comment/KgXJ9xPUA?uid=1214199295&rl=0#cmtfrm,"转发理由:🙏  
原始用户: 军武季
转发内容: #甘肃马拉松惨剧致21人死亡# 精英跑者全部殒没，折损了梁晶、黄关军、曹朋飞等多名国内越野跑的顶尖选手，相当于中国马拉松版的“卡廷惨案”，其影响需要多年修复。必须尽快抓捕控制直接责任人，还死者与公众一个公道！  [组图共6张] 原图 ",False,无,2021-05-24 17:16,无,4,1,0
KgXHPkGre,https://weibo.cn/comment/KgXHPkGre?uid=1214199295&rl=0#cmtfrm,世界荔枝看中国，中国荔枝看广东。荔枝产业，你知多少？2021年全国荔枝投产面积达792.61万亩，总产量预计量达到280万吨，比去年提高了10%，而广东荔枝占到全国产量的一半以上，品种最多，产量最大。荔枝产业是我国乡村振兴的特色产业，支持广东荔枝~福利造一波，评论转发此微博，26日晚上8点，抽5位朋友送出一箱5斤装的新鲜荔枝 ~#全国每两颗荔枝有一颗来自广东# 、#广东喊全球吃荔枝#、#广东荔枝520# 抽奖详情             [组图共3张]      原图                             ,True,无,2021-05-24 17:13,无,7,15,7
KgXGClOBd,https://weibo.cn/comment/KgXGClOBd?uid=1214199295&rl=0#cmtfrm,#网络名人打卡中国数谷#【“数小博漫游中国数谷”系列海报介绍】“数小博漫游中国数谷”系列主题海报，以数博会吉祥物“数小博”为虚拟主人公，讲述其在五天内遨游“中国数谷”贵阳的故事。在这段奇妙的旅程中，“数小博”向受众展示自己沿途所见所闻，也客观呈现“中国数谷”在大数据领域取得的成绩。每张海报都以两个“数小博”成组构图，以数字“1”、“2”、“3”、“4”、“5”为主体创意造型，也分别对应漫游的第一天、第二天、第三天、第四天、第五天。#2021大数据发展看贵州#                  原图                             ,True,无,2021-05-24 17:10,无,1,0,1
KgXsH9xeq,https://weibo.cn/comment/KgXsH9xeq?uid=1214199295&rl=0#cmtfrm,"转发理由://@凯雷:很喜欢这几穗稻子，中华民族上下五千年，北方南方都是基本盘，稻子养活着南方，更养活着北方人！//@黄胜友: 多填写一个数字。谢谢凯雷兄。  
原始用户: 凯雷
转发内容: 这个视频直观，讲得清楚，应该不会有人攻击。//@咖啡幻影A:1500公斤是一年双季总亩产，就如视频中说的一年早晚两季亩产。凯总亩产前缺少“全年双季”4个字容易误导也容易被某些人攻击。@黄胜友 ：#袁隆平有哪些成就# 去年早起，风尘仆仆地赶到衡阳市衡南县超级稻实验田，见证袁隆平超级稻亩产过1500公斤。手中的几穗稻子让我带回北京了。#袁隆平逝世#  黄胜友的微博视频                     ",False,无,2021-05-24 16:36,无,1,0,1
KgWhzryff,https://weibo.cn/comment/KgWhzryff?uid=1214199295&rl=0#cmtfrm,#网络名人打卡中国数谷#【“数小博漫游中国数谷”系列海报介绍】“数小博漫游中国数谷”系列主题海报，以数博会吉祥物“数小博”为虚拟主人公，讲述其在五天内遨游“中国数谷”贵阳的故事。在这段奇妙的旅程中，“数小博”向受众展示自己沿途所见所闻，也客观呈现“中国数谷”在大数据领域取得的成绩。每张海报都以两个“数小博”成组构图，以数字“1”、“2”、“3”、“4”、“5”为主体创意造型，也分别对应漫游的第一天、第二天、第三天、第四天、第五天。#2021大数据发展看贵州#                  原图                             ,True,无,2021-05-24 13:36,无,0,0,1
KgWhf6zQL,https://weibo.cn/comment/KgWhf6zQL?uid=1214199295&rl=0#cmtfrm,"转发理由:#网络名人打卡中国数谷#   
原始用户: 陈超军
转发内容: #网络名人打卡中国数谷# 【“数小博漫游中国数谷”系列海报介绍】“数小博漫游中国数谷”系列主题海报，以数博会吉祥物“数小博”为虚拟主人公，讲述其在五天内遨游“中国数谷”贵阳的故事。在这段奇妙的旅程中，“数小博”向受众展示自己沿途所见所闻，也客观呈现“中国数谷”在大数据领域取得的成绩。每张海报都以两个“数小博”成组构图，以数字“1”、“2”、“3”、“4”、“5”为主体创意造型，也分别对应漫游的第一天、第二天、第三天、第四天、第五天。#2021大数据发展看贵州#              原图                     ",False,无,2021-05-24 13:35,无,1,0,0
KgW9R6Vtn,https://weibo.cn/comment/KgW9R6Vtn?uid=1214199295&rl=0#cmtfrm,"转发理由:太毒了。//@人力资源胡卫东:转发微博  
原始用户: 黄胜友
转发内容: 一名登山专家称，新冠病毒疫情在珠穆朗玛峰爆发，已经感染了至少100名登山者和辅助人员，这是在尼泊尔官方否认新冠肺炎疾病已经蔓延到世界最高峰的情况下，首次综合估计的数据。奥地利的卢卡斯·富尔滕巴赫(Lukas Furtenbach)上周因担心感染新冠病毒而停止了攀登珠峰的旅程，他是在珠峰唯一的一位知名的登山家。他周六（22日）表示，他的一名外国导游和六名尼泊尔夏尔巴人导游的检测结果呈阳性。@黄胜友 发布了付费专栏《国际速递》的文章：《登山专家：尽管尼泊尔否认，但珠峰营地确实有100多例新冠肺炎病例》  登山专家：尽管尼泊尔否认，但珠峰营地确实有100多例新冠肺炎病例                     ",False,无,2021-05-24 13:17,无,0,0,0
KgW9DsZd8,https://weibo.cn/comment/KgW9DsZd8?uid=1214199295&rl=0#cmtfrm,"转发理由:新冠病毒已经无孔不入了。//@司马平邦:从科学上讲，新冠病毒若被带到珠峰峰顶必将“万古长青”。//@人力资源胡卫东:转发微博  
原始用户: 黄胜友
转发内容: 一名登山专家称，新冠病毒疫情在珠穆朗玛峰爆发，已经感染了至少100名登山者和辅助人员，这是在尼泊尔官方否认新冠肺炎疾病已经蔓延到世界最高峰的情况下，首次综合估计的数据。奥地利的卢卡斯·富尔滕巴赫(Lukas Furtenbach)上周因担心感染新冠病毒而停止了攀登珠峰的旅程，他是在珠峰唯一的一位知名的登山家。他周六（22日）表示，他的一名外国导游和六名尼泊尔夏尔巴人导游的检测结果呈阳性。@黄胜友 发布了付费专栏《国际速递》的文章：《登山专家：尽管尼泊尔否认，但珠峰营地确实有100多例新冠肺炎病例》  登山专家：尽管尼泊尔否认，但珠峰营地确实有100多例新冠肺炎病例                     ",False,无,2021-05-24 13:16,无,0,0,0
KgW9sdaFv,https://weibo.cn/comment/KgW9sdaFv?uid=1214199295&rl=0#cmtfrm,"转发理由:一场赛事死亡21人！不问责！？家属同意吗？//@飞扬南石:这次的事情的确是因极端天气，但当地政府准备不充分也是重要原因。问责可能有些冤，因为各地都这样。但正因为这样，才更要严厉问责，以后想搞这种活动就踏踏实实投钱进去建支持系统——救援队和救援屋之类的  
原始用户: 黄胜友
转发内容: #央视主播问甘肃山地马拉松悲剧何以发生#启动调查工作，启动问责机制！那么多优秀的山地马拉松选手倒在比赛途中，绝不可几句遭遇极端天气敷衍而过！本来可以是避免的伤亡事故，本来是没有死亡的赛事，最后是一次死亡21名优秀选手的比赛。世界体育运动史上也都罕见的悲剧。  ",False,无,2021-05-24 13:16,无,2,0,0
KgW9boIwS,https://weibo.cn/comment/KgW9boIwS?uid=1214199295&rl=0#cmtfrm,"转发理由:珍惜每一粒粮食吧！//@月在柳梢头52:一丝一缕恒念物力艰难，一粥一饭当思来之不易！怀念您的最好方式，就是珍惜每一粒粮食！  
原始用户: 黄胜友
转发内容: #袁隆平遗体送别仪式#这是永远怀念！在世界粮食史上，将写上中国有位袁隆平。有了袁隆平，不再有饥荒。禾下乘凉梦，仓满无饥恐。粒粒皆辛苦，餐餐记心上。袁隆平老先生用毕生心血，扎根田垄，换来的是稻花飘香，稻谷丰登。让我们一起，再送袁隆平老先生一程！#91秒追忆袁隆平#  [组图共3张] 原图 ",False,无,2021-05-24 13:15,无,0,0,0
