微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KheeOaPwa,https://weibo.cn/comment/KheeOaPwa?uid=58371&rl=0#cmtfrm,【新浪移动招聘微博热点运营、push运营，带你研究什么是快乐星球 】一线大厂，核心岗位，新浪移动微博热点运营岗、push运营岗招人啦！在这里，行业内有竞争力的薪资🈶️，免费早餐、班车以及豪华健身房等多多福利🈶️，很多难以想象的成长和资源🈶️，快乐星球不等待，简历快点投起来 戳图了解👇             [组图共2张]      原图                             ,True,无,2021-05-26 11:18,微博 weibo.com,137,21,18
KkyQlbx2a,https://weibo.cn/comment/KkyQlbx2a?uid=58371&rl=0#cmtfrm,【#猪坚强去世#】据@建川博物馆聚落 ，猪坚强于2021年6月16日晚10点50分因年老衰竭去世！ （四川日报）  [组图共3张] 原图 ,True,无,2021-06-17 09:16,微博发布平台专业版,5,0,1
KkyK7DQgk,https://weibo.cn/comment/KkyK7DQgk?uid=58371&rl=0#cmtfrm,【#31省区市新增确诊19例# 其中本土病例4例】6月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例19例，其中境外输入病例15例（福建3例，广东3例，云南3例，上海2例，北京1例，江苏1例，湖北1例，四川1例），本土病例4例（均在广东）；无新增死亡病例；无新增疑似病例。       当日新增治愈出院病例15例，解除医学观察的密切接触者974人，重症病例较前一日增加2例。       境外输入现有确诊病例337例（其中重症病例4例），现有疑似病例1例。累计确诊病例6329例，累计治愈出院病例5992例，无死亡病例。       截至6月16日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例491例（其中重症病例16例），累计治愈出院病例86384例，累计死亡病例4636例，累计报告确诊病例91511例，现有疑似病例1例。累计追踪到密切接触者1045269人，尚在医学观察的密切接触者16116人。       31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者24例（均为境外输入）；当日转为确诊病例4例（均为境外输入）；当日解除医学观察14例（均为境外输入）；尚在医学观察的无症状感染者427例（境外输入405例）。       累计收到港澳台地区通报确诊病例25342例。其中，香港特别行政区11881例（出院11601例，死亡210例），澳门特别行政区52例（出院51例），台湾地区13409例（出院1133例，死亡478例）。分享疫情实时数据                                 ,True,无,2021-06-17 09:01,微博发布平台专业版,2,1,0
KkyAhFE1j,https://weibo.cn/comment/KkyAhFE1j?uid=58371&rl=0#cmtfrm,【不同厂家的疫苗可混打吗？专家：这种情况不能】近期，#广州疫情#的持续引发担忧。6月16日，#广东新增本土确诊病例4例#。新冠病毒疫苗接种再次成了大家关心的热点问题。不同厂家的新冠病毒疫苗可以替代使用吗？哪种疫苗效果更好？专家解答>>不同厂家的疫苗可混打吗？专家：这种情况不能  ,True,无,2021-06-17 08:37,微博发布平台专业版,11,3,7
KkysukJYc,https://weibo.cn/comment/KkysukJYc?uid=58371&rl=0#cmtfrm,【校方回应#宿舍楼出租学生物品被扔#：系外聘临时工所为】6月15日，湖南娄底，网友爆料称双峰第四中学校园内生活用品一片狼藉，现场被子衣服堆积如山。 6月16日上午，校方工作人员表示，学生宿舍楼租给别校，将学生生活用品扔到外面时，校方不知情，是社会上聘请的临时工所为。如学生有物品丢失，可报...全文 ,True,无,2021-06-17 08:18 ,微博视频号,68,6,32
KkyjjcDES,https://weibo.cn/comment/KkyjjcDES?uid=58371&rl=0#cmtfrm,【直播！#三名航天员出征太空#】今天，#神舟十二号载人飞船发射#。航天员聂海胜、刘伯明和汤洪波将出征太空，成为空间站天和核心舱首批“入住人员”。央视新闻的微博直播  ,True,无,2021-06-17 07:55 ,微博发布平台专业版,86,15,4
Kky9tjWXB,https://weibo.cn/comment/Kky9tjWXB?uid=58371&rl=0#cmtfrm,【转发！一起加油！#神舟十二航天员出征仪式#】今日，神舟十二号载人飞行任务航天员乘组出征仪式，在酒泉卫星发射中心问天阁广场举行。6时32分，中国载人航天工程总指挥、空间站阶段飞行任务总指挥部总指挥长李尚福下达命令，聂海胜、刘伯明和汤洪波#3名航天员领命出征#！#神舟十二号载人飞船发射#央视新闻的微博视频                                 ,True,无,2021-06-17 07:31 ,微博视频号,208,34,14
KkxZ11vKM,https://weibo.cn/comment/KkxZ11vKM?uid=58371&rl=0#cmtfrm,#早鸟分享#  【转需！#2个动作预防腰肌劳损#】用转动身体的方法来活动腰部，如果动作不正确，不仅不能护腰，反而可能会伤到腰部肌肉。应该怎么做？专家教你2个正确转体动作，简单有效预防腰肌劳损↓↓ 央视网快看的微博视频  ,True,无,2021-06-17 07:05 ,微博视频号,48,29,2
KkuOLuwft,https://weibo.cn/comment/KkuOLuwft?uid=58371&rl=0#cmtfrm,#深夜大明白# 【科学解释为什么会堵车】你有没有想过，为什么你经常被堵在路口？或者路上莫名其妙的就堵起来了？其实堵车的真正原因，是驾驶员之间的协调性有问题。那么究竟怎样才能避免堵车呢？YouTube精彩视频的秒拍视频  ,True,无,2021-06-16 23:02,微博视频号,67,29,10
KkuIicQCo,https://weibo.cn/comment/KkuIicQCo?uid=58371&rl=0#cmtfrm,#女网红为吸粉站隧道内拍视频#【#民警回应女网红隧道取景拍摄#：安排举牌忏悔道歉】6月13日，江苏盐城。交警接到多名网友举报称，当地一名女“网红”不顾自身和他人安全，站在高架隧道内取景拍摄视频，发布在个人账号上。民警调查核实后，通知“网红”刘某某及视频拍摄者黄某接受调查。沸点视频的微博视频                                 ,True,无,2021-06-16 22:46,微博视频号,39,2,21
