微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgUNL7gWD,https://weibo.cn/comment/KgUNL7gWD?uid=1650111241&rl=0#cmtfrm,#洞见计划# 【“宇宙中心曹县”火了，热梗背后曹县都做过什么？】#曹县是什么梗# 这几天，山东菏泽曹县，没有预兆地出圈了。拨去流量和热梗的浮云，曹县的爆火基于“厚积薄发”。先是#曹县出口棺木占日本市场90%# 。再是最近两年，曹县的表演服装产业迅速发展，一举拿下全国1/3的市场份额。中国那么大，你想去曹县看看吗？（编导 十四）贝果财经的微博视频                                 ,True,无,2021-05-24 09:49,微博视频号,7,1,0
KgV83kAAm,https://weibo.cn/comment/KgV83kAAm?uid=1650111241&rl=0#cmtfrm,【日本九成棺材来源于此？#实地探访山东曹县棺材小镇#】近日，山东菏泽曹县爆火出圈。很多人不知道的是，这座四省交界处的县城如此火爆的原因，与它在不少细分领域实力强大有关。据不完全统计，日本市场上90%的棺木都来源于中国山东曹县。5月23日，记者前往曹县最具代表性的“棺材小镇”——庄寨镇一探究竟。 中新视频的微博视频                                 ,True,无,2021-05-24 10:39,微博视频号,0,0,0
KgUZW7jnV,https://weibo.cn/comment/KgUZW7jnV?uid=1650111241&rl=0#cmtfrm,【#江西一知名房地产商因债务纠纷被杀#】5月23日傍晚，有媒体从南昌市公安局红谷滩分局了解到，5月23日1时20分许，博泰集团办公区发生命案致1死1伤，犯罪嫌疑人在作案后自杀身亡。红谷滩公安分局通报称，该分局接群众报警称，在红谷滩区赣江中大道博泰集团办公区有2人被人持刀捅伤。分局立即调集警力赶赴现场开展调查处置。民警达到现场时，两名伤者已被120送往江西省人民医院抢救。经核实，伤者章某明经医院抢救无效死亡；另一名伤者李某东正在医院救治（无生命危险）。犯罪嫌疑人褚某强案发后在该集团一楼办公区自杀身亡。上述通报称，经初步调查，此案与褚某强同章某明之间债务纠纷有关。目前，此案正在进一步侦办中。 （上游新闻）                  原图                             ,True,无,2021-05-24 10:19,微博 weibo.com,4,1,1
KgUVSimdw,https://weibo.cn/comment/KgUVSimdw?uid=1650111241&rl=0#cmtfrm,#万达接近清空amc股权# 【王健林大动作“套现”近100个亿】5月23日早间，#万达# 集团通过官网发布通告称，截止2021年5月，万达集团全部退出了美国AMC公司董事会，仅保留AMC公司少数股权，累计收回14.76亿美元。从买买买到卖卖卖，王健林又清空一项海外资产。  贝果财经的微博视频  ,True,无,2021-05-24 10:09,微博视频号,3,4,3
KgUROyUfl,https://weibo.cn/comment/KgUROyUfl?uid=1650111241&rl=0#cmtfrm,【#央视主播问甘肃山地马拉松悲剧何以发生#】刚强：#甘肃山地马拉松事故共致21人遇难#，实在令人痛心。事故中，极端天气来得突然，但赛事举办地是高海拔地区，地况复杂，本就有可能出现极端天气。这一点，组织方想到了吗？此前平安举办的几次赛事，是否让人放松了警惕？安全这根弦，一时一刻都松不得。任何比赛的终点都不是完赛，而是安全回家！#主播说联播#  央视新闻的微博视频                                 ,True,无,2021-05-24 09:59,微博视频号,2,0,1
KgUJHnOsn,https://weibo.cn/comment/KgUJHnOsn?uid=1650111241&rl=0#cmtfrm,【#广州荔湾无症状感染者感染印度变异株#】据广州荔湾区新型冠状病毒肺炎疫情防控指挥部通报，昨天（23日）下午，广州市新增1例无症状感染者，系之前确诊病例郭某的丈夫陆某。结合病例临床表现、流行病学调查、实验室检测和基因测序结果，经专家组综合评估，初步判断荔湾区锦龙社区郭某为境外输入关联确诊新冠肺炎病例，其病毒属于在印度出现的新冠病毒变异株，不排除是意外暴露造成偶发感染。#广州荔湾确诊病例感染印度变异株# 央视网快看的微博视频                                 ,True,无,2021-05-24 09:40 ,微博视频号,2,3,2
KgUBgyF1L,https://weibo.cn/comment/KgUBgyF1L?uid=1650111241&rl=0#cmtfrm,【#纸价大涨##纸厂纷纷停产#】最近，文化用纸、包装用纸齐刷刷涨价。五月份以来，国内主要文化纸企业和贸易商发布多张涨价函，其中文化纸普遍涨价200元/吨，白卡纸涨价则达到1000元/吨。北京市某印刷店老板告诉记者，白卡纸原来是6500元/吨，现在是13000、14000元/吨， 自己利润降低差不多30%。在这轮涨价潮中，多家造纸企业一季度财报亮眼。行业利润增长迅速，但三月份以来多家造纸企业却突然宣布停机检修。原来，纸浆原料价格上涨，造成浆价和纸价的倒挂，一些纸厂只能停机。纸浆价格的上涨与纸浆的需求量息息相关。自2003年以来，中国纸浆进口量一直位于世界第一，而且需求量越来越大。木浆的价格也是一路高涨，去年7月到今年3月份，木浆价格平均上涨超过400美元/吨。 央视财经的微博视频                                 ,True,无,2021-05-24 09:19 ,微博视频号,6,3,1
KgUtpAoOr,https://weibo.cn/comment/KgUtpAoOr?uid=1650111241&rl=0#cmtfrm,【#四川一摩天轮亮灯缅怀袁隆平和吴孟超#】5月23日，四川泸州。一摩天轮为缅怀致敬袁隆平院士、吴孟超院士亮灯。精神永存照亮前路，愿世界如二星所愿“医食无忧”。@四川观察 四川观察的微博视频   ,True,无,2021-05-24 08:59 ,微博视频号,33,1,1
KgUo1bcwJ,https://weibo.cn/comment/KgUo1bcwJ?uid=1650111241&rl=0#cmtfrm,"转发理由:“宇宙中心曹县”火了，热梗背后曹县都做过什么？#曹县是什么梗#   
原始用户: 贝果财经
转发内容: #洞见计划# 【“宇宙中心曹县”火了，热梗背后曹县都做过什么？】#曹县是什么梗# 这几天，山东菏泽曹县，没有预兆地出圈了。拨去流量和热梗的浮云，曹县的爆火基于“厚积薄发”。先是#曹县出口棺木占日本市场90%# 。再是最近两年，曹县的表演服装产业迅速发展，一举拿下全国1/3的市场份额。中国那么大，你想去曹县看看吗？（编导 十四） 贝果财经的微博视频                     ",False,无,2021-05-24 08:46,无,10,1,1
KgQ9zhiBe,https://weibo.cn/comment/KgQ9zhiBe?uid=1650111241&rl=0#cmtfrm,【#爱因斯坦亲笔信拍出120万美元# ，写有著名E=mc²方程】近日，爱因斯坦的一封写有著名质能方程（E=mc²）的亲笔信以超过120万美元价格拍卖。美国波士顿的一家拍卖公司称，爱因斯坦这封写有质能方程的亲笔信以超过120万美元价格卖出，大约是预期拍卖价格的三倍。拍卖公司称，这封信是唯一一件属于私人收藏的信件，直到最近才被公诸于世，原先预估成交价约为40万美元。（海外网）                  原图                             ,True,无,2021-05-23 22:00,微博 weibo.com,7,2,1
