微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgTQqwfKc,https://weibo.cn/comment/KgTQqwfKc?uid=1160679732&rl=0#cmtfrm,"转发理由:这逃跑怎么可能跑的掉//@抹茶芭咖://@荀夜羽:大伙别买了不就完了，都有点志气//@锦衣夜行青行灯:感觉这店的店长和店员没有处理常识啊，居然能天真地以为人跑了就没事了，店内客人出现冲突，店长应该第一时间喊商场保卫部，看情况不妙的话都该自行报警。//@司天钦Gosta:转发微博  
原始用户: Mavis_Kwok
转发内容: 今晚在合生汇@北京朝阳合生汇 的2层歌莉娅女装店@GLORIA歌莉娅微博 更衣间试衣服时，被一个约七八岁的小男孩闯入。更衣间是由布帘遮挡但有挂钩，发现男孩在门口时挂扣已经被取下了。男孩是由妈妈和外婆带着的，接下来就是诸如“他不懂，他什么都没做啊”之类的争辩了……与这一家的纠纷刚刚已经通过派出所民警的帮助得到了解决，主要想说说这家店的员工态度如何恶劣🙃首先，发生这件事时没有店员给予阻拦，是什么样的管理能让一个男孩子随意进入女性更衣区？接着，在我匆忙穿好衣服从更衣间出来试图继续找家长理论时，遭到了张姓女店长的阻挠，她“建议”我不要再去找这一家人了，此时还有其他3位店员围着男孩和家长在做安抚工作，从头到尾没有任何一位店员关心我这个“受害者”的感受，甚至从她们的态度让我觉得我仿佛是在无理取闹的“坏人”。我的男朋友与家长沟通无果且被推搡，遂决定报警。而此时这一家被带到了店后方休息区。也怪我们太天真，以为店里会帮我们留住这家人😅其实店员已经带着他们从后门出去了，并没有告知我，是民警来了之后我们才发现的。店长给的解释是，并不清楚这一家人从后门离开了，是他们自己走的。我们要求查看监控，店长多次说能看到这片区域的监控坏了还没有维修，什么都看不到。在民警的再三要求下才同意给我们看能正常工作的监控的录像。而就像视频里看到的，并不是这一家人“自己离开的”，是两名店员一个开门、一个护送帮助他们从后门走了。我通过监控视频认出了护送他们离开的店员（工号0899姓王），询问她情况和这样做的原因时，她回答的语气令我震惊，原话是“他们要去卫生间，我就开门了，怎么了？”……怎么了？是啊，我确实没办法说怎么了。只想问问@GLORIA歌莉娅微博 作为一个女性服装品牌，贵店的员工把女性的隐私安全和权益摆在什么位置呢？如果不是我给店经理打电话告知此事，她甚至都不知道自己店里发生了这件事。店长和员工，在我给店经理打电话前甚至没有一个人跟我道歉。还跟我说都是顾客，没办法偏袒我也不会偏袒他们。好一个不会偏袒，都围着那一家安抚的时候，把他们从后门偷偷送走的时候，我觉得你们偏袒得挺优秀的😀就因为是你们认识的老顾客所以就格外照顾他家闯进女更衣室的儿子吗？在我与对方家长还没有协调完的情况下，你们又有什么资格决定帮助他们先行离开呢？尽管后来在店经理的要求下，店长和姓王的女店员跟我道歉了，但是你们的措辞也好态度也好，都让我知道你们并不是真的觉得自己错了只想快点解决我这个“麻烦”罢了。只希望同样身为女性的你们，在非工作时间里自己也成为一名顾客的时候，万一不幸有跟我同样的遭遇，不要碰到像你们自己这样满口谎话不负责任的店员。 Mavis_Kwok的微博视频                     ",False,无,2021-05-24 07:23 ,HUAWEI P30,0,0,0
KgQgVwFWp,https://weibo.cn/comment/KgQgVwFWp?uid=1160679732&rl=0#cmtfrm,"转发理由:看看离休干部的待遇就知道有没有特权啊//@猪窝屯村妇:说那时候没有特权的都是睁眼说瞎话，走后门这词儿哪个时期有的，推荐上大学乃至当兵是不是机会公平，50岁以上的应该都知道或听说过。//@田横五佰士:转发微博  
原始用户: 双博士的分享
转发内容: 引以为鉴 转：王洪文先是得到康平路的一套四室公寓，后来又得到一幢三层洋楼，再后来又得到东湖路七号的一个大别墅，里面包含游泳池、网球场，甚至他对这些都不满意，想让上海市革委会把东湖路电影院划拨给他，作为私家影院（徐景贤：我所接触的王洪文）。来到北京后，中央为他安排了钓鱼台16号楼，他嫌弃住的地方不够宽敞，又让人在郊区建了两个别墅，光建筑面积就分别达700平米和1700平米。姚文元到北京后，一家五口住进了一个有60多间房子的四合院，后来嫌弃院子“狭小”，又搬进一个125间房子的大四合院（北京八中隔壁），为了迎接他搬家仅装修就花了13万多。1978年北京市城镇居民人均可支配收入365元，当时北京市户均人口4.1人，每户收入1500元左右，这就相当于当时北京市区87户人家一年收入。而根据一些经济学研究，“文革”中人民币1元的购买力，相当于今天的100元左右，这些装修费折合现在人民币1300万左右，放到当下也是令人咋舌。林彪、康生这些“清心寡欲”、深居简出的“老同志”，住宅规模也颇为可观。林彪的毛家湾大宅面积1.7万平方米，其中林彪私用建筑面积2800平方米，加上“林办”的办公楼，建筑面积达11000多平方米。康生的竹园四合院，共有115间房子，面积达2万多平方米，这里本来是盛宣怀的府邸，建国之初董必武曾经住在这里，他嫌弃这里太大，短住一段时间就走了，但康生不嫌弃大，一住就是19年。改革开放后，因为这里设施豪华、环境优美，一度成为接待外宾的场所，匈牙利总理、瑞典副首相等曾经在这里下榻。                     ",False,无,2021-05-23 22:18,微博 weibo.com,0,1,0
KgQ4lbo3q,https://weibo.cn/comment/KgQ4lbo3q?uid=1160679732&rl=0#cmtfrm,"转发理由://@博士惊奇: 这种玩意理应立即驱逐出境，弄进来做什么？  
原始用户: 盲龙V
转发内容: 黑鬼已经嚣张到了什么程度？ 盲龙V的微博视频  ",False,无,2021-05-23 21:47,微博 weibo.com,0,1,0
KgOcfztqZ,https://weibo.cn/comment/KgOcfztqZ?uid=1160679732&rl=0#cmtfrm,"转发理由:  
原始用户: 长平侯卫青
转发内容: #哈喇新闻# 移风易俗，循化妇联在行动 长平侯卫青的微博视频  ",False,无,2021-05-23 17:01,微博 weibo.com,0,0,0
KgLTNxkEw,https://weibo.cn/comment/KgLTNxkEw?uid=1160679732&rl=0#cmtfrm,"转发理由:蛮好的啊，到时候废死派自己就危险了啊  
原始用户: 狂舞的金牛
转发内容: 看到四川灭门案主审法官以前的一段采访记录，如下。 记者：也有一种声音说如果能够执行死刑的话，能够更强地震慑那些犯罪，能够让这个社会更安定，您怎么看？ 王静宏(法官)：我不太主张这种观点，因为我们这个国家长期以来杀人者死，几千年都是流行的这种思想，但是这种严刑峻法并没有遏制或者杜绝我们现在存在的杀人案件，如果我们以杀人的手段想来遏制这种行为的发生，我觉得不是一种理智的判断，不是一种理智的处理结果。”我想问持这种思路的废死派：很显然几千年来医院并没有杜绝死亡，那我们要不要废除医院？                     ",False,无,2021-05-23 11:10,微博 weibo.com,0,0,0
KgLSDqgX9,https://weibo.cn/comment/KgLSDqgX9?uid=1160679732&rl=0#cmtfrm,"转发理由:这样的大师打死都不冤  
原始用户: 打工人阿卷
转发内容: 当代大师写字 打工人阿卷的微博视频  ",False,无,2021-05-23 11:07,微博 weibo.com,0,0,0
KgDtsgwcS,https://weibo.cn/comment/KgDtsgwcS?uid=1160679732&rl=0#cmtfrm,"转发理由:这次真的了老人家一路走好  
原始用户: 这里是湖南
转发内容: 【#袁隆平逝世#】“共和国勋章”获得者、中国工程院院士、国家杂交水稻工程技术研究中心主任、湖南省政协原副主席袁隆平，因多器官功能衰竭，于2021年5月22日13时07分在长沙逝世，享年91岁。  原图 ",False,无,2021-05-22 13:43,HUAWEI P30,0,0,0
KgwUWgRdH,https://weibo.cn/comment/KgwUWgRdH?uid=1160679732&rl=0#cmtfrm,"转发理由:正在下  
原始用户: 人人视频
转发内容: #人人日历# #活死人军团# Are you ready to play？你准备好开始玩了吗...？ 人人视频的微博视频  原图 ",False,无,2021-05-21 21:01,微博 weibo.com,0,1,2
KgwFBnc4F,https://weibo.cn/comment/KgwFBnc4F?uid=1160679732&rl=0#cmtfrm,"转发理由:这种SB以后老实了  
原始用户: 贴吧君
转发内容: #高铁霸座男结局# 面对高铁再现霸座男结局让人直呼痛快！之前刷到好几个遇对这种高铁霸座死皮赖脸的，乘务员好声好气的劝阻，结果大多数都蹬鼻子上脸还拿他没办法……这下痛快了。 贴吧君的微博视频  ",False,无,2021-05-21 20:24,HUAWEI P30,0,3,1
Kgvys5FVc,https://weibo.cn/comment/Kgvys5FVc?uid=1160679732&rl=0#cmtfrm,"转发理由:网络千兆以后不管多大的片都先下了再说//@摄你妹:哟呵，今晚等熟肉。  
原始用户: 守望好莱坞
转发内容: #活死人军团上线#扎克·施奈德执导的Netflix丧尸题材动作恐怖片《活死人军团》最新已在Netflix上线，重口味的打丧尸&抢钱大战开启。戴夫·巴蒂斯塔、艾拉·珀内尔、欧玛瑞·哈德威克、马提亚斯·施维赫夫、Tig Notaro、加瑞特·迪拉胡特、Raúl Castillo等出演。讲述拉斯维加斯爆发了丧尸大战，而某男子召集一群亡命之徒进行终极赌博：冒险进入隔离区，实施有史以来最大的抢劫。预告：守望好莱坞的微博视频                     ",False,无,2021-05-21 17:33,HUAWEI P30,0,0,0
