微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
K2m72i6Le,https://weibo.cn/comment/K2m72i6Le?uid=1316222597&rl=0#cmtfrm,[置顶]『据说有这样一个神秘的地下部门，维护着我们这个世界的主机系统。由于他们的失职，主机后台崩溃，造成时间轴错乱。』———天宫雁《2月937日晴》。 世界读书日，大家不来带一本走吗？🔗在下面哦  原图 ,True,无,2021-02-17 15:47,微博 weibo.com,34,3,5
KgWtJAyis,https://weibo.cn/comment/KgWtJAyis?uid=1316222597&rl=0#cmtfrm,"转发理由:  
原始用户: 柴犬柴犬
转发内容: 在这个宝的表情上看到了诱惑          Instagram：chako_0905  [组图共4张] 原图 ",False,无,2021-05-24 14:06 ,iPhone XR,5,28,0
KgWfQbQ8s,https://weibo.cn/comment/KgWfQbQ8s?uid=1316222597&rl=0#cmtfrm,"转发理由:  
原始用户: 掠水惊鸿折脚雁
转发内容: 一桩挺著名的明朝刺王杀驾案背后的……ghs。著名王大臣案：说，被戚继光开除的小兵王大臣在北京溜达，贿赂了太监进宫看看，不小心遇到了万历，把万历吓一跳，当刺客抓了。审讯中，冯保、张居正、吏部尚书杨博纷纷下场，掀起巨大波澜，围绕冯保想要高拱的命而张居正到底有没有参与形成拉锯。是万历初年最热闹的zz斗争了。但万历野获编里说王大臣的身份是——宁波人（宁波是明朝出娈童的圣地，宛若扬州出瘦马），是宦官的娈童，经常被小宦官带进宫偷东西，运气不好撞上皇帝被抓了。冯保想用此事来陷害高拱，贿赂王大臣让他指认高拱主使行刺。怎么贿赂的呢……派自己手下去监狱里跟王大臣睡，睡到他飘飘然，许诺千金，拿到了口供。沈德符八卦的想象力非常没边界。“【王大臣】王大臣本名章龙，浙之宁波人。幼为娈童，稍长为优人，素走大榼门下，向来小内使挈入诸榼直房，窃宝货非一日矣。其仓卒遇上也，事出不意，未免张皇。上顾而疑之，随即拿下，送东厂拷究主使之人。时冯保恨高新郑入骨，故立意坐以族灭，实非江陵意。今《病榻遗言》乃谓出张相指授，非也。冯又恶故司礼掌印陈洪，欲并坐之，且洪与高素契厚也。　　大臣既下狱，保令办事人俗称夥长者，与之淫狎，教以新郑、陈洪，以千金为赏，使之直犯乘舆。”                     ",False,无,2021-05-24 13:31 ,微博 weibo.com,3,38,0
KgW9opUq9,https://weibo.cn/comment/KgW9opUq9?uid=1316222597&rl=0#cmtfrm,"转发理由:所以他们监听囚禁绝育一条龙呗//@盈风:怪不得他们老是怀疑我们也干这事  
原始用户: 侠骨柔情方恨晚
转发内容: 由加拿大第三方机构公布的调查报告显示，在过去十年间，加拿大卑斯省的社会工作者强迫大量10岁以下的女性土著儿童配合医生安装“宫内节育器”，加拿大对土著民族实施的种族灭绝从未停止。  原图 ",False,无,2021-05-24 13:16 ,iPhone XR,9,20,0
KgVSKgLck,https://weibo.cn/comment/KgVSKgLck?uid=1316222597&rl=0#cmtfrm,"转发理由:🐶可爱  
原始用户: 哆多有填不完的坑
转发内容: 瓶中世界  原图 ",False,无,2021-05-24 12:35 ,iPhone XR,5,1,0
KgVwYq0Ag,https://weibo.cn/comment/KgVwYq0Ag?uid=1316222597&rl=0#cmtfrm,"转发理由:再加上一个书号三五万= =//@九分半印刷工作室: hhhh，铜版纸原来5600，现在10600，。  
原始用户: 新闻晨报
转发内容: 【#纸厂纷纷停产# 文化用纸、包装用纸齐刷刷涨价！】#纸价上涨对你有影响吗# 五月份以来，国内主要文化纸企业和贸易商发布多张涨价函，其中文化纸普遍涨价200元/吨，白卡纸涨价则达到1000元/吨。北京市某印刷店老板告诉记者，白卡纸原来是6500元/吨，现在是13000、14000元/吨， 自己利润降低差不多30%。在这轮涨价潮中，多家造纸企业一季度财报亮眼。行业利润增长迅速，但三月份以来多家造纸企业却突然宣布停机检修。原来，纸浆原料价格上涨，造成浆价和纸价的倒挂，一些纸厂只能停机。纸浆价格的上涨与纸浆的需求量息息相关。自2003年以来，中国纸浆进口量一直位于世界第一，而且需求量越来越大。木浆的价格也是一路高涨，去年7月到今年3月份，木浆价格平均上涨超过400美元/吨。（央视财经）央视财经的微博视频                     ",False,无,2021-05-24 11:41 ,微博 weibo.com,5,83,2
KgUCI81ou,https://weibo.cn/comment/KgUCI81ou?uid=1316222597&rl=0#cmtfrm,"转发理由:棒//@觞深之渊:转发微博  
原始用户: 佩然君
转发内容: 杂项 | 唐蛇首人身俑#这就是中国风##全民晒宝季##约会博物馆#  原图 ",False,无,2021-05-24 09:22 ,iPad客户端,27,831,1
KgQe27IRJ,https://weibo.cn/comment/KgQe27IRJ?uid=1316222597&rl=0#cmtfrm,自己做才发现芹菜花生米好麻烦…………好在我做了一大缸。  原图 ,True,无,2021-05-23 22:11,iPhone XR,13,0,2
KgPTXfo0n,https://weibo.cn/comment/KgPTXfo0n?uid=1316222597&rl=0#cmtfrm,"转发理由:昨天用空气炸锅做，😋  
原始用户: 食帖
转发内容: 黄油烤小土豆：①土豆切块放入锅中煮10分钟后捞出，撒上黑胡椒、玉米淀粉裹匀。②25克橄榄油、20克融化的无盐黄油混合，少许倒入烤盘中，再放入土豆和剩下的油混合均匀。③烤箱230℃烤40分钟后取出，将大蒜和橄榄油混合倒入烤盘，加少许黄油，再放入烤箱230℃烤30分钟，最后撒少许欧芹碎即可。| 매일맛나 delicious day  食帖的微博视频                     ",False,无,2021-05-23 21:21,iPhone XR,17,52,1
KgPQ76zJy,https://weibo.cn/comment/KgPQ76zJy?uid=1316222597&rl=0#cmtfrm,本人今天的主要劳动是踹冰箱及除霜…………累死我了…………  原图 ,True,无,2021-05-23 21:12,iPhone XR,11,0,8
