微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JaLqpoz9u,https://weibo.cn/comment/JaLqpoz9u?uid=1044932114&rl=0#cmtfrm,第一，阿中哥哥毒唯，不接受反驳和二五仔。250不送。第二，开微博就是来玩的，有朋自远方来不亦乐乎。这里没有粉丝，聊的来的我都认是同道，同好。但是，我表达观点是希望吸引同道中人，而不想接受杠精。所以，我的地盘你撒娇没事，但ETC的不好意思，请回你自己地盘。我最大的爱好就是关人小黑屋，谢谢理解。第三，因帽子太多数不过来。目前本人只营销①“新中国妇女解放成就”。②偶像夫妇“周恩来邓颖超”的狗粮。第四，微博粉丝那么多都是浪浪送的，因为私信日常被塞广告所以长期关闭。有什么事情请微博艾特。长期使用超话——#论看戏的自我修养[超话]#这个话题从产生到今天一路走来，就是几个熟悉的小伙伴没事吐槽的树洞。基本专注于影视评论（谢绝玻璃心，只针对角色不问本尊），文化，时政等等……欢迎有兴趣的小伙伴加入一起吐槽。#妇女解放史[超话]#和鹅黄一起弄的妇女解放话题大部分都挂了，就剩下这一个独苗。。请大家多多爱护。#缺DE图[超话]# 各种时政隐喻，你懂的就来一起玩。#周邓[超话]#唯一偶像，唯一cp的超话，欢迎同好。#京PTSD[超话]#吴师傅怼怼超话，记住我们的目标不是说服他们……[笑而不语]最后，为了筛选吃瓜群目前我只接受铁粉加入，有兴趣的可以申请（二维码见评论）→_→ 吃瓜群众                  原图                             ,True,无,2020-07-12 00:11,无,216,20,53
KgXD4uYKI,https://weibo.cn/comment/KgXD4uYKI?uid=1044932114&rl=0#cmtfrm,"转发理由:废除贵族学校，与人民子弟合一。。。  
原始用户: 无为李爷
转发内容: 为人民服务🙏  原图 ",False,无,2021-05-24 17:02,无,21,11,0
KgXC9tchR,https://weibo.cn/comment/KgXC9tchR?uid=1044932114&rl=0#cmtfrm,"转发理由:男拳女拳实际上就是一家，不过就是披着不同的皮，分裂中国社会的各方势力。@中国反邪教 @国家网信办举报中心  
原始用户: 阳辉386115
转发内容: #男拳之祸不该在内地复现# 发布了文章：《香港“男拳”之祸，不该在内地复现》 ，警惕重现’青年男性组织’被舆论指挥的“阿拉伯之春” 香港“男拳”之祸，不该在内地复现  ",False,无,2021-05-24 16:59,无,10,2,1
KgXsFn3PF,https://weibo.cn/comment/KgXsFn3PF?uid=1044932114&rl=0#cmtfrm,"转发理由:一刀一稻，国士无双。  
原始用户: 中国电影报道
转发内容: 【直播|“致敬！人民的院士”电影频道融媒体直播】#致敬人民的院士# 我们正在为您播出 “致敬！人民的院士”电影频道融媒体直播。“中国杂交水稻之父”袁隆平、“中国肝胆外科之父”吴孟超双星陨落，今晚，电影频道将先后播出《我是医生》《袁隆平》两部影片，电视端播出同时，电影频道主持人将与特邀嘉宾一起直播观影，并进行在线交流，更将走进高校为大学生带来一场特别的放映，回顾、重温二老倾尽心血，让人们远离饥饿和肝胆疾病的光辉一生，送别国士，致敬人民的院士！#电影频道两片连映送别袁隆平吴孟超# #送别袁老# 中国电影报道的微博直播                     ",False,无,2021-05-24 16:36,无,5,1,0
KgV8dCLMC,https://weibo.cn/comment/KgV8dCLMC?uid=1044932114&rl=0#cmtfrm,"转发理由:那什么不看比赛，但是我知道中国是冠军。  
原始用户: 秃了的大胖蜀黍
转发内容: #RNG夺冠#这不得把那些dk孝子气死  五个中国人 又赢了  [组图共8张] 原图 ",False,无,2021-05-24 10:40,无,4,0,2
KgV01n1vZ,https://weibo.cn/comment/KgV01n1vZ?uid=1044932114&rl=0#cmtfrm,"转发理由:听到国际歌的那一刻我破防了。。同志，一路好走。  
原始用户: 楚天都市报极目新闻
转发内容: 【吴老走了，“吴孟超星”亦在天幕熠熠生辉！是学生心中永远的灯塔】23日，阴雨之下，“中国肝胆外科之父”吴孟超院士的追悼会在上海东方肝胆医院举行。多位上海市民自发冒雨前来吊唁。追悼会上，吴孟超院士的灵堂响起的是《国际歌》。22日下午，极目新闻记者来到上海市海军军医大学第一附属医院，医院墙上挂着吴孟超院士照片。病友沈先生（化姓）指着照片告诉记者，吴院士当天便是在此驾鹤西去的，与他同住在11号楼。刘辉是东方肝胆外科医院肝外三科的主任、教授，也是吴老的学生。刘辉说，吴老96岁时还在做手术。吴老的精神影响了一代代肝胆人，“吴老永远是我心中的明星和前行的灯塔。”2011年5月3日，第17606号小行星经国际组织审核批准，被永久命名为“吴孟超星”。#17606号小行星照亮肝胆乾坤##吴孟超灵堂放的是国际歌#极目新闻客户端 楚天都市报极目新闻的微博视频                     ",False,无,2021-05-24 10:20,无,35,148,3
KgUWJgo4G,https://weibo.cn/comment/KgUWJgo4G?uid=1044932114&rl=0#cmtfrm,"转发理由:  
原始用户: 央视新闻
转发内容: 【永远怀念！#中国有位袁隆平#】禾下乘凉梦，仓满无饥恐。他用毕生心血，浇灌稻田飘香。今天，发条微博，再送袁老一程！粒粒皆辛苦，后辈不敢忘！#袁隆平遗体送别仪式#  原图 ",False,无,2021-05-24 10:12,无,5,1,0
KgUU3u22d,https://weibo.cn/comment/KgUU3u22d?uid=1044932114&rl=0#cmtfrm,"转发理由:哈哈哈哈哈，笑死了清华大学被黑的最惨的一次//@LeBonHomme:所以我不和喷子废话  
原始用户: 江宁婆婆
转发内容: 算是典型的不能再典型的网络喷子了  [组图共4张] 原图 ",False,无,2021-05-24 10:05,无,6,2,2
KgUhag77X,https://weibo.cn/comment/KgUhag77X?uid=1044932114&rl=0#cmtfrm,"转发理由:@暖阳旧歌 好不要脸啊。。//@露露想全能_学摄影中:转发微博  
原始用户: 御茶菓子
转发内容: 我冷静清醒过来了，刚才崩溃了很抱歉。本来这次维权的诉求就是让#大唐女子图鉴#这组照片背后的故事被大家知晓，下面这些算是前传吧，也是我此次维权过程中的一环。我一直知道摄影师是什么样的人，但我也知道我维权的目标不是她，所以我忍了，整件事中给足她体面。本以为事情结束就结束了，但她自己爽快履行了申明中的要求后，以为终于塑造出了一个“无辜被牵连的中间人”的形象，不仅可以彻底摆脱来要授权时和真的菜菜的捆绑关系，联合她的信徒们反过来说我是“受害者也是加害者”。我是真的被搞烦了，连好好拼个图都懒得拼了，索性撕破脸，显得优点不堪，但是真的好爽，全部说出来就很爽，模特与摄影师，一个都不会放过，这才是真正的结束。最终申明微博以及本博评论中均添加了摄影师及其公司的侵权证据，希望这也是她和她的拥护者想要的“说明清楚”。以下内容是我崩溃时发的，图是随手截的，大家将就着看看吧。我真的很累了，我以为那篇申明后就结束了，@小何力 你想要的太多了。你从真的菜菜那里要流量要资源，从我这里要创意，出了事情你只想着怎么摘干净自己，但你干净吗？真以为我手下留情就可以蹬鼻子上脸，明里暗里挑唆学生来我这叫我负责你的损失，自己主页里诬陷我抄袭，教唆学生来诬陷我，你和你的“受害者也是加害者”团队还要我负责你的损失，然后自己躲在后面装无辜，我两次提醒你注意你也没有收手，那就别怪我不客气。自私自利，贪得无厌。不就是我没有满足你的要求吗？图一。你想表达什么？卖惨吗？图二。你还记得认识菜菜之前就开始抄我画里的发型，先斩后奏，给商业广告片使用吗？图三、四你还记得你为什么要用诬陷抄袭威胁我吗？因为你说那个抄袭来的嫦娥发型是“自己设计创作的”，又说大V在乎名声要我删除抗议，不要小题大做。图五到图十四这次你求我帮你澄清时还想诬陷我抄袭呢？屡试不爽？图十五图十六补充，这样带节奏的吗？我为什么让你私了，因为我善意提醒你！我真的很后悔提醒你！图十七好像今天还说了“早知道你就该给商业授权啊”把你害这么慘。图十八剩下来你说菜菜的那些，我下次解禁了她的黑名单再发可以吗？好困好累啊，连续几天倒时差和律师沟通没睡个整觉了。我真的要崩溃了，这次事件你本来就不是我的目标，我本想尽力给你留体面的，可惜你不想要。等我起床我就拉黑你和你公司，你的拥护者也好自为之，来一个拉黑一个。就这样，江湖不见，这些年最后悔认识你。         [组图共18张]      原图                     ",False,无,2021-05-24 08:29,无,5,22,0
KgQzXoutO,https://weibo.cn/comment/KgQzXoutO?uid=1044932114&rl=0#cmtfrm,"转发理由:我都上不了热转了，我怕谁？//@一领淡鹅黄:我都二年上不了广场了我怕谁啊我//@2049年10月1日赵小雅:规则太多的游戏我肯定抛弃，不然到底是我玩你还是你玩我？//@东邪影视:爱咋咋地吧。//@金碟打牌酒中仙:太麻烦了，爱咋咋地吧  
原始用户: 饭圈嘟嘟
转发内容: 降权重注意事项  原图 ",False,无,2021-05-23 23:05,无,4,5,3
