微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KgZhVaUaJ,https://weibo.cn/comment/KgZhVaUaJ?uid=1503018310&rl=0#cmtfrm,"转发理由:我滤镜厚，还是觉得泰勒勒即便是这种芭比粉也很美，对紫罗兰眸子也没意见。  
原始用户: 弦断秋风234
转发内容: 1964年1月，32岁的泰勒，死亡芭比粉和蓝紫色的眼睛，这双眼睛有点不像真人的眼睛，虽然很美，但不像伯顿的眼睛那样晶莹剔透、富有灵魂。我放大照片研究了一下，差别在于泰勒的虹膜皱褶凌乱无序，烟雾般模糊一片，伯顿的虹膜皱褶清晰规则，像美丽的花纹。我想这也是泰勒的眼睛显浑浊的缘故。 她的这枚18k黄金蜂鸟胸针好漂亮，翅膀似乎是两颗天然珍珠，和耳环上的珍珠挺搭配，也许是一套。这么好看的胸针怎么没见她再戴过，她在2002年出版的珠宝图册里没有，2011年佳士得图册里也没有。也可能是被偷了，一年后在都柏林她把首饰都放在酒店抽屉里，被一个珠宝大盗进去偷光了，丢了价值15万美元的珠宝，这是陪伯顿拍《柏林谍影》期间的事。她居然不用保险箱，酒店衣柜里都有保险箱的。这个珠宝大盗多年后对记者说，“我从抽屉里拿走那些珠宝，就像从幼儿园孩子手上抢走棒棒糖一样简单轻松。”笑死我了。泰勒在一个月前刚刚在那不勒斯的酒店里和伯顿吵架，把伯顿的一大堆衣服首饰手表丢海里，紧接着自己也破财了，两口子加起来真的损失很大。              原图                     ",False,无,2021-05-24 21:14,微博 weibo.com,0,0,0
KgZgloyH9,https://weibo.cn/comment/KgZgloyH9?uid=1503018310&rl=0#cmtfrm,"转发理由://@长征后卫薛伯陵: 空中拼刺刀的精神//@军武观察哨:当时的人民空军初生牛犊不怕虎  
原始用户: 长征后卫薛伯陵
转发内容: 【朝鲜战场首破美军“圆圈阵”！#中国第一代空军飞行员回忆当年战斗场景血性十足#】李春孟，1930年出生，1946年入伍，1947年入党。1950年，20岁的李春孟被选拔到原空军第五航空学校学习飞行，成为中国第一代空军飞行员。1953年，李春孟和战友在大同江口空战中共击落4架美军F-4U战机，自此，美空军在第二次世界大战中从未被打破的“圆圈战术”，被李春孟和战友们成功击破。（韩勇 李娜 徐晓羽 曲浩元 石可会 张云鹏 张琦 林琳  贾玉省 单一猛 王亮 李明熹 董振明）#寻访英雄# 长征后卫薛伯陵的微博视频                     ",False,无,2021-05-24 21:10,微博 weibo.com,0,0,0
KgZed2Zqf,https://weibo.cn/comment/KgZed2Zqf?uid=1503018310&rl=0#cmtfrm,"转发理由://@赵脱俗: //@午后狂睡:逻辑严谨，思路清晰，说的很清楚了，我们对于科学家们还是宣传的太少了，那些搞不清楚内卷强行斥责年轻人懒惰、一天生活费650的戏精还是少占点宣传资源吧。  
原始用户: 二条和飞飞
转发内容: 再不科普，营销号就成功让很多傻子以为，袁隆平对杂交水稻的贡献，只剩一篇论文了。#微博公开课# #V光计划#  二条和飞飞的微博视频  ",False,无,2021-05-24 21:05,微博 weibo.com,0,1,1
KgZdIwe1L,https://weibo.cn/comment/KgZdIwe1L?uid=1503018310&rl=0#cmtfrm,"转发理由://@阿里斯底波: 不过老吉后来确实得了劳动金星 //@人間良夜靜://@风筝学徒仙人掌:把勋章给吉洪诺夫是没有的事，也是笑话系列。  
原始用户: 东邪影视
转发内容: #东邪放映室[超话]# 贴个后期上色的彩色版《春天的十七个瞬间》吧。百看不厌的前苏联老谍战剧，48年过去了，再看仍然稳重而又生动。据说“勋章大王”勃列日涅夫看过本剧后 ，让人给他找到施季里茨，要授予他红星勋章……最后秘书告诉他，根本没有这个人……然后，然后，他就把勋章给了吉洪诺夫……春天的十七个瞬间11【央视国语】（俄罗斯）                     ",False,无,2021-05-24 21:04,微博 weibo.com,0,0,0
KgWeemvHD,https://weibo.cn/comment/KgWeemvHD?uid=1503018310&rl=0#cmtfrm,"转发理由://@8欢喜丶坨坨8繁: //@公知一号://@伊希斯的逆袭://@战不旋踵弧月刃:   
原始用户: -四分三十三秒-
转发内容: #袁隆平离世前家人唱我的祖国#隆平爷爷是在亲人的歌声中带着微笑离开的。破防啦！  原图 ",False,无,2021-05-24 13:28 ,微博 weibo.com,1,6,0
KgWbpEU2p,https://weibo.cn/comment/KgWbpEU2p?uid=1503018310&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 摩点
转发内容: 我，梅杰德，就是那个毁灭者，从属于奥西里斯我，双眼能够照射出光线你，准备好接受来自我的凝视了吗……魔性外表的埃及神明！梅杰德，前来觐见！【摩点传送门】官方正版授权埃及神明的日常周边梅杰德帆布包【转发+关注】抽3人送梅杰德帆布包一只！6.11开奖@微博抽奖平台 热播番剧《埃及神明们的日常》用一个不一样的视角，一群不太正经的埃及神明所演绎出的一个个欢乐而爆笑的日常生活。我们的设计师挑选剧中的大沙雕梅杰德的呆萌形象设计了这款帆布包~~         [组图共9张]      原图                     ",False,无,2021-05-24 13:21 ,微博 weibo.com,0,0,0
KgWaU7pXw,https://weibo.cn/comment/KgWaU7pXw?uid=1503018310&rl=0#cmtfrm,"转发理由://@阿里斯底波:  
原始用户: 诶梨
转发内容: 很多人应该不知道，《时代 我》纪录片里袁老心心念念的海水稻（耐盐碱水稻）已经开始产业化推广了。这个“种植界的哥德巴赫猜想”正在被共和国的大德鲁伊们逐渐破解。土地的盐碱化一直是现代农业的大难题。农业的发展将森林、灌木变为田地，田地的生态系统构成是相对单一的，导致它很难抵御土地盐碱化的侵蚀，单纯的农业开垦就可能造成盐碱地的形成，而在盐碱地种植水稻，却可以逆转这一改变，耐盐碱水稻的种植可以明显减轻土壤的盐碱化程度，加快盐碱地的再利用速度，起到改良盐碱地的作用。这就好比在沙地种植上了会长出果子的沙柳、柠条，既守住了盐碱地的边界并对土地进行转化，又能收获额外的粮食。这个听起来几乎是天方夜谭的故事，正在逐渐被科学变成现实。我国有一亿亩可利用的盐碱地，相当于粮食耕地面积的80%，全球的数字是10亿亩。而更多的盐碱地则分布在大大小小缺乏淡水的国家之中。海水稻团队的一片试验田就在迪拜。这意味着许多需要依赖粮食进口的国家，最终也能实现粮食生产，甚至在理想的情况下实现自产自销。10亿亩的田地，如果全部种满亩产300公斤的海水稻，就能增产3000亿公斤的粮食，至少可以养活几亿人。海水稻团队目标是启动“十百千工程”，即实现10万亩海水稻种植示范、力争100万亩海水稻盐碱地改造开工、1000万亩改造全国布局。海水稻团队计划用8～10年时间实现1亿亩盐碱地改造整治目标，增加有效耕地面积。海水稻的开发，使得我们在农田开发与环境保护之间找到了绝佳的平衡。我们的目标已不仅是用最小的耕地种出最多的粮食，在退耕还林的同时，我们正在用农业改造荒芜的土地，在获得粮食的同时，不再侵害自然，这是农业科技最好的发展方向。海水稻团队，永远的神。              原图                     ",False,无,2021-05-24 13:19 ,微博 weibo.com,0,1,1
KgWa44PNN,https://weibo.cn/comment/KgWa44PNN?uid=1503018310&rl=0#cmtfrm,"转发理由:想起来，2004年左右，在一次两院院士音乐会上，亲耳聆听袁老拉小提琴，激动得不得了……//@白桦与红霞: 大河象征着治水，稻花象征着种粮。农耕民族两件大事，能够做好的人都万古流芳。//@福泥小葫芦芦:一条大河～波浪宽～风吹稻花香两岸～  
原始用户: 人民日报
转发内容: 【重温赤子心！#袁隆平曾用小提琴演奏我的祖国#】“一条大河波浪宽，风吹稻花香两岸”，这是2008年1月24日拍摄的视频资料，袁隆平院士用小提琴演奏《我的祖国》。视频中，他演奏完还略显害羞地说了一句“哎呀，不行了”。#袁隆平院士遗体送别#仪式今天举行，致敬袁老，一路走好！在长沙的微博视频  ",False,无,2021-05-24 13:17 ,微博 weibo.com,2,1,0
KgW98aTGZ,https://weibo.cn/comment/KgW98aTGZ?uid=1503018310&rl=0#cmtfrm,"转发理由:阿佳妮#杀人的夏天[电影]#//@几回清凉: 时尚芭莎@时尚芭莎 ❎龚俊@龚俊Simon 共同演绎时尚大片，传递生活时装理念，让更多的人了解时尚，更是将时尚芭莎的慈善理念传递及推广  
原始用户: 新浪电视
转发内容: #龚俊女友视角大片# 视频来咯，叮咚，请接听今日曝光的#宠爱剧场芭莎夏日男友大片# 中来自@龚俊Simon 的电话！按下的每一次快门，都是心里最想与你分享的夏天。“有空回我电话吧”，记得回哟！期待@龚俊Simon 等主演的@网剧你好火焰蓝  早日登录@优酷 #宠爱剧场# 咯！浪里追剧的微博视频  ",False,无,2021-05-24 13:15 ,微博 weibo.com,1,0,0
KgW7dBPV5,https://weibo.cn/comment/KgW7dBPV5?uid=1503018310&rl=0#cmtfrm,"转发理由://@那罗陀_银子: 巨大而易碎//@食者道三斋:好//@infukun://@xiao葉有囍: //@Evers伊:转发微博  
原始用户: GGAC
转发内容: 扑面而来的压迫感，巨大的神明和神秘的形式感 / cr.stuz0r  [组图共18张] 原图 ",False,无,2021-05-24 13:10 ,微博 weibo.com,0,0,0
