微博id,微博链接,微博正文,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KfCGmpqTK,https://weibo.cn/comment/KfCGmpqTK?uid=1278689470&rl=0#cmtfrm,[置顶]【警惕身边的“慢性中毒”源】生活中潜伏着很多“沉默杀手”，不小心就可能中招，………戳图↓↓了解隐藏在身边的“慢性中毒”源，及早预防！（人民日报）  [组图共9张] 原图 ,True,无,2021-05-15 21:52,HUAWEI Mate 30 5G,1771,1210,209
KgWVcd7Vi,https://weibo.cn/comment/KgWVcd7Vi?uid=1278689470&rl=0#cmtfrm,"转发理由:【#我国新冠疫苗接种超5亿剂次#】截至2021年5月23日，51085.8万剂次。   
原始用户: 新华网
转发内容: 【#我国新冠疫苗接种超5亿剂次#】国家卫健委24日通报全国新冠疫苗接种超5亿剂次3月27日突破1亿剂次4月21日超过2亿剂次5月7日超过3亿剂次5月16日超过4亿剂次间隔25天、16天、9天、7天……新冠疫苗接种不断提高“加速度”“免疫长城”正加快筑就尤其是5月13日本土多地出现确诊病例以来全国单日接种量曾在8天内5次刷新纪录当前本土多地出现新增确诊部分病例感染外国变异株中国疾控中心初步研究结果显示我国现有疫苗可以应对外国变异株全国疫苗产能加速释放日接种量可超过2000万剂次接种疫苗已不是“选择题”而是“必答题”应接尽接，有备则无患              原图                     ",False,无,2021-05-24 15:13,HUAWEI Mate 30 5G,0,0,0
KgWGR53ad,https://weibo.cn/comment/KgWGR53ad?uid=1278689470&rl=0#cmtfrm,"转发理由:#袁隆平离世前家人唱我的祖国#家人唱《我的祖国》,血压和心率一度回升。家人说，“他走得很安详,是笑着走的。” 🙏🙏🙏  
原始用户: 参考消息
转发内容: #袁隆平离世前家人唱我的祖国#【家人在病床前不断唱着袁老喜欢听的歌：“他走得很安详，是笑着走的。”】袁隆平离世前：家人唱《我的祖国》,血压和心率一度回升。家人说，“他走得很安详,是笑着走的。” （新华每日电讯） 参考消息的微博视频  ",False,无,2021-05-24 14:38,HUAWEI Mate 30 5G,3,0,0
KgWetno0y,https://weibo.cn/comment/KgWetno0y?uid=1278689470&rl=0#cmtfrm,"转发理由:#吴孟超灵堂放的是国际歌#，从来就没有什么救世主，也不靠神仙皇帝，要创造人类的幸福，全靠我们自己……吴老一路走好！吴老千古！🙏🙏🙏  
原始用户: 共青团中央
转发内容: 【吴孟超院士追悼会没有放哀乐，放的是国际歌】23日，阴雨之下，“中国肝胆外科之父”吴孟超院士的追悼会在上海举行，多位市民自发冒雨前来吊唁。追悼会上，吴孟超院士的灵堂响起的是《国际歌》。曾经，别人不敢做的手术他做，有人说万一失败了对名誉不好。90多岁的吴院士说“我名誉算什么？我不过是一个吴孟超嘛，那算啥？救治病人是我的天职。”    楚天都市报极目新闻的微博视频                     ",False,无,2021-05-24 13:28 ,HUAWEI Mate 30 5G,3,0,0
KgWbZ7B6I,https://weibo.cn/comment/KgWbZ7B6I?uid=1278689470&rl=0#cmtfrm,【#如何保持心态平和# 】心态会左右我们的思维、言语、行为，也会起到支配和向导的作用。而正确的思、言、行正是一个人价值的体现。心态积极、乐观的人在任何挫折困难面前都不知道退缩，懂得在逆境中找到光明；而心态悲观的人哪怕是一点小小的挫折就会把他打败。想要保持心态平和，需要日常生活工作中积累，形成常态。首先，要懂感恩、有包容、会舍得。第二，要学习不断拓宽视野。第三，要学会换位思考，多角度认知，反省自我。第四，随时随地都可以提醒调整自己的心态。在现实生活、工作中总会遇到意想不到的事情，弄的自己手足无措，心态随时发生变化。面对突如其来的问题、挫折、困难应该怎样调整自己的心态。这就是要遵循既能接受自己，又能接受别人、还要面对现实。很对事情不随自己意志而改变，这时就要改变心态从另一个角度去看这件事情。还要就是在遇到问题时，最好采用积极的暗示替代消极的暗示。当你想说“我完了”“我做不到”的时候，要马上替换成“不，我还有希望”“我能行”。正向力的思维习惯，换位思考的习惯，多角度分析问题的习惯，能在你遇到解不开的问题、困难、挫折的时候摆正心态，能让你更好的解决困难和挫折。                  原图                             ,True,无,2021-05-24 13:22 ,HUAWEI Mate 30 5G,2,3,2
KgVrfxU9Q,https://weibo.cn/comment/KgVrfxU9Q?uid=1278689470&rl=0#cmtfrm,【妻子半夜以为丈夫打呼噜  消防赶到从床头靠背抓出一条大蛇】 5月22日晚上11点过，四川巴中市巴州区居民韩大姐在家中休息时，突然被一阵奇怪的呼噜声音给吵醒了，韩大姐推了推丈夫，这才发现呼噜声不是丈夫发出的，声音是从床头的靠背里传出。韩大姐用手试探，突然意识到床头靠背里可能有蛇在里面。夫妻俩顿时吓得睡意全无，随即拨打119报警求援。@红星视频   红星视频的微博视频                                 ,True,无,2021-05-24 11:27 ,微博视频号,1,0,0
KgVahkhUz,https://weibo.cn/comment/KgVahkhUz?uid=1278689470&rl=0#cmtfrm,#营养过剩也会导致孩子长不高#。因营养过剩使得孩子发育提前，过早地促进骨骼发育，使身高生长提前停止。此外，营养过剩还容易对少年儿童造成体重超标、儿童性早熟等不良影响。营养过剩人群坚持植物性食物为主的膳食模式，积极参加锻炼。营养不良人群在确保摄入量足够主食的前提下，增加奶类和豆制品的摄入。一定要注意营养过剩和缺乏锻炼的问题。                                 ,True,无,2021-05-24 10:45 ,HUAWEI Mate 30 5G,3,0,0
KgV6LbwPq,https://weibo.cn/comment/KgV6LbwPq?uid=1278689470&rl=0#cmtfrm,【台风天气行车安全指南】台风过境时，尽量不要驾车出行。如需开车出行，在出行前，应检查车辆指示灯、雨刮器和刹车等是否完好，行车时注意力应高度集中……戳图学习更多台风天行车安全注意事项↓ @新疆森林消防总队  原图 ,True,无,2021-05-24 10:36 ,HUAWEI Mate 30 5G,1,0,0
KgV3VozIh,https://weibo.cn/comment/KgV3VozIh?uid=1278689470&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 医学界网站
转发内容: 王辰院士呼吁给医生“配助理”，在中国行得通吗？  [组图共2张] 原图 ",False,无,2021-05-24 10:29 ,HUAWEI Mate 30 5G,0,0,0
KgV0NA9sg,https://weibo.cn/comment/KgV0NA9sg?uid=1278689470&rl=0#cmtfrm,"转发理由:【东电：#福岛核废物集装箱发生泄漏#，或已随雨水入海】东电同时声称，附近海水的放射性物质浓度没有出现大的变动，因此认为此次外泄事故没有对环境造成影响，但这一说法被广泛质疑。  
原始用户: 观察者网
转发内容: 【东电：#福岛核废物集装箱发生泄漏#，或已随雨水入海】据日本《读卖新闻》当地时间22日报道，日本东京电力公司近日承认，此前在福岛核电站地面发现的凝胶状物体确系放射性废弃物外泄造成的，辐射量约为13毫西弗／小时。东电表示，目前已把发现的类似物质全部收集起来并再次封存。但由于凝胶状物体附近的排水沟曾被测出放射性浓度升高，因此怀疑部分泄漏物或已随雨水入海。而东电同时声称，附近海水的放射性物质浓度没有出现大的变动，因此认为此次外泄事故没有对环境造成影响，但这一说法被广泛质疑。              原图                     ",False,无,2021-05-24 10:22 ,HUAWEI Mate 30 5G,1,0,0
